Year,Type of mineral,Unit,Value
2019,Bauxite,('000 Tonnes),9017
2019,Alumina,('000 Tonnes),2173
2019,Silica Sand,('000 Tonnes),25
2019,Limestone,('000 Tonnes),2379
2019,Sand and Gravel,('000 Tonnes),
2019,Marl and Fill,('000 Tonnes),637
2019,Shale,('000 Tonnes),217
2019,Pozzolan,('000 Tonnes),80
2019,Clay,('000 Tonnes),0
2019,Gypsum,('000 Tonnes),55
2020,Bauxite,('000 Tonnes),7552
2020,Alumina,('000 Tonnes),1621
2020,Silica Sand,('000 Tonnes),29
2020,Limestone,('000 Tonnes),2592
2020,Sand and Gravel,('000 Tonnes),1365
2020,Marl and Fill,('000 Tonnes),661
2020,Shale,('000 Tonnes),167
2020,Pozzolan,('000 Tonnes),102
2020,Clay,('000 Tonnes),0
2020,Gypsum,('000 Tonnes),66
2019,Steam & Slow Speed Plants,('000 Mwh),1229.4
2019,Gas Turbines & Combined Cycle Plant,('000 Mwh),1054.9
2019,Hydro,('000 Mwh),155.2
2019,Purchase from Independent Power Producers (IIPs) ,('000 Mwh),1990.3
2019,Total,('000 Mwh),4429.8
2019,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),55.1
2019,Percentage Contribution of IIPs,(%),44.9
2019,Lossess & Accounted for,('000 MWh),1156.5
2019,System losses as a percentage of net generation,(%),26
2020,Steam & Slow Speed Plants,('000 Mwh),459.7
2020,Gas Turbines & Combined Cycle Plant,('000 Mwh),800.2
2020,Hydro,('000 Mwh),135.6
2020,Purchase from Independent Power Producers (IIPs),('000 Mwh),2831.9
2020,Total,('000 Mwh),4227.4
2020,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),33
2020,Percentage Contribution of IIPs,(%),67
2020,Lossess & Accounted for,('000 MWh),1135.9
2020,System losses as a percentage of net generation,(%),27
2014,Bauxite,('000 Tonnes),9677
2014,Alumina,('000 Tonnes),1851
2014,Silica Sand,('000 Tonnes),16
2014,Limestone,('000 Tonnes),2138
2014,Sand and Gravel,('000 Tonnes),2118
2014,Marl and Fill,('000 Tonnes),10320
2014,Shale,('000 Tonnes),308
2014,Pozzolan,('000 Tonnes),129
2014,Clay,('000 Tonnes),55
2014,Gypsum,('000 Tonnes),45
2015,Bauxite,('000 Tonnes),9629
2015,Alumina,('000 Tonnes),1865
2015,Silica Sand,('000 Tonnes),16
2015,Limestone,('000 Tonnes),1782
2015,Sand and Gravel,('000 Tonnes),2208
2015,Marl and Fill,('000 Tonnes),4304
2015,Shale,('000 Tonnes),241
2015,Pozzolan,('000 Tonnes),108
2015,Clay,('000 Tonnes),0
2015,Gypsum,('000 Tonnes),43
2016,Bauxite,('000 Tonnes),8540
2016,Alumina,('000 Tonnes),1865
2016,Silica Sand,('000 Tonnes),20
