Year,Type of Benefit,Geographic Region,Population Group,Unit,Value
2012,Persons Registered with the National Insurance Scheme,Jamaica,,per cent,39.1
2012,Persons Registered with the National Insurance Scheme,Greater Kingston Metropolitan Area,,per cent,49.4
2012,Persons Registered with the National Insurance Scheme,Other Urban Centre,,per cent,44.6
2012,Persons Registered with the National Insurance Scheme,Rural,,per cent,29.8
2012,Persons Registered with the National Insurance Scheme,,Male,per cent,38.0
2012,Persons Registered with the National Insurance Scheme,,Female,per cent,40.1
2013,Persons Registered with the National Insurance Scheme,Jamaica,,per cent,44.9
2013,Persons Registered with the National Insurance Scheme,Greater Kingston Metropolitan Area,,per cent,59.3
2013,Persons Registered with the National Insurance Scheme,Other Urban Centre,,per cent,42.4
2013,Persons Registered with the National Insurance Scheme,Rural,,per cent,36.4
2013,Persons Registered with the National Insurance Scheme,,Male,per cent,42.9
2013,Persons Registered with the National Insurance Scheme,,Female,per cent,46.7
2013,Population covered by PATH,Jamaica,,per cent,4.7
2013,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,48.5
2013,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,6.6
2013,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,"per 100,000 population",48.5
2013,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,"per 100,000 population",6.6
2014,Persons Registered with the National Insurance Scheme,Jamaica,,per cent,46.7
2014,Persons Registered with the National Insurance Scheme,Greater Kingston Metropolitan Area,,per cent,55.3
2014,Persons Registered with the National Insurance Scheme,Other Urban Centre,,per cent,56.8
2014,Persons Registered with the National Insurance Scheme,Rural,,per cent,36.0
2014,Persons Registered with the National Insurance Scheme,,Male,per cent,45.1
2014,Persons Registered with the National Insurance Scheme,,Female,per cent,48.1
2014,Population covered by PATH,Jamaica,,per cent,5.5
2014,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,40.9
2014,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,6.6
2014,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,"per 100,000 population",40.9
2014,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,"per 100,000 population",6.6
2015,Persons Registered with the National Insurance Scheme,Jamaica,,per cent,47.1
2015,Persons Registered with the National Insurance Scheme,Greater Kingston Metropolitan Area,,per cent,57.7
2015,Persons Registered with the National Insurance Scheme,Other Urban Centre,,per cent,56.3
2015,Persons Registered with the National Insurance Scheme,Rural,,per cent,36.2
2015,Persons Registered with the National Insurance Scheme,,Male,per cent,45.8
2015,Persons Registered with the National Insurance Scheme,,Female,per cent,48.3
2015,Population covered by PATH,Jamaica,,per cent,5.3
2015,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,45
2015,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,5.3
2015,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,"per 100,000 population",45
2015,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,"per 100,000 population",5.3
2016,Persons Registered with the National Insurance Scheme,Jamaica,,per cent,46.4
2016,Persons Registered with the National Insurance Scheme,Greater Kingston Metropolitan Area,,per cent,53.3
2016,Persons Registered with the National Insurance Scheme,Other Urban Centre,,per cent,44.7
2016,Persons Registered with the National Insurance Scheme,Rural,,per cent,43.1
2016,Persons Registered with the National Insurance Scheme,,Male,per cent,44.9
2016,Persons Registered with the National Insurance Scheme,,Female,per cent,47.7
2016,Population covered by PATH,Jamaica,,per cent,13.0
2016,Population covered by PATH,,Children,per cent,23.2
2016,Population covered by PATH,,Adult,per cent,1.6
2016,Population covered by PATH,,Persons with disabilities,per cent,0.5
2016,Population covered by PATH,,Elderly,per cent,18.8
2016,Population covered by PATH,,Pregnant and Lactating Women,per cent,0.4
2016,Registered with Jamaica Drugs for the Elderly Programme,Jamaica,,per cent,15.7
2016,Registered with Jamaica Drugs for the Elderly Programme,Greater Kingston Metropolitan Area,,per cent,27.5
2016,Registered with Jamaica Drugs for the Elderly Programme,Other Urban Centre,,per cent,11.4
2016,Registered with Jamaica Drugs for the Elderly Programme,Rural,,per cent,12.1
2016,Registered with Jamaica Drugs for the Elderly Programme,,Male,per cent,10.3
2016,Registered with Jamaica Drugs for the Elderly Programme,,Female,per cent,20.8
2016,Registered with the National Health Fund,Jamaica,,per cent,10.2
2016,Registered with the National Health Fund,Greater Kingston Metropolitan Area,,per cent,10.0
2016,Registered with the National Health Fund,Other Urban Centre,,per cent,10.8
2016,Registered with the National Health Fund,Rural,,per cent,10.1
2016,Registered with the National Health Fund,,Male,per cent,7.0
2016,Registered with the National Health Fund,,Female,per cent,13.3
2016,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,49.6
2016,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,5.7
2016,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,"per 100,000 population",49.6
2016,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,"per 100,000 population",5.7
2017,Persons Registered with the National Insurance Scheme,Jamaica,,per cent,47.6
2017,Persons Registered with the National Insurance Scheme,Greater Kingston Metropolitan Area,,per cent,53.6
2017,Persons Registered with the National Insurance Scheme,Other Urban Centre,,per cent,49.4
2017,Persons Registered with the National Insurance Scheme,Rural,,per cent,42.8
2017,Persons Registered with the National Insurance Scheme,,Male,per cent,48.5
2017,Persons Registered with the National Insurance Scheme,,Female,per cent,46.8
2017,Population covered by PATH,Jamaica,,per cent,12.5
2017,Population covered by PATH,,Children,per cent,25.1
2017,Population covered by PATH,,Adult,per cent,0.8
2017,Population covered by PATH,,Persons with disabilities,per cent,0.5
2017,Population covered by PATH,,Elderly,per cent,17.2
2017,Population covered by PATH,,Pregnant and Lactating Women,per cent,0.2
2017,Registered with Jamaica Drugs for the Elderly Programme,Jamaica,,per cent,17.2
2017,Registered with Jamaica Drugs for the Elderly Programme,Greater Kingston Metropolitan Area,,per cent,29
2017,Registered with Jamaica Drugs for the Elderly Programme,Other Urban Centre,,per cent,17.8
2017,Registered with Jamaica Drugs for the Elderly Programme,Rural,,per cent,11
2017,Registered with Jamaica Drugs for the Elderly Programme,,Male,per cent,13.9
2017,Registered with Jamaica Drugs for the Elderly Programme,,Female,per cent,20.3
2017,Registered with the National Health Fund,Jamaica,,per cent,12.4
2017,Registered with the National Health Fund,Greater Kingston Metropolitan Area,,per cent,12.6
2017,Registered with the National Health Fund,Other Urban Centre,,per cent,12.8
2017,Registered with the National Health Fund,Rural,,per cent,12.1
2017,Registered with the National Health Fund,,Male,per cent,9.1
2017,Registered with the National Health Fund,,Female,per cent,15.6
2017,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Male,Number,1354
2017,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Female,Number,1517
2017,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,Number,2871
2017,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Male,Number,212
2017,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Female,Number,344
2017,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Total,Number,556
2017,Outdoor Persons Registered on Poor Relief Programme,Portland,Male,Number,444
