Year,Strategy Measure,Unit,Value
2019,Number of local governments that have adopted and implemented local DRR strategies in line with national strategies,Number,14
2019,Total Number of local governments,Number,14
2019,Percentage of local governments that have adopted and implemented local disaster risk reduction strategies in line with national strategies,Per cent,100
2020,Number of local governments that have adopted and implemented local DRR strategies in line with national strategies,Number,14
2020,Total Number of local governments,Number,14
2020,Percentage of local governments that have adopted and implemented local disaster risk reduction strategies in line with national strategies,Per cent,100
2021,Number of local governments that have adopted and implemented local DRR strategies in line with national strategies,Number,14
2021,Total Number of local governments,Number,14
2021,Percentage of local governments that have adopted and implemented local disaster risk reduction strategies in line with national strategies,Per cent,100
2022,Number of local governments that have adopted and implemented local DRR strategies in line with national strategies,Number,14
2022,Total Number of local governments,Number,14
2022,Percentage of local governments that have adopted and implemented local disaster risk reduction strategies in line with national strategies,Per cent,100
