Year,Ministry,Unit,Value
2014-15,Ministry of Education Youth and Information,%,28.9
2014-15,Ministry of Health and Wellness,%,14.4
2014-15,Ministry of Labour and Social Security,%,2.7
2015-16,Ministry of Education Youth and Information,%,16
2015-16,Ministry of Health and Wellness,%,9.7
2015-16,Ministry of Labour and Social Security,%,1.5
2016-17,Ministry of Education Youth and Information,%,16.3
2016-17,Ministry of Health and Wellness,%,9.9
2016-17,Ministry of Labour and Social Security,%,1.5
2017-18,Ministry of Education Youth and Information,%,12.7
2017-18,Ministry of Health and Wellness,%,8.5
2017-18,Ministry of Labour and Social Security,%,1.2
2018-19,Ministry of Education Youth and Information,%,13.3
2018-19,Ministry of Health and Wellness,%,8.8
2018-19,Ministry of Labour and Social Security,%,1.4
2019-20,Ministry of Education Youth and Information,%,13.2
2019-20,Ministry of Health and Wellness,%,8.6
2019-20,Ministry of Labour and Social Security,%,1.3
2020-21,Ministry of Education Youth and Information,%,13.4
2020-21,Ministry of Health and Wellness,%,9.6
2020-21,Ministry of Labour and Social Security,%,2
2023-24,Ministry of Education Youth and Information,%,15.5
2023-24,Ministry of Health and Wellness,%,12.5
2023-24,Ministry of Labour and Social Security,%,1.5
