Year,Type of GDP by Income at Market Prices,Unit,Value
2014,Compensation of Employees,$ Million,687311
2015,Compensation of Employees,$ Million,748851
2016,Compensation of Employees,$ Million,790228
2017,Compensation of Employees,$ Million,844609
2018,Compensation of Employees,$ Million,905331
2019,Compensation of Employees,$ Million,964673
2020,Compensation of Employees,$ Million,919877
2021,Compensation of Employees,$ Million,1034824
2022,Compensation of Employees,$ Million,1241951
2023,Compensation of Employees,$ Million,1484084
2014,Consumption of Fixed Capital,$ Million,121574
2015,Consumption of Fixed Capital,$ Million,135285
2016,Consumption of Fixed Capital,$ Million,139100
2017,Consumption of Fixed Capital,$ Million,146081
2018,Consumption of Fixed Capital,$ Million,155521
2019,Consumption of Fixed Capital,$ Million,170516
2020,Consumption of Fixed Capital,$ Million,168839
2021,Consumption of Fixed Capital,$ Million,188610
2022,Consumption of Fixed Capital,$ Million,217182
2023,Consumption of Fixed Capital,$ Million,231802
2014,Fixed Capital share of GDP,Per cent,7.9
2015,Fixed Capital share of GDP,Per cent,7.7
2016,Fixed Capital share of GDP,Per cent,7.5
2017,Fixed Capital share of GDP,Per cent,7.2
2018,Fixed Capital share of GDP,Per cent,7.2
2019,Fixed Capital share of GDP,Per cent,7.5
2020,Fixed Capital share of GDP,Per cent,7.9
2021,Fixed Capital share of GDP,Per cent,7.8
2022,Fixed Capital share of GDP,Per cent,7.5
2023,Fixed Capital share of GDP,Per cent,7.0
2014,Gross Domestic Product at Market Prices,$ Million,1541746
2015,Gross Domestic Product at Market Prices,$ Million,1750288
2016,Gross Domestic Product at Market Prices,$ Million,1863790
2017,Gross Domestic Product at Market Prices,$ Million,2019738
2018,Gross Domestic Product at Market Prices,$ Million,2172188
2019,Gross Domestic Product at Market Prices,$ Million,2269808
2020,Gross Domestic Product at Market Prices,$ Million,2136073
2021,Gross Domestic Product at Market Prices,$ Million,2407196
2022,Gross Domestic Product at Market Prices,$ Million,2886497
2023,Gross Domestic Product at Market Prices,$ Million,3301898
2014,Labour Share of GDP,Per cent,44.6
2015,Labour Share of GDP,Per cent,42.8
2016,Labour Share of GDP,Per cent,42.4
2017,Labour Share of GDP,Per cent,41.8
2018,Labour Share of GDP,Per cent,41.7
2019,Labour Share of GDP,Per cent,42.5
2020,Labour Share of GDP,Per cent,43.1
2021,Labour Share of GDP,Per cent,43.0
2022,Labour Share of GDP,Per cent,43.0
2023,Labour Share of GDP,Per cent,44.9
2014,Less Subsidies on Production & Imports,$ Million,995
2015,Less Subsidies on Production & Imports,$ Million,3357
2016,Less Subsidies on Production & Imports,$ Million,4011
2017,Less Subsidies on Production & Imports,$ Million,4345
2018,Less Subsidies on Production & Imports,$ Million,2862
2019,Less Subsidies on Production & Imports,$ Million,7472
2020,Less Subsidies on Production & Imports,$ Million,8416
2021,Less Subsidies on Production & Imports,$ Million,8523
2022,Less Subsidies on Production & Imports,$ Million,10036
2023,Less Subsidies on Production & Imports,$ Million,10989
2014,Operating Surplus/Mixed Income,$ Million,443307
2015,Operating Surplus/Mixed Income,$ Million,543427
2016,Operating Surplus/Mixed Income,$ Million,574622
2017,Operating Surplus/Mixed Income,$ Million,611400
2018,Operating Surplus/Mixed Income,$ Million,660332
2019,Operating Surplus/Mixed Income,$ Million,658686
2020,Operating Surplus/Mixed Income,$ Million,647757
2021,Operating Surplus/Mixed Income,$ Million,714105
2022,Operating Surplus/Mixed Income,$ Million,847711
2023,Operating Surplus/Mixed Income,$ Million,961106
2014,Operating Surplus/Mixed Income share of GDP,Per cent,28.8
2015,Operating Surplus/Mixed Income share of GDP,Per cent,31.0
2016,Operating Surplus/Mixed Income share of GDP,Per cent,30.8
2017,Operating Surplus/Mixed Income share of GDP,Per cent,30.3
2018,Operating Surplus/Mixed Income share of GDP,Per cent,30.4
2019,Operating Surplus/Mixed Income share of GDP,Per cent,29.0
2020,Operating Surplus/Mixed Income share of GDP,Per cent,30.3
2021,Operating Surplus/Mixed Income share of GDP,Per cent,29.7
2022,Operating Surplus/Mixed Income share of GDP,Per cent,29.4
2023,Operating Surplus/Mixed Income share of GDP,Per cent,29.1
2014,Taxes on Production & Imports,$ Million,290549
2015,Taxes on Production & Imports,$ Million,326081
2016,Taxes on Production & Imports,$ Million,363851
2017,Taxes on Production & Imports,$ Million,421994
2018,Taxes on Production & Imports,$ Million,453866
2019,Taxes on Production & Imports,$ Million,483404
2020,Taxes on Production & Imports,$ Million,408016
2021,Taxes on Production & Imports,$ Million,478179
2022,Taxes on Production & Imports,$ Million,589689
2023,Taxes on Production & Imports,$ Million,635894
