Financial soundness indicators,Financial soundness indicators-deposit-taking institution,Institution Type,Value,Year
Financial soundness indicators,Regulatory capital to risk-weighted assets,Deposit-taking Institution,15.0,2015
Financial soundness indicators,Regulatory capital to risk-weighted assets,Deposit-taking Institution,14.7,2016
Financial soundness indicators,Regulatory capital to risk-weighted assets,Deposit-taking Institution,15.1,2017
Financial soundness indicators,Regulatory capital to risk-weighted assets,Deposit-taking Institution,14.6,2018
Financial soundness indicators,Regulatory capital to risk-weighted assets,Deposit-taking Institution,14.3,2019
Financial soundness indicators,Regulatory capital to risk-weighted assets,Deposit-taking Institution,14.3,2020
Financial soundness indicators,Regulatory capital to risk-weighted assets,Deposit-taking Institution,14.2,2021
Financial soundness indicators,Regulatory capital to risk-weighted assets,Deposit-taking Institution,14.3,2022
Financial soundness indicators,Regulatory capital to risk-weighted assets,Deposit-taking Institution,14.6,2023
Financial soundness indicators,Regulatory capital to risk-weighted assets,Deposit-taking Institution,14.6,2024
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Deposit-taking Institution,15.1,2015
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Deposit-taking Institution,14.2,2016
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Deposit-taking Institution,14.8,2017
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Deposit-taking Institution,13.4,2018
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Deposit-taking Institution,13.2,2019
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Deposit-taking Institution,13.5,2020
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Deposit-taking Institution,13.4,2021
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Deposit-taking Institution,13.6,2022
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Deposit-taking Institution,14.1,2023
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Deposit-taking Institution,14.0,2024
Financial soundness indicators,Non-performing loans (net) to capital,Deposit-taking Institution,9.4,2015
Financial soundness indicators,Non-performing loans (net) to capital,Deposit-taking Institution,-2.2,2016
Financial soundness indicators,Non-performing loans (net) to capital,Deposit-taking Institution,1.2,2017
Financial soundness indicators,Non-performing loans (net) to capital,Deposit-taking Institution,2.4,2018
Financial soundness indicators,Non-performing loans (net) to capital,Deposit-taking Institution,-2.7,2019
Financial soundness indicators,Non-performing loans (net) to capital,Deposit-taking Institution,-2.6,2020
Financial soundness indicators,Non-performing loans (net) to capital,Deposit-taking Institution,-1,2021
Financial soundness indicators,Non-performing loans (net) to capital,Deposit-taking Institution,-3.2,2022
Financial soundness indicators,Non-performing loans (net) to capital,Deposit-taking Institution,-2.6,2023
Financial soundness indicators,Non-performing loans (net) to capital,Deposit-taking Institution,-1.5,2024
Financial soundness indicators,Non-performing loans to total loans,Deposit-taking Institution,4.0,2015
Financial soundness indicators,Non-performing loans to total loans,Deposit-taking Institution,2.9,2016
Financial soundness indicators,Non-performing loans to total loans,Deposit-taking Institution,2.6,2017
Financial soundness indicators,Non-performing loans to total loans,Deposit-taking Institution,2.5,2018
Financial soundness indicators,Non-performing loans to total loans,Deposit-taking Institution,2.2,2019
Financial soundness indicators,Non-performing loans to total loans,Deposit-taking Institution,2.8,2020
Financial soundness indicators,Non-performing loans to total loans,Deposit-taking Institution,2.9,2021
Financial soundness indicators,Non-performing loans to total loans,Deposit-taking Institution,2.5,2022
Financial soundness indicators,Non-performing loans to total loans,Deposit-taking Institution,2.5,2023
Financial soundness indicators,Non-performing loans to total loans,Deposit-taking Institution,2.5,2024
Financial soundness indicators,Return on assets,Deposit-taking Institution,0.5,2015
Financial soundness indicators,Return on assets,Deposit-taking Institution,0.7,2016
Financial soundness indicators,Return on assets,Deposit-taking Institution,2.4,2017
Financial soundness indicators,Return on assets,Deposit-taking Institution,3.1,2018
Financial soundness indicators,Return on assets,Deposit-taking Institution,0.6,2019
Financial soundness indicators,Return on assets,Deposit-taking Institution,0.6,2020
Financial soundness indicators,Return on assets,Deposit-taking Institution,0.3,2021
Financial soundness indicators,Return on assets,Deposit-taking Institution,0.4,2022
Financial soundness indicators,Return on assets,Deposit-taking Institution,2.1,2023
Financial soundness indicators,Return on assets,Deposit-taking Institution,1.6,2024
Financial soundness indicators,Return on equity,Deposit-taking Institution,3.0,2015
Financial soundness indicators,Return on equity,Deposit-taking Institution,4.6,2016
Financial soundness indicators,Return on equity,Deposit-taking Institution,16.6,2017
Financial soundness indicators,Return on equity,Deposit-taking Institution,21.4,2018
Financial soundness indicators,Return on equity,Deposit-taking Institution,4,2019
Financial soundness indicators,Return on equity,Deposit-taking Institution,4.2,2020
Financial soundness indicators,Return on equity,Deposit-taking Institution,2.5,2021
Financial soundness indicators,Return on equity,Deposit-taking Institution,3.5,2022
Financial soundness indicators,Return on equity,Deposit-taking Institution,16.9,2023
Financial soundness indicators,Return on equity,Deposit-taking Institution,13.3,2024
Financial soundness indicators,Interest margin to income,Deposit-taking Institution,52.0,2015
Financial soundness indicators,Interest margin to income,Deposit-taking Institution,48.7,2016
Financial soundness indicators,Interest margin to income,Deposit-taking Institution,54.8,2017
Financial soundness indicators,Interest margin to income,Deposit-taking Institution,47.5,2018
Financial soundness indicators,Interest margin to income,Deposit-taking Institution,46.8,2019
Financial soundness indicators,Interest margin to income,Deposit-taking Institution,41.7,2020
Financial soundness indicators,Interest margin to income,Deposit-taking Institution,44.7,2021
Financial soundness indicators,Interest margin to income,Deposit-taking Institution,38.2,2022
Financial soundness indicators,Interest margin to income,Deposit-taking Institution,35.5,2023
Financial soundness indicators,Interest margin to income,Deposit-taking Institution,37.8,2024
Financial soundness indicators,Non-interest expenses to income,Deposit-taking Institution,27.4,2015
Financial soundness indicators,Non-interest expenses to income,Deposit-taking Institution,23,2016
