Year,Watershed,Unit,Value
2016,Metropolitan Parks & Markets,Total Volume of Waste (tonnes),475389
2017,Metropolitan Parks & Markets,Total Volume of Waste (tonnes),539138
2018,Metropolitan Parks & Markets,Total Volume of Waste (tonnes),534517
2019,Metropolitan Parks & Markets,Total Volume of Waste (tonnes),556105
2020,Metropolitan Parks & Markets,Total Volume of Waste (tonnes),542310
2021,Metropolitan Parks & Markets,Total Volume of Waste (tonnes),560302
2022,Metropolitan Parks & Markets,Total Volume of Waste (tonnes),586148
2023,Metropolitan Parks & Markets,Total Volume of Waste (tonnes),639465
2024,Metropolitan Parks & Markets,Total Volume of Waste (tonnes),748281
2016,Western Parks & Markets,Total Volume of Waste (tonnes),188747
2017,Western Parks & Markets,Total Volume of Waste (tonnes),208163
2018,Western Parks & Markets,Total Volume of Waste (tonnes),216968
2019,Western Parks & Markets,Total Volume of Waste (tonnes),225170
2020,Western Parks & Markets,Total Volume of Waste (tonnes),284102
2021,Western Parks & Markets,Total Volume of Waste (tonnes),210999
2022,Western Parks & Markets,Total Volume of Waste (tonnes),256115
2023,Western Parks & Markets,Total Volume of Waste (tonnes),199866
2024,Western Parks & Markets,Total Volume of Waste (tonnes),220841
2016,Southern Parks & Markets,Total Volume of Waste (tonnes),72961
2017,Southern Parks & Markets,Total Volume of Waste (tonnes),71140
2018,Southern Parks & Markets,Total Volume of Waste (tonnes),76525
2019,Southern Parks & Markets,Total Volume of Waste (tonnes),82071
2020,Southern Parks & Markets,Total Volume of Waste (tonnes),69593
2021,Southern Parks & Markets,Total Volume of Waste (tonnes),122920
2022,Southern Parks & Markets,Total Volume of Waste (tonnes),109293
2023,Southern Parks & Markets,Total Volume of Waste (tonnes),106659
2024,Southern Parks & Markets,Total Volume of Waste (tonnes),93158
2016,North-eastern Parks & Markets,Total Volume of Waste (tonnes),60025
2017,North-eastern Parks & Markets,Total Volume of Waste (tonnes),53603
2018,North-eastern Parks & Markets,Total Volume of Waste (tonnes),67657
2019,North-eastern Parks & Markets,Total Volume of Waste (tonnes),146652
2020,North-eastern Parks & Markets,Total Volume of Waste (tonnes),176219
2021,North-eastern Parks & Markets,Total Volume of Waste (tonnes),186686
2022,North-eastern Parks & Markets,Total Volume of Waste (tonnes),96811
2023,North-eastern Parks & Markets,Total Volume of Waste (tonnes),110461
2024,North-eastern Parks & Markets,Total Volume of Waste (tonnes),119122
2016,Total,Total Volume of Waste (tonnes),797122
2017,Total,Total Volume of Waste (tonnes),872044
2018,Total,Total Volume of Waste (tonnes),895666
2019,Total,Total Volume of Waste (tonnes),1009997
2020,Total,Total Volume of Waste (tonnes),1072223
2021,Total,Total Volume of Waste (tonnes),1080907
2022,Total,Total Volume of Waste (tonnes),1048367
2023,Total,Total Volume of Waste (tonnes),1056451
2024,Total,Total Volume of Waste (tonnes),1181402
