Year,Event,Category,Unit,Value
2002,May/June Flood Rains,Persons Affected,Per 100.000 Population,50021
2002,May/June Flood Rains,Persons Dead,Per 100.000 Population,0.344
2002,May/June Flood Rains,Persons Injured,Per 100.000 Population,0
2002,May/June Flood Rains,Persons Missing,Per 100.000 Population,0
2004,Hurricane Ivan,Persons Affected,Per 100.000 Population,14009
2004,Hurricane Ivan,Persons Dead,Per 100.000 Population,0.644
2004,Hurricane Ivan,Persons Injured,Per 100.000 Population,0
2004,Hurricane Ivan,Persons Missing,Per 100.000 Population,0
2005,Hurricane Dennis and Emily,Persons Affected,Per 100.000 Population,12521
2005,Hurricane Dennis and Emily,Persons Dead,Per 100.000 Population,0.264
2005,Hurricane Dennis and Emily,Persons Injured,Per 100.000 Population,0
2005,Hurricane Dennis and Emily,Persons Missing,Per 100.000 Population,0
2005,Hurricane Wilma,Persons Affected,Per 100.000 Population,13669
2005,Hurricane Wilma,Persons Dead,Per 100.000 Population,0.113
2005,Hurricane Wilma,Persons Injured,Per 100.000 Population,0
2005,Hurricane Wilma,Persons Missing,Per 100.000 Population,0
2007,Hurricane Dean,Persons Affected,Per 100.000 Population,6744
2007,Hurricane Dean,Persons Dead,Per 100.000 Population,0.225
2007,Hurricane Dean,Persons Injured,Per 100.000 Population,0
2007,Hurricane Dean,Persons Missing,Per 100.000 Population,0
2008,Tropical Storm Gustav,Persons Affected,Per 100.000 Population,16842
2008,Tropical Storm Gustav,Persons Dead,Per 100.000 Population,0.374
2008,Tropical Storm Gustav,Persons Injured,Per 100.000 Population,0
2008,Tropical Storm Gustav,Persons Missing,Per 100.000 Population,0
2010,Tropical Storm Nicole,Persons Affected,Per 100.000 Population,18873
2010,Tropical Storm Nicole,Persons Dead,Per 100.000 Population,0.52
2010,Tropical Storm Nicole,Persons Injured,Per 100.000 Population,0
2010,Tropical Storm Nicole,Persons Missing,Per 100.000 Population,0.074
2012,Hurricane Sandy,Persons Affected,Per 100.000 Population,25150
2012,Hurricane Sandy,Persons Dead,Per 100.000 Population,0.074
2012,Hurricane Sandy,Persons Injured,Per 100.000 Population,0
2012,Hurricane Sandy,Persons Missing,Per 100.000 Population,0
2017,March to June Rains,Persons Affected,Per 100.000 Population,90687.00
2017,March to June Rains,Persons Dead,Per 100.000 Population,0.037
2017,March to June Rains,Persons Injured,Per 100.000 Population,0
2017,March to June Rains,Persons Missing,Per 100.000 Population,0
2018,January and May Rains,Persons Affected,Persons affected per 100000 population,79.64
2019,Drought,Persons Affected,Persons affected per 100000 population,204.94
2020,Heavy rains from Tropical Storms Zeta and Eta,Persons Affected,Persons affected per 100000 population,518.97
2021,"Tropical Storms Elsa, Grace and Ida.",Persons Affected,Persons affected per 100000 population,58.55
2022,Heavy rains January - February,Persons Affected,Persons affected per 100000 population,20.10
2023,Tropical Storms Ian September,Persons Affected,Persons affected per 100000 population,201.28
2018,January and May Rains,Persons Dead,Persons dead per 100000 population,0.037
2019,Drought,Persons Dead,Persons dead per 100000 population,0
2020,Heavy rains from Tropical Storms Zeta and Eta,Persons Dead,Persons dead per 100000 population,0.073
2021,"Tropical Storms Elsa, Grace and Ida.",Persons Dead,Persons dead per 100000 population,0.037
2022,Heavy rains January - February,Persons Dead,Persons dead per 100000 population,0
2023,Tropical Storms Ian September,Persons Dead,Persons dead per 100000 population,0
2020,Death due to fire,Kingston and St. Andrew,Number,10
2021,Death due to fire,Kingston and St. Andrew,Number,9
2022,Death due to fire,Kingston and St. Andrew,Number,8
2023,Death due to fire,Kingston and St. Andrew,Number,1
2020,Death due to fire,St. Thomas,Number,0
2021,Death due to fire,St. Thomas,Number,0
2022,Death due to fire,St. Thomas,Number,0
2023,Death due to fire,St. Thomas,Number,1
2020,Death due to fire,Portland,Number,2
2021,Death due to fire,Portland,Number,1
2022,Death due to fire,Portland,Number,2
2023,Death due to fire,Portland,Number,0
2020,Death due to fire,St Mary,Number,4
2021,Death due to fire,St Mary,Number,0
2022,Death due to fire,St Mary,Number,2
2023,Death due to fire,St Mary,Number,1
