Year,Monitored Area,Unit,Value
2018,Monkey Island,Health Index,2.5
2019,Monkey Island,Health Index,2.8
2020,Monkey Island,Health Index,2.3
2021,Monkey Island,Health Index,1.8
2015,Oracabessa Bay Special Fishery Conservation Area,Health Index,2.2
2016,Oracabessa Bay Special Fishery Conservation Area,Health Index,1.9
2017,Oracabessa Bay Special Fishery Conservation Area,Health Index,1.9
2018,Oracabessa Bay Special Fishery Conservation Area,Health Index,2.4
2015,Sandals Boscobel Special Fishery Conservation Area,Health Index,2.7
2016,Sandals Boscobel Special Fishery Conservation Area,Health Index,2.5
2017,Sandals Boscobel Special Fishery Conservation Area,Health Index,3.1
2018,Sandals Boscobel Special Fishery Conservation Area,Health Index,2.8
2015,Ocho Rios Marine Park,Health Index,2.2
2016,Ocho Rios Marine Park,Health Index,2.4
2017,Ocho Rios Marine Park,Health Index,2.4
2018,Ocho Rios Marine Park,Health Index,2.3
2015,Discovery Bay,Health Index,1.7
2016,Discovery Bay,Health Index,2.2
2017,Discovery Bay,Health Index,2.1
2018,Discovery Bay,Health Index,2.1
2015,Falmouth,Health Index,2.3
2016,Falmouth,Health Index,2.1
2017,Falmouth,Health Index,2.4
2018,Falmouth,Health Index,1.8
2015,Montego Bay Marine Park,Health Index,2.3
2016,Montego Bay Marine Park,Health Index,2.3
2017,Montego Bay Marine Park,Health Index,2.3
2018,Montego Bay Marine Park,Health Index,2.4
2015,Hopewell - Green Island (Hanover),Health Index,2.3
2016,Hopewell - Green Island (Hanover),Health Index,3
2017,Hopewell - Green Island (Hanover),Health Index,3.8
2018,Hopewell - Green Island (Hanover),Health Index,2.3
2015,Negril Marine Park,Health Index,2.2
2016,Negril Marine Park,Health Index,2.3
2017,Negril Marine Park,Health Index,2.2
2018,Negril Marine Park,Health Index,2.2
2015,Sandals Whitehouse Special Fishery Conservation Area,Health Index,1.8
2016,Sandals Whitehouse Special Fishery Conservation Area,Health Index,2.3
2017,Sandals Whitehouse Special Fishery Conservation Area,Health Index,1.8
2018,Sandals Whitehouse Special Fishery Conservation Area,Health Index,2.3
2015,Port Royal Protected Area,Health Index,1.3
2016,Port Royal Protected Area,Health Index,2.1
2017,Port Royal Protected Area,Health Index,1.8
2018,Port Royal Protected Area,Health Index,1.8
2016,Belmont,Health Index,2.5
2017,Belmont,Health Index,2.0
2018,Belmont,Health Index,2.3
2016,Savanna-la-mar,Health Index,2.3
2016,Portland Bight Protected Area,Health Index,2
2018,Portland Bight Protected Area,Health Index,2.2
2015,CRHI (overall mean),Health Index,2.1
2016,CRHI (overall mean),Health Index,2.2
2017,CRHI (overall mean),Health Index,2.3
2018,CRHI (overall mean),Health Index,2.2
2019,CRHI (overall mean),Health Index,2.2
2020,CRHI (overall mean),Health Index,2.0
2021,CRHI (overall mean),Health Index,1.9
2019,Drunkenman's Cay,Health Index,2.3
2020,Drunkenman's Cay,Health Index,2.3
2023,Drunkenman's Cay,Health Index,1.5
2019,Lime Cay,Health Index,2
2020,Lime Cay,Health Index,1.8
2023,Lime Cay,Health Index,1.5
2019,South East Cay,Health Index,1.3
2020,South East Cay,Health Index,1.5
2021,South East Cay,Health Index,1.3
2023,South East Cay,Health Index,1.0
2019,Wreck Reef,Health Index,2.3
2020,Wreck Reef,Health Index,1.5
2023,Wreck Reef,Health Index,1.8
2019,Pigeon Island West,Health Index,2
2020,Pigeon Island West,Health Index,1.8
2023,Pigeon Island West,Health Index,1.5
