Year,Land Use or Cover Classification,Unit,Value
2009,Total forest area,(1000 ha),337.5
2010,Total forest area,(1000 ha),337.1
2011,Total forest area,(1000 ha),336.7
2012,Total forest area,(1000 ha),336.4
2013,Total forest area,(1000 ha),439.9
2014,Total forest area,(1000 ha),454.67
2015,Total forest area,(1000 ha),457.5
2016,Total forest area,(1000 ha),466.3
2017,Total forest area,(1000 ha),475.1
2018,Total forest area,(1000 ha),465.08
2019,Total forest area,(1000 ha),467.64
2020,Total forest area,(1000 ha),469.62
2021,Total forest area,(1000 ha),470.69
2022,Total forest area,(1000 ha),470.69
2023,Total forest area,(1000 ha),527.9
2024,Total forest area,(1000 ha),536.7
2009,Protected forest area,(1000 ha),113.2
2010,Protected forest area,(1000 ha),113.1
2011,Protected forest area,(1000 ha),113
2012,Protected forest area,(1000 ha),112.9
2013,Protected forest area,(1000 ha),122.7
2014,Protected forest area,(1000 ha),123.7
2015,Protected forest area,(1000 ha),123.7
2016,Protected forest area,(1000 ha),124.7
2017,Protected forest area,(1000 ha),124.7
2018,Protected forest area,(1000 ha),124.7
2019,Protected forest area,(1000 ha),124.7
2020,Protected forest area,(1000 ha),124.7
2021,Protected forest area,(1000 ha),124.7
2022,Protected forest area,(1000 ha),168.3
2023,Protected forest area,(1000 ha),168.3
2009,Total land area,(1000 ha),1095.3
2010,Total land area,(1000 ha),1095.1
2011,Total land area,(1000 ha),1094.9
2012,Total land area,(1000 ha),1094.7
2013,Total land area,(1000 ha),1094.5
2014,Total land area,(1000 ha),1093.1
2015,Total land area,(1000 ha),1099
2016,Total land area,(1000 ha),1099
2017,Total land area,(1000 ha),1099
2018,Total land area,(1000 ha),1093.1
2019,Total land area,(1000 ha),1093.1
2020,Total land area,(1000 ha),1093.1
2021,Total land area,(1000 ha),1093.1
2022,Total land area,(1000 ha),1093.1
2023,Total land area,(1000 ha),1099
2024,Total land area,(1000 ha),1099
2009,Forest area as a % of Total land area,(per cent),30.8
2010,Forest area as a % of Total land area,(per cent),30.8
2011,Forest area as a % of Total land area,(per cent),30.8
2012,Forest area as a % of Total land area,(per cent),30.7
2013,Forest area as a % of Total land area,(per cent),40.2
2014,Forest area as a % of Total land area,(per cent),41.59
2015,Forest area as a % of Total land area,(per cent),41.63
2016,Forest area as a % of Total land area,(per cent),42.43
2017,Forest area as a % of Total land area,(per cent),43.23
2018,Forest area as a % of Total land area,(per cent),42.55
2019,Forest area as a % of Total land area,(per cent),42.78
2020,Forest area as a % of Total land area,(per cent),42.96
2021,Forest area as a % of Total land area,(per cent),43.06
2022,Forest area as a % of Total land area,(per cent),43.06
2023,Forest area as a % of Total land area,(per cent),48.04
2024,Forest area as a % of Total land area,(per cent),48.84
2009,Protected forest area as a % of Total forest area,(per cent),33.6
2010,Protected forest area as a % of Total forest area,(per cent),33.6
2011,Protected forest area as a % of Total forest area,(per cent),33.6
2012,Protected forest area as a % of Total forest area,(per cent),33.6
2013,Protected forest area as a % of Total forest area,(per cent),27.9
2014,Protected forest area as a % of Total forest area,(per cent),27.21
2015,Protected forest area as a % of Total forest area,(per cent),27.04
2016,Protected forest area as a % of Total forest area,(per cent),26.74
2017,Protected forest area as a % of Total forest area,(per cent),26.25
2018,Protected forest area as a % of Total forest area,(per cent),26.81
2019,Protected forest area as a % of Total forest area,(per cent),26.67
2020,Protected forest area as a % of Total forest area,(per cent),26.55
2021,Protected forest area as a % of Total forest area,(per cent),26.49
2022,Protected forest area as a % of Total forest area,(per cent),35.75
2023,Protected forest area as a % of Total forest area,(per cent),28.11
2024,Protected forest area as a % of Total forest area,(per cent),27.65
2009,Protected forest area as a % of Total land area,(per cent),10.3
2010,Protected forest area as a % of Total land area,(per cent),10.3
