Year,Kapos Mountain Class,IPCC Class,Unit,Value,Category
2000,k1,Cropland,(%),0.0,
2010,k1,Cropland,(%),0.0,
2015,k1,Cropland,(%),0.0,
2018,k1,Cropland,(%),0.0,
2000,k1,Grassland,(%),0.0,
2010,k1,Grassland,(%),0.0,
2015,k1,Grassland,(%),0.0,
2018,k1,Grassland,(%),0.0,
2000,k1,Wetland,(%),0.0,
2010,k1,Wetland,(%),0.0,
2015,k1,Wetland,(%),0.0,
2018,k1,Wetland,(%),0.0,
2000,k1,Settlement,(%),0.0,
2010,k1,Settlement,(%),0.0,
2015,k1,Settlement,(%),0.0,
2018,k1,Settlement,(%),0.0,
2000,k1,Other Land,(%),0.0,
2010,k1,Other Land,(%),0.0,
2015,k1,Other Land,(%),0.0,
2018,k1,Other Land,(%),0.0,
2000,k1,MGCI,(%),0.0,
2010,k1,MGCI,(%),0.0,
2015,k1,MGCI,(%),0.0,
2018,k1,MGCI,(%),0.0,
2000,all,MGCI All,(%),0.0,
2010,all,MGCI All,(%),0.0,
2015,all,MGCI All,(%),0.0,
2018,all,MGCI All,(%),0.0,
2000,k2,Forest,(%),98.81,
2010,k2,Forest,(%),97.75,
2015,k2,Forest,(%),97.21,
2018,k2,Forest,(%),96.89,
2000,k2,Cropland,(%),0.0,
2010,k2,Cropland,(%),0.0,
2015,k2,Cropland,(%),0.0,
2018,k2,Cropland,(%),0.0,
2000,k2,Grassland,(%),0.0,
2010,k2,Grassland,(%),0.0,
2015,k2,Grassland,(%),0.0,
2018,k2,Grassland,(%),0.0,
2000,k2,Wetland,(%),0.0,
2010,k2,Wetland,(%),0.0,
2015,k2,Wetland,(%),0.0,
2018,k2,Wetland,(%),0.0,
2000,k2,Settlement,(%),0.0,
2010,k2,Settlement,(%),0.0,
2015,k2,Settlement,(%),0.0,
2018,k2,Settlement,(%),0.0,
2000,k2,Other Land,(%),0.0,
2010,k2,Other Land,(%),0.0,
2015,k2,Other Land,(%),0.0,
2018,k2,Other Land,(%),0.0,
2000,k2,MGCI,(%),0.0,
2010,k2,MGCI,(%),0.0,
2015,k2,MGCI,(%),0.0,
2018,k2,MGCI,(%),0.0,
2000,k3,Forest,(%),0.0,
2010,k3,Forest,(%),0.0,
2015,k3,Forest,(%),0.0,
2018,k3,Forest,(%),0.0,
2000,k3,Cropland,(%),0.0,
2010,k3,Cropland,(%),0.0,
2015,k3,Cropland,(%),0.0,
2018,k3,Cropland,(%),0.0,
2000,k3,Grassland,(%),0.0,
2010,k3,Grassland,(%),0.0,
2015,k3,Grassland,(%),0.0,
2018,k3,Grassland,(%),0.0,
2000,k3,Wetland,(%),0.0,
2010,k3,Wetland,(%),0.0,
2015,k3,Wetland,(%),0.0,
2018,k3,Wetland,(%),0.0,
2000,k3,Settlement,(%),0.0,
2010,k3,Settlement,(%),0.0,
2015,k3,Settlement,(%),0.0,
2018,k3,Settlement,(%),0.0,
2000,k3,Other Land,(%),0.0,
2010,k3,Other Land,(%),0.0,
2015,k3,Other Land,(%),0.0,
2018,k3,Other Land,(%),0.0,
2000,k3,MGCI,(%),0.0,
2010,k3,MGCI,(%),0.0,
2015,k3,MGCI,(%),0.0,
2018,k3,MGCI,(%),0.0,
2000,k4,Forest,(%),0.0,
2010,k4,Forest,(%),0.0,
2015,k4,Forest,(%),96.34,
2018,k4,Forest,(%),96.74,
2000,k4,Cropland,(%),94.34,
2010,k4,Cropland,(%),95.68,
2015,k4,Cropland,(%),3.66,
2018,k4,Cropland,(%),3.26,
2000,k4,Grassland,(%),5.66,
2010,k4,Grassland,(%),4.32,
2015,k4,Grassland,(%),0.0,
2018,k4,Grassland,(%),0.0,
2000,k4,Wetland,(%),0.0,
2010,k4,Wetland,(%),0.0,
2018,k4,Wetland,(%),0.0,
2000,k4,Settlement,(%),0.0,
2010,k4,Settlement,(%),0.0,
2015,k4,Settlement,(%),0.0,
2018,k4,Settlement,(%),0.0,
2000,k4,Other Land,(%),0.0,
2010,k4,Other Land,(%),0.0,
2015,k4,Other Land,(%),0.0,
2018,k4,Other Land,(%),0.0,
2000,k4,MGCI,(%),0.0,
2010,k4,MGCI,(%),100.0,
2015,k4,MGCI,(%),100.0,
2018,k4,MGCI,(%),100.0,
2000,k4,MGCI All,(%),0.0,
2015,k4,MGCI All,(%),97.21,
2000,k5,Forest,(%),100.0,
2010,k5,Forest,(%),100.0,
2015,k5,Forest,(%),75.01,
2018,k5,Forest,(%),74.87,
2000,k5,Cropland,(%),75.7,
2010,k5,Cropland,(%),75.24,
2015,k5,Cropland,(%),23.86,
2018,k5,Cropland,(%),23.8,
2000,k5,Grassland,(%),24.16,
2010,k5,Grassland,(%),23.96,
2015,k5,Grassland,(%),0.0,
2018,k5,Grassland,(%),0.0,
2000,k5,Wetland,(%),0.0,
2010,k5,Wetland,(%),0.0,
2015,k5,Wetland,(%),0.0,
2018,k5,Wetland,(%),0.0,
2000,k5,Settlement,(%),0.0,
2010,k5,Settlement,(%),0.0,
2015,k5,Settlement,(%),1.08,
2018,k5,Settlement,(%),1.27,
2000,k5,Other Land,(%),0.13,
2010,k5,Other Land,(%),0.76,
2015,k5,Other Land,(%),0.05,
2018,k5,Other Land,(%),0.06,
2000,k5,MGC,(%),0.01,
2010,k5,MGC,(%),0.04,
2015,k5,MGC,(%),98.87,
2018,k5,MGC,(%),98.68,
2000,k6,Forest,(%),100.0,
2010,k6,Forest,(%),100.0,
2015,k6,Forest,(%),57.08,
2018,k6,Forest,(%),56.91,
2000,k6,Cropland,(%),75.7,
2010,k6,Cropland,(%),75.24,
2015,k6,Cropland,(%),35.35,
2018,k6,Cropland,(%),34.71,
2000,k6,Grassland,(%),24.16,
2010,k6,Grassland,(%),23.96,
2015,k6,Grassland,(%),0.33,
2018,k6,Grassland,(%),0.38,
2000,k6,Wetland,(%),0.0,
2010,k6,Wetland,(%),0.0,
2015,k6,Wetland,(%),0.07,
2018,k6,Wetland,(%),0.09,
2000,k6,Settlement,(%),0.0,
