Year,Description,Geographical Region,Sex,Unit,Value
2010,Total Victims,Jamaica,Female,Number,145
2011,Total Victims,Jamaica,Female,Number,119
2012,Total Victims,Jamaica,Female,Number,127
2013,Total Victims,Jamaica,Female,Number,130
2014,Total Victims,Jamaica,Female,Number,100
2015,Total Victims,Jamaica,Female,Number,116
2016,Total Victims,Jamaica,Female,Number,135
2017,Total Victims,Jamaica,Female,Number,160
2018,Total Victims,Jamaica,Female,Number,129
2019,Total Victims,Jamaica,Female,Number,128
2020,Total Victims,Jamaica,Female,Number,113
2021,Total Victims,Jamaica,Female,Number,133
2010,Total Victims,Jamaica,Male,Number,1302
2011,Total Victims,Jamaica,Male,Number,1014
2012,Total Victims,Jamaica,Male,Number,975
2013,Total Victims,Jamaica,Male,Number,1072
2014,Total Victims,Jamaica,Male,Number,905
2015,Total Victims,Jamaica,Male,Number,1093
2016,Total Victims,Jamaica,Male,Number,1219
2017,Total Victims,Jamaica,Male,Number,1487
2018,Total Victims,Jamaica,Male,Number,1160
2019,Total Victims,Jamaica,Male,Number,1212
2020,Total Victims,Jamaica,Male,Number,1220
2021,Total Victims,Jamaica,Male,Number,1341
2010,Total Victims,Jamaica,Total,Number,1447
2011,Total Victims,Jamaica,Total,Number,1133
2012,Total Victims,Jamaica,Total,Number,1102
2013,Total Victims,Jamaica,Total,Number,1202
2014,Total Victims,Jamaica,Total,Number,1005
2015,Total Victims,Jamaica,Total,Number,1209
2016,Total Victims,Jamaica,Total,Number,1354
2017,Total Victims,Jamaica,Total,Number,1647
2018,Total Victims,Jamaica,Total,Number,1289
2019,Total Victims,Jamaica,Total,Number,1340
2020,Total Victims,Jamaica,Total,Number,1333
2021,Total Victims,Jamaica,Total,Number,1476
2022,Total Victims,Jamaica,Total,Number,1516
2023,Total Victims,Jamaica,Total,Number,1404
2024,Total Victims,Jamaica,Total,Number,1142
2010,Victim Rate,Jamaica,Total,"Per 100,000 population",53.6
2011,Victim Rate,Jamaica,Total,"Per 100,000 population",41.9
2012,Victim Rate,Jamaica,Total,"Per 100,000 population",40.1
2013,Victim Rate,Jamaica,Total,"Per 100,000 population",44.2
2014,Victim Rate,Jamaica,Total,"Per 100,000 population",36.9
2015,Victim Rate,Jamaica,Total,"Per 100,000 population",44.5
2016,Victim Rate,Jamaica,Total,"Per 100,000 population",49.8
2017,Victim Rate,Jamaica,Total,"Per 100,000 population",60.5
2018,Victim Rate,Jamaica,Total,"Per 100,000 population",47.2
2019,Victim Rate,Jamaica,Total,"Per 100,000 population",49.0
2020,Victim Rate,Jamaica,Total,"Per 100,000 population",48.8
2021,Victim Rate,Jamaica,Total,"Per 100,000 population",54.0
2022,Victim Rate,Jamaica,Total,"Per 100,000 population",55.3
2023,Victim Rate,Jamaica,Total,"Per 100,000 population",51.4
2024,Victim Rate,Jamaica,Total,"Per 100,000 population",41.9
2010,Victim Rate,Jamaica,Male,"Per 100,000 population",97.5
2011,Victim Rate,Jamaica,Male,"Per 100,000 population",75.8
2012,Victim Rate,Jamaica,Male,"Per 100,000 population",71
2013,Victim Rate,Jamaica,Male,"Per 100,000 population",79.6
2014,Victim Rate,Jamaica,Male,"Per 100,000 population",65.9
2015,Victim Rate,Jamaica,Male,"Per 100,000 population",81.3
2016,Victim Rate,Jamaica,Male,"Per 100,000 population",90.5
2017,Victim Rate,Jamaica,Male,"Per 100,000 population",110.3
2018,Victim Rate,Jamaica,Male,"Per 100,000 population",84.1
2019,Victim Rate,Jamaica,Male,"Per 100,000 population",89.7
