Year,Type of Detainee,Geographical Area,Value,Unit
1998,Unsentenced Detainees,Jamaica,28.7,%
2011,Unsentenced Detainees,Jamaica,21.1,%
2012,Unsentenced Detainees,Jamaica,25.6,%
2013,Unsentenced Detainees,Jamaica,20.3,%
2014,Unsentenced Detainees,Jamaica,24.9,%
2015,Unsentenced Detainees,Jamaica,26.5,%
2016,Unsentenced Detainees,Jamaica,23.9,%
2017,Unsentenced Detainees,Jamaica,30.3,%
2018,Unsentenced Detainees,Jamaica,28.7,%
2019,Unsentenced Detainees,Jamaica,27.7,%
2020,Unsentenced Detainees,Jamaica,25.8,%
2021,Unsentenced Detainees,Jamaica,25.3,%
2022,Unsentenced Detainees,Jamaica,26.5,%
2023,Unsentenced Detainees,Jamaica,39.2,%
