Year,Category,Unit,Value
FY2013/2014,Central Government Revenue and Grants,(J$ Million),396979.4
FY2014/2015,Central Government Revenue and Grants,(J$ Million),411716.1
FY2015/2016,Central Government Revenue and Grants,(J$ Million),455800.0
FY2016/2017,Central Government Revenue and Grants,(J$ Million),499900.0
FY2017/2018,Central Government Revenue and Grants,(J$ Million),560800.0
FY2018/2019,Central Government Revenue and Grants,(J$ Million),629000.0
FY2019/2020,Central Government Revenue and Grants,(J$ Million),649800.0
FY2020/2021,Central Government Revenue and Grants,(J$ Million),575400.0
FY2021/2022,Central Government Revenue and Grants,(J$ Million),716900.0
FY2022/2023,Central Government Revenue and Grants,(J$ Million),827800.0
FY2023/2024,Central Government Revenue and Grants,(J$ Million),925300.0
FY2024/2025,Central Government Revenue and Grants,(J$ Million),1058600.0
FY2015/2016,Fiscal Year GDP,(J$ Million),1775700.0
FY2016/2017,Fiscal Year GDP,(J$ Million),1901500.0
FY2017/2018,Fiscal Year GDP,(J$ Million),2052600.0
FY2018/2019,Fiscal Year GDP,(J$ Million),2195900.0
FY2019/2020,Fiscal Year GDP,(J$ Million),2293500.0
FY2020/2021,Fiscal Year GDP,(J$ Million),2110800.0
FY2021/2022,Fiscal Year GDP,(J$ Million),2535600.0
FY2022/2023,Fiscal Year GDP,(J$ Million),3023400.0
FY2023/2024,Fiscal Year GDP,(J$ Million),3339100.0
FY2024/2025,Fiscal Year GDP,(J$ Million),3496000.0
FY2015/2016,Proportion of Central Government Revenue to GDP,(Per cent),25.7
FY2016/2017,Proportion of Central Government Revenue to GDP,(Per cent),26.3
FY2017/2018,Proportion of Central Government Revenue to GDP,(Per cent),27.3
FY2018/2019,Proportion of Central Government Revenue to GDP,(Per cent),28.6
FY2019/2020,Proportion of Central Government Revenue to GDP,(Per cent),28.3
FY2020/2021,Proportion of Central Government Revenue to GDP,(Per cent),27.3
FY2021/2022,Proportion of Central Government Revenue to GDP,(Per cent),28.3
FY2022/2023,Proportion of Central Government Revenue to GDP,(Per cent),27.4
FY2023/2024,Proportion of Central Government Revenue to GDP,(Per cent),27.7
FY2024/2025,Proportion of Central Government Revenue to GDP,(Per cent),30.3
FY2019/2020,General Government Revenue and Grants,(J$ Million),768449.70
FY2020/2021,General Government Revenue and Grants,(J$ Million),686560.70
FY2021/2022,General Government Revenue and Grants,(J$ Million),850788.10
FY2022/2023,General Government Revenue and Grants,(J$ Million),977902.70
FY2023/2024,General Government Revenue and Grants,(J$ Million),1731088.0
FY2024/2025,General Government Revenue and Grants,(J$ Million),1721973.0
FY2019/2020,Fiscal Year GDP,(J$ Million),1610013.0
FY2020/2021,Fiscal Year GDP,(J$ Million),1469316.0
FY2021/2022,Fiscal Year GDP,(J$ Million),1609735.0
FY2022/2023,Fiscal Year GDP,(J$ Million),1698878.0
