Year,Indicator,Name,Value,Category,Unit
2012,GDP (Current),(US$Mn),14790,,
2012,Remittance as a  proportion of GDP,,13.8,,
2013,Remittance Inflows,(US$Mn),as a  proportion of GDP,,
2013,GDP (Current),(US$Mn),14183,,
2013,Remittance as a  proportion of GDP,,14.6,,
2014,Remittance Inflows,(US$Mn),as a  proportion of GDP,,
2014,GDP (Current),(US$Mn),13852,,
2014,Remittance as a  proportion of GDP,,15.6,,
2015,Remittance Inflows,(US$Mn),as a  proportion of GDP,,
2015,GDP (Current),(US$Mn),14137,,
2015,Remittance as a  proportion of GDP,,15.7,,
2016,Remittance Inflows,(US$Mn),as a  proportion of GDP,,
2016,GDP (Current),(US$Mn),14074,,
2016,Remittance as a  proportion of GDP,,16.3,,
2017,Remittance Inflows,(US$Mn),as a  proportion of GDP,,
2017,GDP (Current),(US$Mn),14809,,
2017,Remittance as a  proportion of GDP,,15.6,,
2018,Remittance Inflows,(US$Mn),as a  proportion of GDP,,
2018,GDP (Current),(US$Mn),15728,,
2018,Remittance as a  proportion of GDP,,14.9,,
2019,Remittance Inflows,(US$Mn),as a  proportion of GDP,,
2019,GDP (Current),(US$Mn),15857.8,,
2019,Remittance as a  proportion of GDP,,15.2,,
2020,Remittance Inflows,(US$Mn),as a  proportion of GDP,,
2020,GDP (Current),(US$Mn),13835.6,,
2020,Remittance as a  proportion of GDP,,21,,
2009,Remittance as a  proportion of GDP,,14.8,,
2009,Remittance as a  proportion of GDP,,14.5,,
2009,Remittance as a  proportion of GDP,,14.1,,
2009,Remittance as a  proportion of GDP,,13.8,,
2009,Remittance as a  proportion of GDP,,14.6,,
2009,Remittance as a  proportion of GDP,,15.5,,
2009,Remittance as a  proportion of GDP,,15.7,,
2009,Remittance as a  proportion of GDP,,16.3,,
2009,Remittance as a  proportion of GDP,,15.6,,
2009,Remittance as a  proportion of GDP,,14.9,,
2009,,,1790,Remittance Inflows,(US$Mn)
2009,,,12067,GDP (Current),(US$Mn)
2009,,,14.8,Remittance as a  proportion of GDP,
2010,,,1906,Remittance Inflows,(US$Mn)
2010,,,13199,GDP (Current),(US$Mn)
2010,,,14.4,Remittance as a  proportion of GDP,
2011,,,2018,Remittance Inflows,(US$Mn)
2011,,,14408,GDP (Current),(US$Mn)
2011,,,14.0,Remittance as a  proportion of GDP,
2012,,,2042,Remittance Inflows,(US$Mn)
2012,,,14790,GDP (Current),(US$Mn)
2012,,,13.8,Remittance as a  proportion of GDP,
2013,,,2065,Remittance Inflows,(US$Mn)
2013,,,14183,GDP (Current),(US$Mn)
2013,,,14.6,Remittance as a  proportion of GDP,
2014,,,2157,Remittance Inflows,(US$Mn)
2014,,,13852,GDP (Current),(US$Mn)
2014,,,15.6,Remittance as a  proportion of GDP,
2015,,,2226,Remittance Inflows,(US$Mn)
2015,,,14137,GDP (Current),(US$Mn)
2015,,,15.7,Remittance as a  proportion of GDP,
2016,,,2292,Remittance Inflows,(US$Mn)
2016,,,14074,GDP (Current),(US$Mn)
2016,,,16.3,Remittance as a  proportion of GDP,
2017,,,2305.3,Remittance Inflows,(US$Mn)
2017,,,14809,GDP (Current),(US$Mn)
2017,,,15.6,Remittance as a  proportion of GDP,
2018,,,2345.8,Remittance Inflows,(US$Mn)
2018,,,15728,GDP (Current),(US$Mn)
2018,,,14.9,Remittance as a  proportion of GDP,
2019,,,2405.6,Remittance Inflows,(US$Mn)
2019,,,15857.8,GDP (Current),(US$Mn)
2019,,,15.2,Remittance as a  proportion of GDP,
2020,,,2905.6,Remittance Inflows,(US$Mn)
2020,,,13835.6,GDP (Current),(US$Mn)
2020,,,21.0,Remittance as a  proportion of GDP,
2021,,,3497.1,Remittance Inflows,(US$Mn)
2021,,,14638.7,GDP (Current),(US$Mn)
2021,,,23.9,Remittance as a  proportion of GDP,
