Year,Category,Speed Category,Unit,Value
2010,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,4.3
2011,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,4.4
2012,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,4.5
2013,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,5.2
2014,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,5.7
2015,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,6.0
2016,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,10.5
2017,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,8.8
2018,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,10.4
2019,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,11.6
2020,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,14.1
2021,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,15.1
2022,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,15.5
2023,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,16.4
2024,Fixed Internet Broadband Subscriptions,Total,Per 100 inhabitants,16.6
2015,Fixed Internet Broadband Subscriptions by Speed,Speed Band 1,Per 100 inhabitants,n/a
2016,Fixed Internet Broadband Subscriptions by Speed,Speed Band 1,Per 100 inhabitants,0.33
2017,Fixed Internet Broadband Subscriptions by Speed,Speed Band 1,Per 100 inhabitants,0.26
2018,Fixed Internet Broadband Subscriptions by Speed,Speed Band 1,Per 100 inhabitants,0.21
2019,Fixed Internet Broadband Subscriptions by Speed,Speed Band 1,Per 100 inhabitants,0.14
2020,Fixed Internet Broadband Subscriptions by Speed,Speed Band 1,Per 100 inhabitants,0.09
2021,Fixed Internet Broadband Subscriptions by Speed,Speed Band 1,Per 100 inhabitants,0.05
2022,Fixed Internet Broadband Subscriptions by Speed,Speed Band 1,Per 100 inhabitants,0.07
2023,Fixed Internet Broadband Subscriptions by Speed,Speed Band 1,Per 100 inhabitants,0.04
2024,Fixed Internet Broadband Subscriptions by Speed,Speed Band 1,Per 100 inhabitants,0.00
2015,Fixed Internet Broadband Subscriptions by Speed,Speed Band 2,Per 100 inhabitants,n/a
2016,Fixed Internet Broadband Subscriptions by Speed,Speed Band 2,Per 100 inhabitants,4.73
2017,Fixed Internet Broadband Subscriptions by Speed,Speed Band 2,Per 100 inhabitants,2.83
2018,Fixed Internet Broadband Subscriptions by Speed,Speed Band 2,Per 100 inhabitants,3.07
2019,Fixed Internet Broadband Subscriptions by Speed,Speed Band 2,Per 100 inhabitants,3.16
2020,Fixed Internet Broadband Subscriptions by Speed,Speed Band 2,Per 100 inhabitants,1.16
2021,Fixed Internet Broadband Subscriptions by Speed,Speed Band 2,Per 100 inhabitants,1.05
2022,Fixed Internet Broadband Subscriptions by Speed,Speed Band 2,Per 100 inhabitants,0.72
2023,Fixed Internet Broadband Subscriptions by Speed,Speed Band 2,Per 100 inhabitants,0.33
2024,Fixed Internet Broadband Subscriptions by Speed,Speed Band 2,Per 100 inhabitants,0.10
2015,Fixed Internet Broadband Subscriptions by Speed,Speed Band 3,Per 100 inhabitants,n/a
2016,Fixed Internet Broadband Subscriptions by Speed,Speed Band 3,Per 100 inhabitants,5.42
2017,Fixed Internet Broadband Subscriptions by Speed,Speed Band 3,Per 100 inhabitants,5.67
2018,Fixed Internet Broadband Subscriptions by Speed,Speed Band 3,Per 100 inhabitants,7.17
2019,Fixed Internet Broadband Subscriptions by Speed,Speed Band 3,Per 100 inhabitants,8.34
2020,Fixed Internet Broadband Subscriptions by Speed,Speed Band 3,Per 100 inhabitants,12.86
2021,Fixed Internet Broadband Subscriptions by Speed,Speed Band 3,Per 100 inhabitants,14.04
2022,Fixed Internet Broadband Subscriptions by Speed,Speed Band 3,Per 100 inhabitants,14.75
2023,Fixed Internet Broadband Subscriptions by Speed,Speed Band 3,Per 100 inhabitants,16.04
2024,Fixed Internet Broadband Subscriptions by Speed,Speed Band 3,Per 100 inhabitants,16.40
