Year,Geographical Region,Indicator Type,Unit,Value
2018,Jamaica,Proxy,Per cent,62.7
2019,Jamaica,Proxy,Per cent,62.0
2020,Jamaica,Proxy,Per cent,
2021,Jamaica,Proxy,Per cent,52.3
2022,Jamaica,Proxy,Per cent,
2023,Jamaica,Proxy,Per cent,49.4
2018,GKMA,Proxy,Per cent,67.9
2019,GKMA,Proxy,Per cent,68.0
2020,GKMA,Proxy,Per cent,
2021,GKMA,Proxy,Per cent,64.9
2022,GKMA,Proxy,Per cent,
2023,GKMA,Proxy,Per cent,61.2
2018,Other Urban Centres,Proxy,Per cent,65.5
2019,Other Urban Centres,Proxy,Per cent,60.6
2020,Other Urban Centres,Proxy,Per cent,
2021,Other Urban Centres,Proxy,Per cent,48.0
2022,Other Urban Centres,Proxy,Per cent,
2023,Other Urban Centres,Proxy,Per cent,44.7
2018,Rural Areas,Proxy,Per cent,58.0
2019,Rural Areas,Proxy,Per cent,58.3
2020,Rural Areas,Proxy,Per cent,
2021,Rural Areas,Proxy,Per cent,45.0
2022,Rural Areas,Proxy,Per cent,
2023,Rural Areas,Proxy,Per cent,44.3
2018,Jamaica,Proxy,Per cent,26.1
2019,Jamaica,Proxy,Per cent,27.5
2020,Jamaica,Proxy,Per cent,
2021,Jamaica,Proxy,Per cent,31.9
2022,Jamaica,Proxy,Per cent,
2023,Jamaica,Proxy,Per cent,34.6
2018,GKMA,Proxy,Per cent,20.9
2019,GKMA,Proxy,Per cent,23.5
2020,GKMA,Proxy,Per cent,
2021,GKMA,Proxy,Per cent,23.7
2022,GKMA,Proxy,Per cent,
2023,GKMA,Proxy,Per cent,29.4
2018,Other Urban Centres,Proxy,Per cent,23.7
2019,Other Urban Centres,Proxy,Per cent,29.7
2020,Other Urban Centres,Proxy,Per cent,
2021,Other Urban Centres,Proxy,Per cent,31.0
2022,Other Urban Centres,Proxy,Per cent,
2023,Other Urban Centres,Proxy,Per cent,37.0
2018,Rural Areas,Proxy,Per cent,30.6
2019,Rural Areas,Proxy,Per cent,29.4
2020,Rural Areas,Proxy,Per cent,
2021,Rural Areas,Proxy,Per cent,38.3
2022,Rural Areas,Proxy,Per cent,
2023,Rural Areas,Proxy,Per cent,36.8
2018,Jamaica,Proxy,Per cent,11.2
2019,Jamaica,Proxy,Per cent,10.5
2020,Jamaica,Proxy,Per cent,
2021,Jamaica,Proxy,Per cent,15.8
2022,Jamaica,Proxy,Per cent,
2023,Jamaica,Proxy,Per cent,15.90
2018,GKMA,Proxy,Per cent,11.2
2019,GKMA,Proxy,Per cent,8.4
2020,GKMA,Proxy,Per cent,
2021,GKMA,Proxy,Per cent,11.3
2022,GKMA,Proxy,Per cent,
2023,GKMA,Proxy,Per cent,9.4
2018,Other Urban Centres,Proxy,Per cent,10.8
2019,Other Urban Centres,Proxy,Per cent,9.7
2020,Other Urban Centres,Proxy,Per cent,
2021,Other Urban Centres,Proxy,Per cent,21.1
2022,Other Urban Centres,Proxy,Per cent,
2023,Other Urban Centres,Proxy,Per cent,18.3
2018,Rural Areas,Proxy,Per cent,11.4
2019,Rural Areas,Proxy,Per cent,12.3
2020,Rural Areas,Proxy,Per cent,
2021,Rural Areas,Proxy,Per cent,16.7
2022,Rural Areas,Proxy,Per cent,
2023,Rural Areas,Proxy,Per cent,18.9
