Year,Description,Disaggregation Level,Value
2015,Number of local breeds kept in the country,Total,8
2015,Number of transboundary breeds (including extinct ones),Total,18
2016,Number of local breeds kept in the country,Total,8
2016,Number of transboundary breeds (including extinct ones),Total,18
2017,Number of local breeds kept in the country,Total,8
2017,Number of transboundary breeds (including extinct ones),Total,18
2018,Number of local breeds kept in the country,Total,8
2018,Number of transboundary breeds (including extinct ones),Total,18
2019,Number of local breeds kept in the country,Total,8
2019,Number of transboundary breeds (including extinct ones),Total,18
2020,Number of local breeds kept in the country,Total,8
2020,Number of transboundary breeds (including extinct ones),Total,18
2021,Number of local breeds kept in the country,Total,8
2021,Number of transboundary breeds (including extinct ones),Total,18
2022,Number of local breeds kept in the country,Total,8
2022,Number of transboundary breeds (including extinct ones),Total,18
