Year,Geographical Region,Unit,Value
2014,Jamaica,(Under five Mortality Ratio),20.4
2015,Jamaica,(Under five Mortality Ratio),19.6
2016,Jamaica,(Under five Mortality Ratio),17.4
2017,Jamaica,(Under five Mortality Ratio),18.4
2018,Jamaica,(Under five Mortality Ratio),18.8
2019,Jamaica,(Under five Mortality Ratio),20.5
2020,Jamaica,(Under five Mortality Ratio),17.7
2021,Jamaica,(Under five Mortality Ratio),19.0
2022,Jamaica,(Under five Mortality Ratio),21.0
2023,Jamaica,(Under five Mortality Ratio),18.5
