Year,Tubercolosis Indicator,Geogaphical Region,Value
2015,"Tuberculosis incidence per 100,000 population",Jamaica,99
2016,"Tuberculosis incidence per 100,000 population",Jamaica,n.a
2017,"Tuberculosis incidence per 100,000 population",Jamaica,124
2018,"Tuberculosis incidence per 100,000 population",Jamaica,84
2019,"Tuberculosis incidence per 100,000 population",Jamaica,75
2020,"Tuberculosis incidence per 100,000 population",Jamaica,61
2021,"Tuberculosis incidence per 100,000 population",Jamaica,57
2022,"Tuberculosis incidence per 100,000 population",Jamaica,83
2023,"Tuberculosis incidence per 100,000 population",Jamaica,66
2024,"Tuberculosis incidence per 100,000 population",Jamaica,60
