Year,Mortality Indictor,Geogaphical Region,Value
2014,Mortality rate attributed to cardiovascular disease cancer diabetes or chronic respiratory disease,Jamaica,67
2015,Mortality rate attributed to cardiovascular disease cancer diabetes or chronic respiratory disease,Jamaica,19.1
2016,Mortality rate attributed to cardiovascular disease cancer diabetes or chronic respiratory disease,Jamaica,19.0
2017,Mortality rate attributed to cardiovascular disease cancer diabetes or chronic respiratory disease,Jamaica,18.9
2018,Mortality rate attributed to cardiovascular disease cancer diabetes or chronic respiratory disease,Jamaica,19.4
2019,Mortality rate attributed to cardiovascular disease cancer diabetes or chronic respiratory disease,Jamaica,19.2
2020,Mortality rate attributed to cardiovascular disease cancer diabetes or chronic respiratory disease,Jamaica,21.0
2021,Mortality rate attributed to cardiovascular disease cancer diabetes or chronic respiratory disease,Jamaica,21.1
2022,Mortality rate attributed to cardiovascular disease cancer diabetes or chronic respiratory disease,Jamaica,20.0
2020,Mortality attributed to cardiovascular disease cancer diabetes or chronic respiratory disease (Number),Jamaica,13765
2021,Mortality attributed to cardiovascular disease cancer diabetes or chronic respiratory disease (Number),Jamaica,13679
2022,Mortality attributed to cardiovascular disease cancer diabetes or chronic respiratory disease (Number),Jamaica,14887
