Year,Indicator for road traffic injuries,Unit,Geographical Region,Value
2010,Death rate due to road traffic injuries,per 100.000 population,Jamaica,11.8
2011,Death rate due to road traffic injuries,per 100.000 population,Jamaica,11.4
2012,Death rate due to road traffic injuries,per 100.000 population,Jamaica,9.6
2013,Death rate due to road traffic injuries,per 100.000 population,Jamaica,11.3
2014,Death rate due to road traffic injuries,per 100.000 population,Jamaica,12.2
2015,Death rate due to road traffic injuries,per 100.000 population,Jamaica,14.1
2016,Death rate due to road traffic injuries,per 100.000 population,Jamaica,13.9
2017,Death rate due to road traffic injuries,per 100.000 population,Jamaica,11.8
2018,Death rate due to road traffic injuries,per 100.000 population,Jamaica,14.3
2019,Death rate due to road traffic injuries,per 100.000 population,Jamaica,16.1
2020,Death rate due to road traffic injuries,per 100.000 population,Jamaica,15.9
2021,Death rate due to road traffic injuries,per 100.000 population,Jamaica,17.8
2022,Death rate due to road traffic injuries,per 100.000 population,Jamaica,17.9
2023,Death rate due to road traffic injuries,per 100.000 population,Jamaica,15.6
2024,Death rate due to road traffic injuries,per 100.000 population,Jamaica,13.4
