Year,Indicator,Geographical Region,Sex,Value
2013,Proportion of respondents covered by health insurance,Jamaica,,26.4
2014,Proportion of respondents covered by health insurance,Jamaica,,17.7
2015,Proportion of respondents covered by health insurance,Jamaica,,18.9
2016,Proportion of respondents covered by health insurance,Jamaica,,18.3
2017,Proportion of respondents covered by health insurance,Jamaica,,18.6
2018,Proportion of respondents covered by health insurance,Jamaica,,18.4
2019,Proportion of respondents covered by health insurance,Jamaica,,18.2
2020,Proportion of respondents covered by health insurance,Jamaica,,n.a
2021,Proportion of respondents covered by health insurance,Jamaica,,21.4
2023,Proportion of respondents covered by health insurance,Jamaica,,20.1
2013,Proportion of respondents covered by health insurance,Rural Area,,10
2014,Proportion of respondents covered by health insurance,Rural Area,,10.3
2015,Proportion of respondents covered by health insurance,Rural Area,,11.3
2016,Proportion of respondents covered by health insurance,Rural Area,,13.9
2017,Proportion of respondents covered by health insurance,Rural Area,,13.8
2018,Proportion of respondents covered by health insurance,Rural Area,,13.6
2019,Proportion of respondents covered by health insurance,Rural Area,,12.8
2020,Proportion of respondents covered by health insurance,Rural Area,,n.a
2021,Proportion of respondents covered by health insurance,Rural Area,,12.2
2023,Proportion of respondents covered by health insurance,Rural Area,,13.3
2013,Proportion of respondents covered by health insurance,Greater Kingston Metropolitan Area,,26.3
2014,Proportion of respondents covered by health insurance,Greater Kingston Metropolitan Area,,31.1
2015,Proportion of respondents covered by health insurance,Greater Kingston Metropolitan Area,,31.1
2016,Proportion of respondents covered by health insurance,Greater Kingston Metropolitan Area,,25.4
2017,Proportion of respondents covered by health insurance,Greater Kingston Metropolitan Area,,27.4
2018,Proportion of respondents covered by health insurance,Greater Kingston Metropolitan Area,,28.6
2019,Proportion of respondents covered by health insurance,Greater Kingston Metropolitan Area,,27.5
2020,Proportion of respondents covered by health insurance,Greater Kingston Metropolitan Area,,n.a
2021,Proportion of respondents covered by health insurance,Greater Kingston Metropolitan Area,,33.9
2023,Proportion of respondents covered by health insurance,Greater Kingston Metropolitan Area,,32.6
2013,Proportion of respondents covered by health insurance,Other Urban Centres,,19.6
2014,Proportion of respondents covered by health insurance,Other Urban Centres,,14
2015,Proportion of respondents covered by health insurance,Other Urban Centres,,18.3
2016,Proportion of respondents covered by health insurance,Other Urban Centres,,18.9
2017,Proportion of respondents covered by health insurance,Other Urban Centres,,17.7
2018,Proportion of respondents covered by health insurance,Other Urban Centres,,16.1
2019,Proportion of respondents covered by health insurance,Other Urban Centres,,16.2
2020,Proportion of respondents covered by health insurance,Other Urban Centres,,n.a
2021,Proportion of respondents covered by health insurance,Other Urban Centres,,20.5
2023,Proportion of respondents covered by health insurance,Other Urban Centres,,15.2
2013,Proportion of respondents covered by health insurance,,Male,16.3
2014,Proportion of respondents covered by health insurance,,Male,16.4
2015,Proportion of respondents covered by health insurance,,Male,17.7
2016,Proportion of respondents covered by health insurance,,Male,16.4
2017,Proportion of respondents covered by health insurance,,Male,16.3
2018,Proportion of respondents covered by health insurance,,Male,16.5
2019,Proportion of respondents covered by health insurance,,Male,17.0
2020,Proportion of respondents covered by health insurance,,Male,n.a
2021,Proportion of respondents covered by health insurance,,Male,18.7
2023,Proportion of respondents covered by health insurance,,Male,18.5
2013,Proportion of respondents covered by health insurance,,Female,17.9
2014,Proportion of respondents covered by health insurance,,Female,19
2015,Proportion of respondents covered by health insurance,,Female,20
2016,Proportion of respondents covered by health insurance,,Female,20
2017,Proportion of respondents covered by health insurance,,Female,20.8
2018,Proportion of respondents covered by health insurance,,Female,20.2
2019,Proportion of respondents covered by health insurance,,Female,19.4
2020,Proportion of respondents covered by health insurance,,Female,n.a
2021,Proportion of respondents covered by health insurance,,Female,23.9
2023,Proportion of respondents covered by health insurance,,Female,21.6
