Year,Ratio,Geographical Region,Wealth Index Quintiles,Value
2011,Girls Adjusted Net Attendance Ratio (NAR) Primary School,Jamaica,,98.7
2022,Girls Adjusted Net Attendance Ratio (NAR) Primary School,Jamaica,,96.8
2011,Girls Adjusted Net Attendance Ratio (NAR) Primary School,GKMA,,98.5
2022,Girls Adjusted Net Attendance Ratio (NAR) Primary School,GKMA,,97.6
2011,Girls Adjusted Net Attendance Ratio (NAR) Primary School,Other Towns,,98.3
2022,Girls Adjusted Net Attendance Ratio (NAR) Primary School,Other Towns,,95.7
2011,Girls Adjusted Net Attendance Ratio (NAR) Primary School,Urban Area,,98.5
2022,Girls Adjusted Net Attendance Ratio (NAR) Primary School,Urban Area,,96.7
2011,Girls Adjusted Net Attendance Ratio (NAR) Primary School,Rural Area,,99.0
2022,Girls Adjusted Net Attendance Ratio (NAR) Primary School,Rural Area,,97.0
2011,Girls Adjusted Net Attendance Ratio (NAR) Primary School,,Poorest,98.9
2022,Girls Adjusted Net Attendance Ratio (NAR) Primary School,,Poorest,94.5
2011,Girls Adjusted Net Attendance Ratio (NAR) Primary School,,Second,98.6
2022,Girls Adjusted Net Attendance Ratio (NAR) Primary School,,Second,96.4
2011,Girls Adjusted Net Attendance Ratio (NAR) Primary School,,Middle,97.9
2022,Girls Adjusted Net Attendance Ratio (NAR) Primary School,,Middle,98.7
2011,Girls Adjusted Net Attendance Ratio (NAR) Primary School,,Fourth,99.2
2022,Girls Adjusted Net Attendance Ratio (NAR) Primary School,,Fourth,97.3
2011,Girls Adjusted Net Attendance Ratio (NAR) Primary School,,Richest,99
2022,Girls Adjusted Net Attendance Ratio (NAR) Primary School,,Richest,98.4
2011,Boys Adjusted Net Attendance Ratio (NAR) Primary School,Jamaica,,97.2
2022,Boys Adjusted Net Attendance Ratio (NAR) Primary School,Jamaica,,94.2
2011,Boys Adjusted Net Attendance Ratio (NAR) Primary School,KMA,,97.1
2022,Boys Adjusted Net Attendance Ratio (NAR) Primary School,KMA,,93.9
2011,Boys Adjusted Net Attendance Ratio (NAR) Primary School,Other Towns,,98.2
2022,Boys Adjusted Net Attendance Ratio (NAR) Primary School,Other Towns,,97.4
2011,Boys Adjusted Net Attendance Ratio (NAR) Primary School,Urban Area,,97.6
2022,Boys Adjusted Net Attendance Ratio (NAR) Primary School,Urban Area,,95.6
2011,Boys Adjusted Net Attendance Ratio (NAR) Primary School,Rural Area,,96.8
2022,Boys Adjusted Net Attendance Ratio (NAR) Primary School,Rural Area,,93.2
2011,Boys Adjusted Net Attendance Ratio (NAR) Primary School,,Poorest,96.0
2022,Boys Adjusted Net Attendance Ratio (NAR) Primary School,,Poorest,91.1
2011,Boys Adjusted Net Attendance Ratio (NAR) Primary School,,Second,97.9
2022,Boys Adjusted Net Attendance Ratio (NAR) Primary School,,Second,96.0
2011,Boys Adjusted Net Attendance Ratio (NAR) Primary School,,Middle,96.4
2022,Boys Adjusted Net Attendance Ratio (NAR) Primary School,,Middle,93.6
2011,Boys Adjusted Net Attendance Ratio (NAR) Primary School,,Fourth,97.8
2022,Boys Adjusted Net Attendance Ratio (NAR) Primary School,,Fourth,93.3
2011,Boys Adjusted Net Attendance Ratio (NAR) Primary School,,Richest,98.5
2022,Boys Adjusted Net Attendance Ratio (NAR) Primary School,,Richest,97.9
2022,Girls Adjusted Net Attendance Ratio (NAR) Lower Secondary School,Jamaica,,94.3
2022,Girls Adjusted Net Attendance Ratio (NAR) Lower Secondary School,GKMA,,94.6
2022,Girls Adjusted Net Attendance Ratio (NAR) Lower Secondary School,Other Urban Centre,,98.1
2022,Girls Adjusted Net Attendance Ratio (NAR) Lower Secondary School,Urban,,96.3
2022,Girls Adjusted Net Attendance Ratio (NAR) Lower Secondary School,Rural,,92.7
2022,Girls Adjusted Net Attendance Ratio (NAR) Lower Secondary School,,Poorest,87.9
2022,Girls Adjusted Net Attendance Ratio (NAR) Lower Secondary School,,Second,94.6
2022,Girls Adjusted Net Attendance Ratio (NAR) Lower Secondary School,,Middle,95.5
2022,Girls Adjusted Net Attendance Ratio (NAR) Lower Secondary School,,Fourth,97.7
2022,Girls Adjusted Net Attendance Ratio (NAR) Lower Secondary School,,Richest,98.3
2022,Boys Adjusted Net Attendance Ratio (NAR) Lower Secondary School,Jamaica,,89.2
2022,Boys Adjusted Net Attendance Ratio (NAR) Lower Secondary School,KMA,,89.6
2022,Boys Adjusted Net Attendance Ratio (NAR) Lower Secondary School,Other Towns,,88.5
2022,Boys Adjusted Net Attendance Ratio (NAR) Lower Secondary School,Urban Total,,89.1
2022,Boys Adjusted Net Attendance Ratio (NAR) Lower Secondary School,Rural,,89.3
2022,Boys Adjusted Net Attendance Ratio (NAR) Lower Secondary School,,Poorest,81.3
2022,Boys Adjusted Net Attendance Ratio (NAR) Lower Secondary School,,Second,89.5
2022,Boys Adjusted Net Attendance Ratio (NAR) Lower Secondary School,,Middle,91.3
2022,Boys Adjusted Net Attendance Ratio (NAR) Lower Secondary School,,Fourth,87.8
2022,Boys Adjusted Net Attendance Ratio (NAR) Lower Secondary School,,Richest,97.4
2022,Girls Adjusted Net Attendance Ratio (NAR) Upper Secondary School,Jamaica,,86.7
2022,Girls Adjusted Net Attendance Ratio (NAR) Upper Secondary School,GKMA,,86.3
2022,Girls Adjusted Net Attendance Ratio (NAR) Upper Secondary School,Other Urban Centre,,94.4
2022,Girls Adjusted Net Attendance Ratio (NAR) Upper Secondary School,Urban,,90.4
2022,Girls Adjusted Net Attendance Ratio (NAR) Upper Secondary School,Rural,,84.3
2022,Girls Adjusted Net Attendance Ratio (NAR) Upper Secondary School,,Poorest,83.3
2022,Girls Adjusted Net Attendance Ratio (NAR) Upper Secondary School,,Second,78.7
2022,Girls Adjusted Net Attendance Ratio (NAR) Upper Secondary School,,Middle,90.6
2022,Girls Adjusted Net Attendance Ratio (NAR) Upper Secondary School,,Fourth,94.1
2022,Girls Adjusted Net Attendance Ratio (NAR) Upper Secondary School,,Richest,89.2
2022,Boys Adjusted Net Attendance Ratio (NAR) Upper Secondary School,Jamaica,,77.6
2022,Boys Adjusted Net Attendance Ratio (NAR) Upper Secondary School,KMA,,76.4
2022,Boys Adjusted Net Attendance Ratio (NAR) Upper Secondary School,Other Towns,,78.8
