Year,Subject,Sex,Parish,Unit,Value
2017,English A Only,Female,,Number,5486
2018,English A Only,Female,,Number,5038
2017,English A Only,Male,,Number,3485
2018,English A Only,Male,,Number,2740
2017,English A Only,,Jamaica,Number,8971
2018,English A Only,,Jamaica,Number,7778
2017,English A Only,,Kingston,Number,617
2018,English A Only,,Kingston,Number,495
2017,English A Only,,St Andrew,Number,1640
2018,English A Only,,St Andrew,Number,1368
2017,English A Only,,St Thomas,Number,259
2018,English A Only,,St Thomas,Number,245
2017,English A Only,,Portland,Number,287
2018,English A Only,,Portland,Number,268
2017,English A Only,,St Mary,Number,461
2018,English A Only,,St Mary,Number,436
2017,English A Only,,St Ann,Number,592
2018,English A Only,,St Ann,Number,534
2017,English A Only,,Trelawny,Number,264
2018,English A Only,,Trelawny,Number,230
2017,English A Only,,St James,Number,569
2018,English A Only,,St James,Number,446
2017,English A Only,,Hanover,Number,326
2018,English A Only,,Hanover,Number,271
2017,English A Only,,Westmoreland,Number,391
2018,English A Only,,Westmoreland,Number,320
2017,English A Only,,St Elizabeth,Number,528
2018,English A Only,,St Elizabeth,Number,511
2017,English A Only,,Manchester,Number,538
2018,English A Only,,Manchester,Number,503
2017,English A Only,,Clarendon,Number,916
2018,English A Only,,Clarendon,Number,713
2017,English A Only,,St Catherine,Number,1583
2018,English A Only,,St Catherine,Number,1438
