Year,Form of Violence,Partner Status,Geographical Region,Group,Age Group,Educational Status,Age at First Union,Value
2021,Verbal Violence,Lifetime Intimate Partner,Jamaica,,,,,34.9
2021,Verbal Violence,Lifetime Intimate Partner,KMA,,,,,32.6
2021,Verbal Violence,Lifetime Intimate Partner,Other Urban Centres,,,,,34.8
2021,Verbal Violence,Lifetime Intimate Partner,Rural,,,,,36.2
2021,Verbal Violence,Lifetime Intimate Partner,,,15-24,,,33.2
2021,Verbal Violence,Lifetime Intimate Partner,,,25-34,,,31.0
2021,Verbal Violence,Lifetime Intimate Partner,,,35-49,,,38.7
2021,Verbal Violence,Lifetime Intimate Partner,,Legally married,,,,35.9
2021,Verbal Violence,Lifetime Intimate Partner,,Common-law union,,,,31.6
2021,Verbal Violence,Lifetime Intimate Partner,,Visiting relationship,,,,38.3
2021,Verbal Violence,Lifetime Intimate Partner,,Previously married/partnered,,,,30.8
2021,Verbal Violence,Lifetime Intimate Partner,,Lowest,,,,32.9
2021,Verbal Violence,Lifetime Intimate Partner,,Second,,,,38.0
2021,Verbal Violence,Lifetime Intimate Partner,,Middle,,,,35.7
2021,Verbal Violence,Lifetime Intimate Partner,,Fourth,,,,31.8
2021,Verbal Violence,Lifetime Intimate Partner,,Highest,,,,36.1
2021,Physical Violence,Lifetime Intimate Partner,Jamaica,,,,,18.1
2021,Physical Violence,Lifetime Intimate Partner,KMA,,,,,18.2
2021,Physical Violence,Lifetime Intimate Partner,Other Urban Centres,,,,,18.4
2021,Physical Violence,Lifetime Intimate Partner,Rural,,,,,17.8
2021,Physical Violence,Lifetime Intimate Partner,,,15-24,,,18.2
2021,Physical Violence,Lifetime Intimate Partner,,,25-34,,,16.4
2021,Physical Violence,Lifetime Intimate Partner,,,35-49,,,19.4
2021,Physical Violence,Lifetime Intimate Partner,,Legally married,,,,38.7
2021,Physical Violence,Lifetime Intimate Partner,,Common-law union,,,,36.1
2021,Physical Violence,Lifetime Intimate Partner,,Visiting relationship,,,,40.6
2021,Physical Violence,Lifetime Intimate Partner,,Previously married/partnered,,,,34.7
2021,Physical Violence,Lifetime Intimate Partner,,Lowest,,,,17.3
2021,Physical Violence,Lifetime Intimate Partner,,Second,,,,19.9
2021,Physical Violence,Lifetime Intimate Partner,,Middle,,,,17.2
2021,Physical Violence,Lifetime Intimate Partner,,Fourth,,,,17.4
2021,Physical Violence,Lifetime Intimate Partner,,Highest,,,,18.7
2021,Sexual Violence,Lifetime Intimate Partner,Jamaica,,,,,4.5
2021,Sexual Violence,Lifetime Intimate Partner,KMA,,,,,5.7
2021,Sexual Violence,Lifetime Intimate Partner,Other Urban Centres,,,,,4.2
2021,Sexual Violence,Lifetime Intimate Partner,Rural,,,,,4.2
2021,Sexual Violence,Lifetime Intimate Partner,,,15-24,,,3.6
2021,Sexual Violence,Lifetime Intimate Partner,,,25-34,,,5.9
2021,Sexual Violence,Lifetime Intimate Partner,,,35-49,,,3.9
2021,Sexual Violence,Lifetime Intimate Partner,,Legally married,,,,2.8
2021,Sexual Violence,Lifetime Intimate Partner,,Common-law union,,,,4.6
2021,Sexual Violence,Lifetime Intimate Partner,,Visiting relationship,,,,6.1
2021,Sexual Violence,Lifetime Intimate Partner,,Previously married/partnered,,,,4.1
2021,Sexual Violence,Lifetime Intimate Partner,,Lowest,,,,3.4
2021,Sexual Violence,Lifetime Intimate Partner,,Second,,,,5.0
2021,Sexual Violence,Lifetime Intimate Partner,,Middle,,,,5.2
2021,Sexual Violence,Lifetime Intimate Partner,,Fourth,,,,5.2
2021,Sexual Violence,Lifetime Intimate Partner,,Highest,,,,3.7
2021,Any type of Violence,Lifetime Intimate Partner,Jamaica,,,,,38.0
2021,Any type of Violence,Lifetime Intimate Partner,KMA,,,,,36.6
2021,Any type of Violence,Lifetime Intimate Partner,Other Urban Centres,,,,,38.1
2021,Any type of Violence,Lifetime Intimate Partner,Rural,,,,,38.6
2021,Any type of Violence,Lifetime Intimate Partner,,,15-24,,,35.7
2021,Any type of Violence,Lifetime Intimate Partner,,,25-34,,,33.7
2021,Any type of Violence,Lifetime Intimate Partner,,,35-49,,,42.4
2021,Any type of Violence,Lifetime Intimate Partner,,Legally married,,,,38.7
2021,Any type of Violence,Lifetime Intimate Partner,,Common-law union,,,,36.1
2021,Any type of Violence,Lifetime Intimate Partner,,Visiting relationship,,,,40.6
2021,Any type of Violence,Lifetime Intimate Partner,,Previously married/partnered,,,,34.7
2021,Any type of Violence,Lifetime Intimate Partner,,Lowest,,,,36.1
2021,Any type of Violence,Lifetime Intimate Partner,,Second,,,,40.5
2021,Any type of Violence,Lifetime Intimate Partner,,Middle,,,,38.0
2021,Any type of Violence,Lifetime Intimate Partner,,Fourth,,,,34.2
2021,Any type of Violence,Lifetime Intimate Partner,,Highest,,,,41.3
2021,Physical or Sexual Violence,Lifetime Intimate Partner,Jamaica,,,,,19.3
2021,Physical or Sexual Violence,Lifetime Intimate Partner,KMA,,,,,19.4
2021,Physical or Sexual Violence,Lifetime Intimate Partner,Other Urban Centres,,,,,20.1
2021,Physical or Sexual Violence,Lifetime Intimate Partner,Rural,,,,,18.7
2021,Physical or Sexual Violence,Lifetime Intimate Partner,,,15-24,,,18.8
2021,Physical or Sexual Violence,Lifetime Intimate Partner,,,25-34,,,17.9
2021,Physical or Sexual Violence,Lifetime Intimate Partner,,,35-49,,,20.6
2021,Physical or Sexual Violence,Lifetime Intimate Partner,,Legally married,,,,19.0
2021,Physical or Sexual Violence,Lifetime Intimate Partner,,Common-law union,,,,21.1
2021,Physical or Sexual Violence,Lifetime Intimate Partner,,Visiting relationship,,,,19.6
2021,Physical or Sexual Violence,Lifetime Intimate Partner,,Previously married/partnered,,,,17.7
2021,Physical or Sexual Violence,Lifetime Intimate Partner,,Lowest,,,,18.6
2021,Physical or Sexual Violence,Lifetime Intimate Partner,,Second,,,,20.9
2021,Physical or Sexual Violence,Lifetime Intimate Partner,,Middle,,,,18.1
2021,Physical or Sexual Violence,Lifetime Intimate Partner,,Fourth,,,,19.0
2021,Physical or Sexual Violence,Lifetime Intimate Partner,,Highest,,,,20.2
2021,All Three Types of Violence,Lifetime Intimate Partner,Jamaica,,,,,3.1
2021,All Three Types of Violence,Lifetime Intimate Partner,KMA,,,,,3.7
2021,All Three Types of Violence,Lifetime Intimate Partner,Other Urban Centres,,,,,2.5
2021,All Three Types of Violence,Lifetime Intimate Partner,Rural,,,,,3.2
2021,All Three Types of Violence,Lifetime Intimate Partner,,,15-24,,,2.8
2021,All Three Types of Violence,Lifetime Intimate Partner,,,25-34,,,4.0
2021,All Three Types of Violence,Lifetime Intimate Partner,,,35-49,,,2.5
2021,All Three Types of Violence,Lifetime Intimate Partner,,Legally married,,,,2.3
2021,All Three Types of Violence,Lifetime Intimate Partner,,Common-law union,,,,3.1
2021,All Three Types of Violence,Lifetime Intimate Partner,,Visiting relationship,,,,4.2
2021,All Three Types of Violence,Lifetime Intimate Partner,,Previously married/partnered,,,,2.4
2021,All Three Types of Violence,Lifetime Intimate Partner,,Lowest,,,,2.0
2021,All Three Types of Violence,Lifetime Intimate Partner,,Second,,,,3.9
2021,All Three Types of Violence,Lifetime Intimate Partner,,Middle,,,,4.3
2021,All Three Types of Violence,Lifetime Intimate Partner,,Fourth,,,,3.7
2021,All Three Types of Violence,Lifetime Intimate Partner,,Highest,,,,1.5
2021,Verbal Violence,Intimate Partner during Last 12 Months,Jamaica,,,,,15.3
2021,Verbal Violence,Intimate Partner during Last 12 Months,KMA,,,,,16.4
2021,Verbal Violence,Intimate Partner during Last 12 Months,Other Urban Centres,,,,,14.7
2021,Verbal Violence,Intimate Partner during Last 12 Months,Rural,,,,,15.1
2021,Verbal Violence,Intimate Partner during Last 12 Months,,,15-24,,,14.0
2021,Verbal Violence,Intimate Partner during Last 12 Months,,,25-34,,,12.1
2021,Verbal Violence,Intimate Partner during Last 12 Months,,,35-49,,,18.4
2021,Verbal Violence,Intimate Partner during Last 12 Months,,Legally married,,,,17.6
2021,Verbal Violence,Intimate Partner during Last 12 Months,,Common-law union,,,,12.5
2021,Verbal Violence,Intimate Partner during Last 12 Months,,Visiting relationship,,,,16.7
2021,Verbal Violence,Intimate Partner during Last 12 Months,,Previously married/partnered,,,,14.1
2021,Verbal Violence,Intimate Partner during Last 12 Months,,Lowest,,,,12.6
2021,Verbal Violence,Intimate Partner during Last 12 Months,,Second,,,,17.1
2021,Verbal Violence,Intimate Partner during Last 12 Months,,Middle,,,,18.7
