Year,House of Parliament,Sex,Value
1998,Mayors,Female,7.1
2003,Mayors,Female,7.1
2007,Mayors,Female,7.1
2012,Mayors,Female,28.6
2016,Mayors,Female,0
2018,Mayors,Female,0
2019,Mayors,Female,0
2020,Mayors,Female,0
1998,Mayors,Male,7.1
2003,Mayors,Male,7.1
2007,Mayors,Male,7.1
2012,Mayors,Male,71.4
2016,Mayors,Male,100
2018,Mayors,Male,0
2019,Mayors,Male,100
2020,Mayors,Male,100
1998,Councillors,Female,26.9
2003,Councillors,Female,16.7
2007,Councillors,Female,18
2012,Councillors,Female,19.3
2016,Councillors,Female,19.3
2020,Councillors,Female,19.3
2024,Councillors,Female,18.9
2007,Upper House,Female,14.3
2011,Upper House,Female,23.8
2015,Upper House,Female,28.6
2016,Upper House,Female,23.8
2018,Upper House,Female,23.8
2020,Upper House,Female,38.1
2025,Upper House,Female,33.3
2007,Upper House,Male,85.7
2011,Upper House,Male,76.2
2015,Upper House,Male,71.4
2016,Upper House,Male,76.2
2018,Upper House,Male,76.2
2020,Upper House,Male,61.9
2025,Upper House,Male,66.7
2007,Upper House,Total Number of Seats,21
2011,Upper House,Total Number of Seats,21
2015,Upper House,Total Number of Seats,21
2016,Upper House,Total Number of Seats,21
2018,Upper House,Total Number of Seats,21
2020,Upper House,Total Number of Seats,21
2025,Upper House,Total Number of Seats,21
2007,Lower House,Female,13.3
2011,Lower House,Female,12.7
2015,Lower House,Female,12.7
2016,Lower House,Female,17.5
2018,Lower House,Female,19.0
2020,Lower House,Female,28.6
2025,Lower House,Female,30.2
2007,Lower House,Male,86.7
2011,Lower House,Male,87.3
2015,Lower House,Male,87.3
2016,Lower House,Male,82.5
2018,Lower House,Male,81
2020,Lower House,Male,71.4
2025,Lower House,Male,69.8
2007,Lower House,Total Number of Seats,63
2011,Lower House,Total Number of Seats,63
2015,Lower House,Total Number of Seats,63
2016,Lower House,Total Number of Seats,63
2018,Lower House,Total Number of Seats,63
2020,Lower House,Total Number of Seats,63
2025,Lower House,Total Number of Seats,63
