Year,Geographical Region,Wealth Quintile,Value
2013,Jamaica,,79.3
2014,Jamaica,,79.7
2015,Jamaica,,80.1
2016,Jamaica,,80.7
2017,Jamaica,,78.7
2018,Jamaica,,78.4
2019,Jamaica,,76.6
2021,Jamaica,,75.3
2023,Jamaica,,78.0
2013,GKMA,,98.8
2014,GKMA,,99.0
2015,GKMA,,99.5
2016,GKMA,,99.1
2017,GKMA,,98.3
2018,GKMA,,98.3
2019,GKMA,,98.4
2021,GKMA,,99.4
2023,GKMA,,98.9
2013,Other Urban Centres,,88.1
2014,Other Urban Centres,,86.5
2015,Other Urban Centres,,88.9
2016,Other Urban Centres,,85.0
2017,Other Urban Centres,,82.1
2018,Other Urban Centres,,89.0
2019,Other Urban Centres,,87.2
2021,Other Urban Centres,,91.6
2023,Other Urban Centres,,87.9
2013,Rural Area,,62.3
2014,Rural Area,,63.0
2015,Rural Area,,63.9
2016,Rural Area,,67.4
2017,Rural Area,,64.5
2018,Rural Area,,60.1
2019,Rural Area,,56.0
2021,Rural Area,,50.6
2023,Rural Area,,59.3
2013,,Poorest,65.9
2014,,Poorest,65.7
2015,,Poorest,64.3
2016,,Poorest,69.3
2017,,Poorest,73.1
2018,,Poorest,65.6
2019,,Poorest,62.2
2021,,Poorest,60.4
2023,,Poorest,65.5
2013,,Quintile 2,67.6
2014,,Quintile 2,70.1
2015,,Quintile 2,74.4
2016,,Quintile 2,74.6
2017,,Quintile 2,71.7
2018,,Quintile 2,74.7
2019,,Quintile 2,67.1
2021,,Quintile 2,63.9
2023,,Quintile 2,69.4
2013,,Quintile 3,70.7
2014,,Quintile 3,73.3
2015,,Quintile 3,75.5
2016,,Quintile 3,76.7
2017,,Quintile 3,72.8
2018,,Quintile 3,76.6
2019,,Quintile 3,74.0
2021,,Quintile 3,73.1
2023,,Quintile 3,75.2
2013,,Quintile 4,80.6
2014,,Quintile 4,83.6
2015,,Quintile 4,77.9
2016,,Quintile 4,82.1
2017,,Quintile 4,80.9
2018,,Quintile 4,77.6
2019,,Quintile 4,77.9
2021,,Quintile 4,78.1
2023,,Quintile 4,83.5
2013,,Wealthiest,88.7
2014,,Wealthiest,82.7
2015,,Wealthiest,86.6
2016,,Wealthiest,87.5
2017,,Wealthiest,84.9
2018,,Wealthiest,86.0
2019,,Wealthiest,85.8
2021,,Wealthiest,86.3
2023,,Wealthiest,87.8
