Year,Category,Value
2017,Other economic activities (services) (NACE/ISIC 45-99),19.49
2017,Private households,31.03
2017,Domestic wastewater generated (sum of other economic and private),50.52
2018,Other economic activities (services) (NACE/ISIC 45-99),19.49
2018,Private households,31.03
2018,Domestic wastewater generated (sum of other economic and private),50.52
2019,Other economic activities (services) (NACE/ISIC 45-99),19.49
2019,Private households,31.03
2019,Domestic wastewater generated (sum of other economic and private),50.52
2020,Other economic activities (services) (NACE/ISIC 45-99),19.49
2020,Private households,31.03
2020,Domestic wastewater generated (sum of other economic and private),50.52
2021,Other economic activities (services) (NACE/ISIC 45-99),23.81
2021,Private households,38.39
2021,Domestic wastewater generated (sum of other economic and private),62.2
2022,Other economic activities (services) (NACE/ISIC 45-99),59.75
2022,Private households,95.16
2022,Domestic wastewater generated (sum of other economic and private),154.91
