Category,River,Measurement,Value
"Rivers (Reporting basin district area (in km²))",South Negril - Orange River,159.37 km2,100.00
"Rivers (Reporting basin district area (in km²))",Lucea River,257.58km2,100.00
"Rivers (Reporting basin district area (in km²))",Great River,345.38 km2,100.00
"Rivers (Reporting basin district area (in km²))",Montego River,205.03 km2,100.00
"Rivers (Reporting basin district area (in km²))",Martha Brae,732.58 km2,67.00
"Rivers (Reporting basin district area (in km²))",Rio-Bueno - White River,1563.07km2,87.00
"Rivers (Reporting basin district area (in km²))",Rio Nuevo,109.12 km2,100.00
"Rivers (Reporting basin district area (in km²))",Oracabessa - Pagee River,168.26 km2,100.00
"Rivers (Reporting basin district area (in km²))",Rio Cobre,1249.88 km2,100.00
"Rivers (Reporting basin district area (in km²))",Black River,1311.91km2,100.00
"Rivers (Reporting basin district area (in km²))",Deans Valley,425.42 km2,100.00
"Rivers (Reporting basin district area (in km²))",Cabarita River,290.10 km2,100.00
"Groundwater (Reporting basin district area (in km²))",Great River,345.38 km2,100.00
"Groundwater (Reporting basin district area (in km²))",Martha Brae,732.58 km2,67.00
"Groundwater (Reporting basin district area (in km²))",Rio-Bueno - White River,1563.07 km2,75.00
"Groundwater (Reporting basin district area (in km²))",Wagwater River,317.64 km2,100.00
"Groundwater (Reporting basin district area (in km²))",Rio Cobre,1249.88 km2,27.00
"Groundwater (Reporting basin district area (in km²))",Rio Minho,796.77 km2,100.00
"Groundwater (Reporting basin district area (in km²))",Gut-Alligator Hole,164.74 km2,100.00
"Groundwater (Reporting basin district area (in km²))",Black River,1311.91 km2,40.00
