Year,Geographical Region,Value
2010,Jamaica,92.2
2012,Jamaica,93.1
2013,Jamaica,93.9
2014,Jamaica,93.3
2015,Jamaica,94.9
2016,Jamaica,93.9
2017,Jamaica,93.5
2018,Jamaica,94.9
2019,Jamaica,95.5
2021,Jamaica,96.0
2022,Jamaica,97.2
2023,Jamaica,97.1
2010,Rural,88.1
2012,Rural,89.6
2013,Rural,90.5
2014,Rural,88.5
2015,Rural,91.0
2016,Rural,90.5
2017,Rural,91.0
2018,Rural,92.2
2019,Rural,92.7
2021,Rural,92.9
2022,Rural,95.7
2023,Rural,94.7
2010,Greater Kingston Metropolitan Area,98.3
2012,Greater Kingston Metropolitan Area,97.5
2013,Greater Kingston Metropolitan Area,98.1
2014,Greater Kingston Metropolitan Area,98.8
2015,Greater Kingston Metropolitan Area,99.4
2016,Greater Kingston Metropolitan Area,98.1
2017,Greater Kingston Metropolitan Area,98.0
2018,Greater Kingston Metropolitan Area,98.5
2019,Greater Kingston Metropolitan Area,99.1
2021,Greater Kingston Metropolitan Area,99.5
2022,Greater Kingston Metropolitan Area,99.2
2023,Greater Kingston Metropolitan Area,99.5
2010,Other Urban Centres,93.7
2012,Other Urban Centres,94.6
2013,Other Urban Centres,95.3
2014,Other Urban Centres,95.0
2015,Other Urban Centres,96.8
2016,Other Urban Centres,95.3
2017,Other Urban Centres,92.8
2018,Other Urban Centres,96.0
2019,Other Urban Centres,95.7
2021,Other Urban Centres,97.6
2022,Other Urban Centres,97.8
2023,Other Urban Centres,98.1
