Year,Source of Primary Energy Supply,Unit,Value
2011,Petroleum,'000 boe,19807
2012,Petroleum,'000 boe,19280
2013,Petroleum,'000 boe,19183
2014,Petroleum,'000 boe,18645
2015,Petroleum,'000 boe,19079
2016,Petroleum,'000 boe,19316
2017,Petroleum,'000 boe,18546
2018,Petroleum,'000 boe,19986
2019,Petroleum,'000 boe,20740
2020,Petroleum,'000 boe,15806
2021,Petroleum,'000 boe,14677
2022,Petroleum,'000 boe,14576
2023,Petroleum,'000 boe,15015
2024,Petroleum,'000 boe,14854
2011,Hydropower,'000 boe,94
2012,Hydropower,'000 boe,93
2013,Hydropower,'000 boe,77
2014,Hydropower,'000 boe,84
2015,Hydropower,'000 boe,80
2016,Hydropower,'000 boe,74
2017,Hydropower,'000 boe,96
2018,Hydropower,'000 boe,111
2019,Hydropower,'000 boe,96
2020,Hydropower,'000 boe,84
2021,Hydropower,'000 boe,86
2022,Hydropower,'000 boe,71
2023,Hydropower,'000 boe,68
2024,Hydropower,'000 boe,73
2011,Wind,'000 boe,57
2012,Wind,'000 boe,67
2013,Wind,'000 boe,71
2014,Wind,'000 boe,74
2015,Wind,'000 boe,78
2016,Wind,'000 boe,118
2017,Wind,'000 boe,179
2018,Wind,'000 boe,187
2019,Wind,'000 boe,169
2020,Wind,'000 boe,174
2021,Wind,'000 boe,163
2022,Wind,'000 boe,163
2023,Wind,'000 boe,144
2024,Wind,'000 boe,129
2011,Coal,'000 boe,327
2012,Coal,'000 boe,284
2013,Coal,'000 boe,450
2014,Coal,'000 boe,574
2015,Coal,'000 boe,511
2016,Coal,'000 boe,491
2017,Coal,'000 boe,425
2018,Coal,'000 boe,398
2019,Coal,'000 boe,427
2020,Coal,'000 boe,457
2021,Coal,'000 boe,483
2022,Coal,'000 boe,416
2023,Coal,'000 boe,14
2024,Coal,'000 boe,98
2011,Bagasse,'000 boe,579
2012,Bagasse,'000 boe,570
2013,Bagasse,'000 boe,626
2014,Bagasse,'000 boe,677
2015,Bagasse,'000 boe,621
2016,Bagasse,'000 boe,487
2017,Bagasse,'000 boe,334
2018,Bagasse,'000 boe,265
2019,Bagasse,'000 boe,325
2020,Bagasse,'000 boe,266
2021,Bagasse,'000 boe,251
2022,Bagasse,'000 boe,230
2023,Bagasse,'000 boe,178
2024,Bagasse,'000 boe,183
2015,Natural Gas,'000 boe,0
2016,Natural Gas,'000 boe,508
2017,Natural Gas,'000 boe,587
2018,Natural Gas,'000 boe,713
2019,Natural Gas,'000 boe,1537
2020,Natural Gas,'000 boe,1576
2021,Natural Gas,'000 boe,1432
2022,Natural Gas,'000 boe,1741
2023,Natural Gas,'000 boe,1650
2016,Solar,'000 boe,9
2017,Solar,'000 boe,27
2018,Solar,'000 boe,28
2019,Solar,'000 boe,56
2020,Solar,'000 boe,77
2021,Solar,'000 boe,82
2022,Solar,'000 boe,79
2023,Solar,'000 boe,83
2024,Solar,'000 boe,85
2011,Total Alternative Energy,'000 boe,1057
2012,Total Alternative Energy,'000 boe,1014
2013,Total Alternative Energy,'000 boe,1224
2014,Total Alternative Energy,'000 boe,1409
2015,Total Alternative Energy,'000 boe,1290
2016,Total Alternative Energy,'000 boe,1179
2017,Total Alternative Energy,'000 boe,1569
2018,Total Alternative Energy,'000 boe,1576
2019,Total Alternative Energy,'000 boe,1786
2020,Total Alternative Energy,'000 boe,2595
2021,Total Alternative Energy,'000 boe,2641
2022,Total Alternative Energy,'000 boe,2391
2023,Total Alternative Energy,'000 boe,2228
2024,Total Alternative Energy,'000 boe,2218
2011,Total,'000 boe,20864
2012,Total,'000 boe,20294
2013,Total,'000 boe,20407
2014,Total,'000 boe,20054
2015,Total,'000 boe,20369
2016,Total,'000 boe,20486
2017,Total,'000 boe,20115
2018,Total,'000 boe,21563
2019,Total,'000 boe,22525
2020,Total,'000 boe,18400
2021,Total,'000 boe,17318
2022,Total,'000 boe,16967
2023,Total,'000 boe,17242
2024,Total,'000 boe,17072
2011,Per cent Renewable Share,%,5.1
2012,Per cent Renewable Share,%,5
2013,Per cent Renewable Share,%,6
2014,Per cent Renewable Share,%,7
2015,Per cent Renewable Share,%,6.3
2016,Per cent Renewable Share,%,5.7
2017,Per cent Renewable Share,%,7.8
2018,Per cent Renewable Share,%,7.3
2019,Per cent Renewable Share,%,7.9
2020,Per cent Renewable Share,%,14.1
2021,Per cent Renewable Share,%,15.3
2022,Per cent Renewable Share,%,14.1
2023,Per cent Renewable Share,%,12.9
2024,Per cent Renewable Share,%,13.0
