Year,Type,Unit,Value
2018,Hydro Technology,MW,29.0
2018,Solar,MW,20.0
2018,Wind,MW,102.0
2018,Net Billing (Solar),MW,15.8
2018,Other arrangements,MW,1.77
2018,Total,MW,168.57
2018,Generating Capacity,Watts,168570000
2018,Population,MW,2728432
2018,Renewable Energy Watts Per Capita,Renewable Energy Watts Per Capita,61.8
2019,Hydro Technology,MW,29.0
2019,Solar,MW,57.0
2019,Wind,MW,102.0
2019,Net Billing (Solar),MW,17.7
2019,Other arrangements,MW,2.43
2019,Total,MW,208.13
2019,Generating Capacity,Watts,208130000
2019,Population,MW,2732537
2019,Renewable Energy Watts Per Capita,Renewable Energy Watts Per Capita,76.2
2020,Hydro Technology,MW,29.0
2020,Solar,MW,57.0
2020,Wind,MW,102.0
2020,Net Billing (Solar),MW,17.7
2020,Other arrangements,MW,2.71
2020,Total,MW,208.41
2020,Generating Capacity,Watts,208410000
2020,Population,MW,2732537
2020,Renewable Energy Watts Per Capita,Renewable Energy Watts Per Capita,76.3
2021,Hydro Technology,MW,29.0
2021,Solar,MW,57.0
2021,Wind,MW,102.0
2021,Net Billing (Solar),MW,21.9
2021,Other arrangements,MW,3.84
2021,Total,MW,213.74
2021,Generating Capacity,Watts,213740000
2021,Population,MW,2732537
2021,Renewable Energy Watts Per Capita,Renewable Energy Watts Per Capita,78.2
2022,Hydro Technology,MW,29.0
2022,Solar,MW,57.0
2022,Wind,MW,102.0
2022,Net Billing (Solar),MW,30.5
2022,Other arrangements,MW,14.33
2022,Total,MW,232.83
2022,Generating Capacity,Watts,232830000
2022,Population,MW,2732537
2022,Renewable Energy Watts Per Capita,Renewable Energy Watts Per Capita,85.2
2023,Hydro Technology,MW,29.00
2023,Solar,MW,57.00
2023,Wind,MW,102.00
2023,Net Billing (Solar),MW,25.30
2023,Other arrangements,MW,14.30
2023,Total,MW,227.60
2023,Generating Capacity,Watts,227600000
2023,Population,MW,2732537
2023,Renewable Energy Watts Per Capita,Renewable Energy Watts Per Capita,83.3
2024,Hydro Technology,MW,29.00
2024,Solar,MW,57.00
2024,Wind,MW,102.00
2024,Net Billing (Solar),MW,26.10
2024,Other arrangements,MW,14.30
2024,Total,MW,228.40
2024,Generating Capacity,Watts,228400000
2024,Population,MW,2732537
2024,Renewable Energy Watts Per Capita,Renewable Energy Watts Per Capita,83.6
