Year,Financial Institution,Unit,Value
2013,Number of commercial bank branches,per 100.000 adults,5.47
2013,Number of automated teller machines (ATMs),per 100.000 adults,28.37
2014,Number of commercial bank branches,per 100.000 adults,5.02
2014,Number of automated teller machines (ATMs),per 100.000 adults,31.27
2015,Number of commercial bank branches,per 100.000 adults,6
2015,Number of automated teller machines (ATMs),per 100.000 adults,27
2016,Number of commercial bank branches,per 100.000 adults,5
2016,Number of automated teller machines (ATMs),per 100.000 adults,28
2017,Number of commercial bank branches,per 100.000 adults,8
2017,Number of automated teller machines (ATMs),per 100.000 adults,35
2018,Number of commercial bank branches,per 100.000 adults,8
2018,Number of automated teller machines (ATMs),per 100.000 adults,36
2019,Number of commercial bank branches,per 100.000 adults,8
2019,Number of automated teller machines (ATMs),per 100.000 adults,37
2020,Number of commercial bank branches,per 100.000 adults,7
2020,Number of automated teller machines (ATMs),per 100.000 adults,39
2021,Number of commercial bank branches,per 100.000 adults,7
2021,Number of automated teller machines (ATMs),per 100.000 adults,39
2022,Number of commercial bank branches,per 100.000 adults,7
2022,Number of automated teller machines (ATMs),per 100.000 adults,41
2023,Number of commercial bank branches,per 100.000 adults,7
2023,Number of automated teller machines (ATMs),per 100.000 adults,43
2024,Number of commercial bank branches,per 100.000 adults,7
2024,Number of automated teller machines (ATMs),per 100.000 adults,43
