Year,Quarter,Type of employment,Sex,Value
2016,January,Formal,Male,242000
2016,January,Formal,Female,216800
2017,January,Formal,Male,237100
2017,January,Formal,Female,238200
2017,January,Formal,Total,520300
2017,January,Informal,Male,277800
2017,January,Informal,Female,188700
2017,January,Informal,Total,466500
2017,January,Agriculture,Male,147000
2017,January,Agriculture,Female,49500
2017,January,Agriculture,Total,196500
2017,April,Formal,Male,246700
2017,April,Formal,Female,288000
2017,April,Formal,Total,594700
2017,April,Informal,Male,266800
2017,April,Informal,Female,194000
2017,April,Informal,Total,468000
2017,April,Agriculture,Male,155100
2017,April,Agriculture,Female,51000
2017,April,Agriculture,Total,206100
2017,July,Formal,Male,257900
2017,July,Formal,Female,294900
2017,July,Formal,Total,552800
2017,July,Informal,Male,273300
2017,July,Informal,Female,196300
2017,July,Informal,Total,469600
2017,July,Agriculture,Male,144400
2017,July,Agriculture,Female,45400
2017,July,Agriculture,Total,189800
2017,October,Formal,Male,240800
2017,October,Formal,Female,290400
2017,October,Formal,Total,531200
2017,October,Informal,Male,290600
2017,October,Informal,Female,197500
2017,October,Informal,Total,488100
2017,October,Agriculture,Male,138200
2017,October,Agriculture,Female,49400
2017,October,Agriculture,Total,187600
2018,January,Formal,Male,232100
2018,January,Formal,Female,281000
2018,January,Formal,Total,513100
2018,January,Informal,Male,285800
2018,January,Informal,Female,210500
2018,January,Informal,Total,496300
2018,January,Agriculture,Male,146100
2018,January,Agriculture,Female,48500
2018,January,Agriculture,Total,194600
2018,April,Formal,Male,245300
2018,April,Formal,Female,289600
2018,April,Formal,Total,534900
2018,April,Informal,Male,282600
2018,April,Informal,Female,202800
2018,April,Informal,Total,485400
2018,April,Agriculture,Male,145400
2018,April,Agriculture,Female,48800
2018,April,Agriculture,Total,194200
2018,July,Formal,Male,261800
2018,July,Formal,Female,300100
2018,July,Formal,Total,561900
2018,July,Informal,Male,280400
2018,July,Informal,Female,195800
2018,July,Informal,Total,476200
2018,July,Agriculture,Male,138100
2018,July,Agriculture,Female,46400
2018,July,Agriculture,Total,184500
2018,October,Formal,Male,249500
2018,October,Formal,Female,297700
2018,October,Formal,Total,547200
2018,October,Informal,Male,284100
2018,October,Informal,Female,200700
2018,October,Informal,Total,484800
2018,October,Agriculture,Male,138500
2018,October,Agriculture,Female,48600
2018,October,Agriculture,Total,187100
2019,January,Formal,Male,253900
2019,January,Formal,Female,303600
2019,January,Formal,Total,557500
2019,January,Informal,Male,281100
2019,January,Informal,Female,281100
2019,January,Informal,Total,489500
2019,January,Agriculture,Male,139200
2019,January,Agriculture,Female,47800
2019,January,Agriculture,Total,187000
2019,April,Formal,Male,264500
2019,April,Formal,Female,314100
2019,April,Formal,Total,578600
