Year,Category of Child Labour,Sex,Age Group,Area of Residence,Value
2016,Proportion of boys in Child Labour,Boy,,,25797
2016,Proportion of Girls in Child Labour,Girl,,,12168
2016,Proportion of Children in Child Labour (Total),Total,,,37965
2016,Proportion of Children 5-12 years in Child Labour,,5-12 years,,18402
2016,Proportion of Children 13-14 years in Child Labour,,13-14 years,,5992
2016,Proportion of Children 15-17 years in Child Labour,,15-17 years,,13571
2016,Child Labour Urban Area,,,Urban,12203
2016,Child Labour Rural Area,,,Rural Area,25762
2016,Proportion of Boys doing Hazardous Work (%),Boy,,,74.8
2016,Proportion of Girls doing Hazardous Work (%),Girl,,,55.6
2016,Total Children doing Hazardous Work (%),Total,,,68.6
2016,Proportion of children 5-12 years doing Hazardous Work,,5-12 years,,36.3
2016,Proportion of children 13-14 years doing Hazardous Work,,13-14 years,,97
2016,Proportion of children 15-17 years doing Hazardous Work,,15-17 years,,100
2016,Proportion of children Urban Areas doing Hazardous Work,,,Urban,79.5
2016,Proportion of children Rural Areas doing Hazardous Work,,,Rural Area,63.5
2016,Proportion of Boys in Child Labour other than Hazardous Work,Boy,,,25.2
2016,Proportion of Girls in Child Labour other than Hazardous Work,Girl,,,44.4
2016,Proportion of Child Labour other than Hazardous Work (Total),Total,,,31.4
2016,Proprtion of Children 5-12 years in Child Labour other than Hazardous Work,,5-12 years,,63.7
2016,Proprtion of Children 13-14 years in Child Labour other than Hazardous Work,,13-14 years,,3
2016,Proprtion of Children 15-17 years in Child Labour other than Hazardous Work,,15-17 years,,0
2016,Proprtion of Children in Urban Areas in Child Labour other than Hazardous Work,,,Urban,20.5
2016,Proprtion of Children in Rural Areas in Child Labour other than Hazardous Work,,,Rural Area,36.5
2022,Percentage of Children aged 5-17 Years in Child Labour,,,Jamaica,3.6
2022,Percentage of Children aged 5-17 Years in Child Labour,Male,,,3.9
2022,Percentage of Children aged 5-17 Years in Child Labour,Female,,,3.3
2022,Percentage of Children aged 5-17 Years in Child Labour,,,Urban,2.3
2022,Percentage of Children aged 5-17 Years in Child Labour,,,GKMA,2.0
2022,Percentage of Children aged 5-17 Years in Child Labour,,,OUC,2.5
2022,Percentage of Children aged 5-17 Years in Child Labour,,,Rural Area,4.9
2022,Percentage of Children aged 5-17 Years in Child Labour,,5-11,,5.7
2022,Percentage of Children aged 5-17 Years in Child Labour,,12-14,,1.5
2022,Percentage of Children aged 5-17 Years in Child Labour,,15-17,,0.8
2022,Percentage of Children aged 5-17 Years in Child Labour - Poorest,,,,3.7
2022,Percentage of Children aged 5-17 Years in Child Labour - Second,,,,4.6
2022,Percentage of Children aged 5-17 Years in Child Labour - Middle,,,,4.0
2022,Percentage of Children aged 5-17 Years in Child Labour - Fourth,,,,3.2
2022,Percentage of Children aged 5-17 Years in Child Labour - Richest,,,,1.8
