Year,Mode of transport,Unit,Value
2010,Number of Air Passenger Movement,Number (000),4742
2011,Number of Air Passenger Movement,Number (000),4764
2012,Number of Air Passenger Movement,Number (000),4854
2013,Number of Air Passenger Movement,Number (000),4837
2014,Number of Air Passenger Movement,Number (000),5061
2015,Number of Air Passenger Movement,Number (000),5298
2016,Number of Air Passenger Movement,Number (000),5517
2017,Number of Air Passenger Movement,Number (000),5907
2018,Number of Air Passenger Movement,Number (000),6237
2019,Number of Air Passenger Movement,Number (000),6621
2020,Number of Air Passenger Movement,Number (000),2255
2021,Number of Air Passenger Movement,Number (000),3420
2022,Number of Air Passenger Movement,Number (000),5996
2023,Number of Air Passenger Movement,Number (000),7008
2024,Number of Air Passenger Movement,Number (000),6873
2010,Freight Movement by Air,('000 tonnes),22888
2011,Freight Movement by Air,('000 tonnes),
2012,Freight Movement by Air,('000 tonnes),24308
2013,Freight Movement by Air,('000 tonnes),19172
2014,Freight Movement by Air,('000 tonnes),16080
2015,Freight Movement by Air,('000 tonnes),18298
2016,Freight Movement by Air,('000 tonnes),26987
2017,Freight Movement by Air,('000 tonnes),29104
2018,Freight Movement by Air,('000 tonnes),29602
2019,Freight Movement by Air,('000 tonnes),28381
2020,Freight Movement by Air,('000 tonnes),20592
2021,Freight Movement by Air,('000 tonnes),22802
2022,Freight Movement by Air,('000 tonnes),23901
2023,Freight Movement by Air,('000 tonnes),24079
2024,Freight Movement by Air,('000 tonnes),31994
2010,Freight Movement by Water,('000 tonnes),15343
2011,Freight Movement by Water,('000 tonnes),17022
2012,Freight Movement by Water,('000 tonnes),15458
2013,Freight Movement by Water,('000 tonnes),15082
2014,Freight Movement by Water,('000 tonnes),15424
2015,Freight Movement by Water,('000 tonnes),15094
2016,Freight Movement by Water,('000 tonnes),14298
2017,Freight Movement by Water,('000 tonnes),14501
2018,Freight Movement by Water,('000 tonnes),17171
2019,Freight Movement by Water,('000 tonnes),15837
2020,Freight Movement by Water,('000 tonnes),13164
2021,Freight Movement by Water,('000 tonnes),12758
2022,Freight Movement by Water,('000 tonnes),12000
2023,Freight Movement by Water,('000 tonnes),13202
2024,Freight Movement by Water,('000 tonnes),11878
