Year,Manufacturing Indicator,Value
2010,Manufacturing value added as a proportion of GDP,7.44
2011,Manufacturing value added as a proportion of GDP,7.44
2012,Manufacturing value added as a proportion of GDP,7.48
2013,Manufacturing value added as a proportion of GDP,7.42
2014,Manufacturing value added as a proportion of GDP,7.31
2015,Manufacturing value added as a proportion of GDP,7.1
2016,Manufacturing value added as a proportion of GDP,7.1
2017,Manufacturing value added as a proportion of GDP,7.3
2018,Manufacturing value added as a proportion of GDP,7.1
2019,Manufacturing value added as a proportion of GDP,7.1
2020,Manufacturing value added as a proportion of GDP,7.5
2021,Manufacturing value added as a proportion of GDP,7.7
2022,Manufacturing value added as a proportion of GDP,7.7
2023,Manufacturing value added as a proportion of GDP,7.9
2010,Manufacturing value added per capita (US$),333.2
2011,Manufacturing value added per capita (US$),337.8
2012,Manufacturing value added per capita (US$),336.4
2013,Manufacturing value added per capita (US$),335
2014,Manufacturing value added per capita (US$),332.1
2015,Manufacturing value added per capita (US$),45432
2016,Manufacturing value added per capita (US$),47156
2017,Manufacturing value added per capita (US$),49607
2018,Manufacturing value added per capita (US$),49884
2019,Manufacturing value added per capita (US$),50512
2020,Manufacturing value added per capita (US$),47598
2021,Manufacturing value added per capita (US$),51942
2022,Manufacturing value added per capita (US$),56068
2023,Manufacturing value added per capita (US$),59036
