Year,ICT Infrastructure and Access Indicators,Value
2011,Fixed telephone subscriptions,10.0
2011,Mobile cellular subscriptions,109.2
2011,Fixed broadband Internet subscriptions,4.4
2011,Fixed Internet subscriptions,4.4
2012,Fixed telephone subscriptions,9.3
2012,Mobile cellular subscriptions,100.3
2012,Fixed broadband Internet subscriptions,4.5
2012,Fixed Internet subscriptions,4.6
2013,Fixed telephone subscriptions,9.2
2013,Mobile cellular subscriptions,104.8
2013,Fixed broadband Internet subscriptions,5.2
2013,Fixed Internet subscriptions,5.2
2014,Fixed telephone subscriptions,9.3
2014,Mobile cellular subscriptions,110.5
2014,Fixed broadband Internet subscriptions,5.7
2014,Fixed Internet subscriptions,6.1
2015,Fixed telephone subscriptions,9.3
2015,Mobile cellular subscriptions,115.1
2015,Fixed broadband Internet subscriptions,6.0
2015,Fixed Internet subscriptions,9.3
2016,Fixed telephone subscriptions,11.4
2017,Fixed telephone subscriptions,10.9
2017,Mobile cellular subscriptions,119.7
2017,Fixed broadband Internet subscriptions,10.5
2017,Fixed Internet subscriptions,11.4
2018,Fixed telephone subscriptions,13.3
2018,Mobile cellular subscriptions,113.3
2018,Fixed broadband Internet subscriptions,8.8
2018,Fixed Internet subscriptions,10.9
2019,Fixed telephone subscriptions,14.6
2019,Mobile cellular subscriptions,108.7
2019,Fixed broadband Internet subscriptions,10.4
2019,Fixed Internet subscriptions,13.3
2020,Fixed telephone subscriptions,16.0
2020,Mobile cellular subscriptions,110.7
2020,Fixed broadband Internet subscriptions,11.6
2020,Fixed Internet subscriptions,14.6
2021,Fixed telephone subscriptions,17.3
2021,Mobile cellular subscriptions,105.1
2021,Fixed broadband Internet subscriptions,14.1
2021,Fixed Internet subscriptions,16.0
2022,Fixed telephone subscriptions,17.2
2022,Mobile cellular subscriptions,106.3
2022,Fixed broadband Internet subscriptions,15.1
2022,Fixed Internet subscriptions,17.3
2023,Mobile cellular subscriptions,109.9
2023,Fixed broadband Internet subscriptions,15.5
2023,Fixed Internet subscriptions,16.4
2024,Mobile cellular subscriptions,120.0
2024,Fixed broadband Internet subscriptions,16.4
2024,Fixed Internet subscriptions,16.8
2025,Mobile cellular subscriptions,122.3
2025,Fixed broadband Internet subscriptions,16.6
2025,Fixed Internet subscriptions,16.6
