Year,Geographical Area,Tenure,Value
2013,Jamaica,Owned Land,37.9
2014,Jamaica,Owned Land,37.9
2015,Jamaica,Owned Land,42.6
2016,Jamaica,Owned Land,43.8
2017,Jamaica,Owned Land,43.8
2018,Jamaica,Owned Land,43.9
2019,Jamaica,Owned Land,40.6
2021,Jamaica,Owned Land,43.9
2023,Jamaica,Owned Land,47.5
2013,Jamaica,Leased Land,6.6
2014,Jamaica,Leased Land,6.6
2015,Jamaica,Leased Land,5.3
2016,Jamaica,Leased Land,5.7
2017,Jamaica,Leased Land,4.6
2018,Jamaica,Leased Land,4.3
2019,Jamaica,Leased Land,4.5
2021,Jamaica,Leased Land,3.4
2013,Jamaica,Rented Land,15.8
2014,Jamaica,Rented Land,15.8
2015,Jamaica,Rented Land,17.3
2016,Jamaica,Rented Land,14.1
2017,Jamaica,Rented Land,14.6
2018,Jamaica,Rented Land,15.4
2019,Jamaica,Rented Land,15.9
2021,Jamaica,Rented Land,16.1
2013,Jamaica,Rent Free Land,34.1
2014,Jamaica,Rent Free Land,34.1
2015,Jamaica,Rent Free Land,31.0
2016,Jamaica,Rent Free Land,31.2
2017,Jamaica,Rent Free Land,32.5
2018,Jamaica,Rent Free Land,32.6
2019,Jamaica,Rent Free Land,35.6
2021,Jamaica,Rent Free Land,32.6
2023,Jamaica,Rent Free Land,30.7
2013,Jamaica,Squatted Land,5.3
2014,Jamaica,Squatted Land,5.3
2015,Jamaica,Squatted Land,3.5
2016,Jamaica,Squatted Land,4.4
2017,Jamaica,Squatted Land,4.1
2018,Jamaica,Squatted Land,3.4
2019,Jamaica,Squatted Land,3.3
2021,Jamaica,Squatted Land,3.7
2023,Jamaica,Squatted Land,1.5
2013,Greater Kingston Metropolitan Area,Owned Land,44.0
2014,Greater Kingston Metropolitan Area,Owned Land,36.6
2015,Greater Kingston Metropolitan Area,Owned Land,38.2
2016,Greater Kingston Metropolitan Area,Owned Land,36.2
2017,Greater Kingston Metropolitan Area,Owned Land,42.7
2018,Greater Kingston Metropolitan Area,Owned Land,45.5
2019,Greater Kingston Metropolitan Area,Owned Land,37.3
2021,Greater Kingston Metropolitan Area,Owned Land,41.2
2023,Greater Kingston Metropolitan Area,Owned Land,42.4
2013,Greater Kingston Metropolitan Area,Leased Land,3.6
2014,Greater Kingston Metropolitan Area,Leased Land,6.5
2015,Greater Kingston Metropolitan Area,Leased Land,7.3
2016,Greater Kingston Metropolitan Area,Leased Land,6.6
2017,Greater Kingston Metropolitan Area,Leased Land,4.2
2018,Greater Kingston Metropolitan Area,Leased Land,3.7
2019,Greater Kingston Metropolitan Area,Leased Land,3.3
2021,Greater Kingston Metropolitan Area,Leased Land,3.0
2013,Greater Kingston Metropolitan Area,Rented Land,24.0
2014,Greater Kingston Metropolitan Area,Rented Land,24.0
2015,Greater Kingston Metropolitan Area,Rented Land,25.5
2016,Greater Kingston Metropolitan Area,Rented Land,19.2
2017,Greater Kingston Metropolitan Area,Rented Land,20.4
2018,Greater Kingston Metropolitan Area,Rented Land,21.6
2019,Greater Kingston Metropolitan Area,Rented Land,24.4
2021,Greater Kingston Metropolitan Area,Rented Land,26.1
2013,Greater Kingston Metropolitan Area,Rent Free Land,24.2
2014,Greater Kingston Metropolitan Area,Rent Free Land,28.5
2015,Greater Kingston Metropolitan Area,Rent Free Land,25.3
2016,Greater Kingston Metropolitan Area,Rent Free Land,33.1
2017,Greater Kingston Metropolitan Area,Rent Free Land,26.6
2018,Greater Kingston Metropolitan Area,Rent Free Land,24.4
2019,Greater Kingston Metropolitan Area,Rent Free Land,31.1
2021,Greater Kingston Metropolitan Area,Rent Free Land,26.1
2023,Greater Kingston Metropolitan Area,Rent Free Land,25.7
2013,Greater Kingston Metropolitan Area,Squatted Land,4.2
2014,Greater Kingston Metropolitan Area,Squatted Land,4.4
2015,Greater Kingston Metropolitan Area,Squatted Land,3.6
2016,Greater Kingston Metropolitan Area,Squatted Land,4.5
2017,Greater Kingston Metropolitan Area,Squatted Land,5.8
2018,Greater Kingston Metropolitan Area,Squatted Land,4.1
2019,Greater Kingston Metropolitan Area,Squatted Land,4.0
2020,Greater Kingston Metropolitan Area,Squatted Land,
2021,Greater Kingston Metropolitan Area,Squatted Land,3.5
2023,Greater Kingston Metropolitan Area,Squatted Land,1.6
2013,Other Urban Centres,Owned Land,43.1
2014,Other Urban Centres,Owned Land,33.1
2015,Other Urban Centres,Owned Land,44.0
2016,Other Urban Centres,Owned Land,41.3
2017,Other Urban Centres,Owned Land,40.5
2018,Other Urban Centres,Owned Land,38.6
2019,Other Urban Centres,Owned Land,39.3
2021,Other Urban Centres,Owned Land,41.1
2023,Other Urban Centres,Owned Land,44.8
2013,Other Urban Centres,Leased Land,7.8
2014,Other Urban Centres,Leased Land,7.2
2015,Other Urban Centres,Leased Land,4.9
2016,Other Urban Centres,Leased Land,6.2
2017,Other Urban Centres,Leased Land,5.8
2018,Other Urban Centres,Leased Land,5.4
2019,Other Urban Centres,Leased Land,6.9
2021,Other Urban Centres,Leased Land,4.0
2013,Other Urban Centres,Rented Land,17.4
2014,Other Urban Centres,Rented Land,19.7
2015,Other Urban Centres,Rented Land,24.0
2016,Other Urban Centres,Rented Land,17.9
2017,Other Urban Centres,Rented Land,18.1
2018,Other Urban Centres,Rented Land,17.8
2019,Other Urban Centres,Rented Land,16.2
2021,Other Urban Centres,Rented Land,16.4
2013,Other Urban Centres,Rent Free Land,25.6
2014,Other Urban Centres,Rent Free Land,31.8
2015,Other Urban Centres,Rent Free Land,22.7
2016,Other Urban Centres,Rent Free Land,25.6
2017,Other Urban Centres,Rent Free Land,27.7
2018,Other Urban Centres,Rent Free Land,31.2
2019,Other Urban Centres,Rent Free Land,31.7
2021,Other Urban Centres,Rent Free Land,30.6
2023,Other Urban Centres,Rent Free Land,29.3
2013,Other Urban Centres,Squatted Land,5.9
2014,Other Urban Centres,Squatted Land,8.3
2015,Other Urban Centres,Squatted Land,4.2
2016,Other Urban Centres,Squatted Land,8.6
2017,Other Urban Centres,Squatted Land,7.3
2018,Other Urban Centres,Squatted Land,6.8
2019,Other Urban Centres,Squatted Land,5.9
2021,Other Urban Centres,Squatted Land,7.6
2023,Other Urban Centres,Squatted Land,3.0
2013,Rural Areas,Owned Land,48.5
2014,Rural Areas,Owned Land,40.9
2015,Rural Areas,Owned Land,45.0
2016,Rural Areas,Owned Land,49.6
2017,Rural Areas,Owned Land,46.2
2018,Rural Areas,Owned Land,45.9
2019,Rural Areas,Owned Land,43.5
2021,Rural Areas,Owned Land,47.6
2023,Rural Areas,Owned Land,52.5
2013,Rural Areas,Leased Land,8.1
2014,Rural Areas,Leased Land,6.4
2015,Rural Areas,Leased Land,4.2
2016,Rural Areas,Leased Land,4.9
2017,Rural Areas,Leased Land,4.1
2018,Rural Areas,Leased Land,4.0
2019,Rural Areas,Leased Land,4.2
2021,Rural Areas,Leased Land,3.4
2013,Rural Areas,Rented Land,7.4
2014,Rural Areas,Rented Land,8.3
2015,Rural Areas,Rented Land,8.9
2016,Rural Areas,Rented Land,9.2
2017,Rural Areas,Rented Land,9.0
2018,Rural Areas,Rented Land,10.2
2019,Rural Areas,Rented Land,9.7
2021,Rural Areas,Rented Land,9.1
2013,Rural Areas,Rent Free Land,33.0
2014,Rural Areas,Rent Free Land,39.1
2015,Rural Areas,Rent Free Land,38.4
2016,Rural Areas,Rent Free Land,32.7
2017,Rural Areas,Rent Free Land,39.0
2018,Rural Areas,Rent Free Land,38.3
2019,Rural Areas,Rent Free Land,40.7
2021,Rural Areas,Rent Free Land,38.1
2023,Rural Areas,Rent Free Land,34.9
2013,Rural Areas,Squatted Land,2.1
2014,Rural Areas,Squatted Land,4.6
2015,Rural Areas,Squatted Land,3.1
2016,Rural Areas,Squatted Land,2.3
2017,Rural Areas,Squatted Land,1.2
2018,Rural Areas,Squatted Land,1.2
2019,Rural Areas,Squatted Land,1.7
2021,Rural Areas,Squatted Land,1.3
2023,Rural Areas,Squatted Land,0.8
