Year,Description,Disaggregation Level,Unit,Value
2021,Number of cases investigated,Offenses committed within the home jurisdiction,Number,141.0
2021,Number of cases investigated,Offenses committed in foreign jurisdictions,Number,150.0
2021,Number of cases investigated,Offenses committed both in home and foreign jurisdictions,Number,6.0
2021,Number of cases investigated,Origin country cannot be identified,Number,72.0
2021,Number of cases investigated,Total Number of Cases Investigated,Number,369.0
2021,Number of cases prosecuted,Offenses committed within the home jurisdiction,Number,21.0
2021,Number of cases prosecuted,Offenses committed in foreign jurisdictions,Number,31.0
2021,Number of cases prosecuted,Offenses committed both in home and foreign jurisdictions,Number,10.0
2021,Number of cases prosecuted,Origin country cannot be identified,Number,5.0
2021,Number of cases prosecuted,Total Number of Persons Prosecuted,Number,67.0
2021,Number of persons convicted,Offenses committed within the home jurisdiction,Number,2.0
2021,Number of persons convicted,Offenses committed in foreign jurisdictions,Number,18.0
2021,Number of persons convicted,Offenses committed both in home and foreign jurisdictions,Number,4.0
2021,Number of persons convicted,Origin country cannot be identified,Number,0.0
2021,Number of persons convicted,Total Number of Persons Convicted,Number,24.0
2021,Amount of proceeds seized or frozen,Offenses committed within the home jurisdiction,J$,328904030.53
2021,Amount of proceeds seized or frozen,Offenses committed in foreign jurisdictions,J$,499402051.75
2021,Amount of proceeds seized or frozen,Offenses committed both in home and foreign jurisdictions,J$,2487400.0
2021,Amount of proceeds seized or frozen,Origin country cannot be identified,J$,32011348.0
2021,Amount of proceeds seized or frozen,Total Amount of Proceeds Seized or Frozen,J$,862804830.28
2021,Amount of proceeds forfeited,Offenses committed within the home jurisdiction,J$,37508558.0
2021,Amount of proceeds forfeited,Offenses committed in foreign jurisdictions,J$,464690018.0
2021,Amount of proceeds forfeited,Offenses committed both in home and foreign jurisdictions,J$,0.0
2021,Amount of proceeds forfeited,Origin country cannot be identified,J$,21302190.0
2021,Amount of proceeds forfeited,Total Amount of Proceeds Forfeited,J$,523500766.0
