Year,Indicator,Geographical Area,Sex,Unit,Value
2014,Suicide rate,Jamaica,,per 100 000 population,1.91
2015,Suicide rate,Jamaica,,per 100 000 population,2.2
2016,Suicide rate,Jamaica,,per 100 000 population,2.0
2017,Suicide rate,Jamaica,,per 100 000 population,1.7
2018,Suicide rate,Jamaica,,per 100 000 population,2.2
2019,Suicide rate,Jamaica,,per 100 000 population,2.1
2020,Suicide rate,Jamaica,,per 100 000 population,1.6
2021,Suicide rate,Jamaica,,per 100 000 population,1.9
2022,Suicide rate,Jamaica,,per 100 000 population,2.3
2023,Suicide rate,Jamaica,,per 100 000 population,2.4
2024,Suicide rate,Jamaica,,per 100 000 population,2.5
2014,Suicide rate,Kingston & St Andrew,,per 100 000 population,1.8
2015,Suicide rate,Kingston & St Andrew,,per 100 000 population,1.79
2016,Suicide rate,Kingston & St Andrew,,per 100 000 population,1.34
2017,Suicide rate,Kingston & St Andrew,,per 100 000 population,1.66
2018,Suicide rate,Kingston & St Andrew,,per 100 000 population,1.06
2019,Suicide rate,Kingston & St Andrew,,per 100 000 population,2.11
2020,Suicide rate,Kingston & St Andrew,,per 100 000 population,1.36
2021,Suicide rate,Kingston & St Andrew,,per 100 000 population,1.96
2022,Suicide rate,Kingston & St Andrew,,per 100 000 population,1.51
2014,Suicide rate,St Thomas,,per 100 000 population,1.06
2015,Suicide rate,St Thomas,,per 100 000 population,2.11
2016,Suicide rate,St Thomas,,per 100 000 population,3.16
2017,Suicide rate,St Thomas,,per 100 000 population,2.12
2018,Suicide rate,St Thomas,,per 100 000 population,2.12
2019,Suicide rate,St Thomas,,per 100 000 population,3.18
2020,Suicide rate,St Thomas,,per 100 000 population,4.24
2021,Suicide rate,St Thomas,,per 100 000 population,2.12
2022,Suicide rate,St Thomas,,per 100 000 population,2.12
2014,Suicide rate,Portland,,per 100 000 population,3.64
2015,Suicide rate,Portland,,per 100 000 population,4.84
2016,Suicide rate,Portland,,per 100 000 population,2.42
2017,Suicide rate,Portland,,per 100 000 population,1.23
2018,Suicide rate,Portland,,per 100 000 population,2.47
2019,Suicide rate,Portland,,per 100 000 population,1.23
2020,Suicide rate,Portland,,per 100 000 population,1.23
2021,Suicide rate,Portland,,per 100 000 population,1.23
2022,Suicide rate,Portland,,per 100 000 population,1.23
2014,Suicide rate,St Mary,,per 100 000 population,0.87
2015,Suicide rate,St Mary,,per 100 000 population,1.74
2016,Suicide rate,St Mary,,per 100 000 population,2.61
2017,Suicide rate,St Mary,,per 100 000 population,2.62
2018,Suicide rate,St Mary,,per 100 000 population,1.74
2019,Suicide rate,St Mary,,per 100 000 population,2.61
2020,Suicide rate,St Mary,,per 100 000 population,0.87
2021,Suicide rate,St Mary,,per 100 000 population,2.61
2022,Suicide rate,St Mary,,per 100 000 population,0.87
2014,Suicide rate,St Ann,,per 100 000 population,4.03
2015,Suicide rate,St Ann,,per 100 000 population,3.45
2016,Suicide rate,St Ann,,per 100 000 population,2.87
2017,Suicide rate,St Ann,,per 100 000 population,2.85
2018,Suicide rate,St Ann,,per 100 000 population,5.68
2019,Suicide rate,St Ann,,per 100 000 population,3.39
2020,Suicide rate,St Ann,,per 100 000 population,1.13
2021,Suicide rate,St Ann,,per 100 000 population,2.83
2022,Suicide rate,St Ann,,per 100 000 population,7.35
2014,Suicide rate,Trelawny,,per 100 000 population,1.32
2015,Suicide rate,Trelawny,,per 100 000 population,2.63
2016,Suicide rate,Trelawny,,per 100 000 population,1.32
2017,Suicide rate,Trelawny,,per 100 000 population,2.58
2018,Suicide rate,Trelawny,,per 100 000 population,2.57
2019,Suicide rate,Trelawny,,per 100 000 population,2.55
2020,Suicide rate,Trelawny,,per 100 000 population,0.0
2021,Suicide rate,Trelawny,,per 100 000 population,3.83
2022,Suicide rate,Trelawny,,per 100 000 population,1.28
2014,Suicide rate,St James,,per 100 000 population,0.54
2015,Suicide rate,St James,,per 100 000 population,1.08
2016,Suicide rate,St James,,per 100 000 population,2.69
2017,Suicide rate,St James,,per 100 000 population,1.58
2018,Suicide rate,St James,,per 100 000 population,3.15
2019,Suicide rate,St James,,per 100 000 population,1.05
2020,Suicide rate,St James,,per 100 000 population,1.05
2021,Suicide rate,St James,,per 100 000 population,2.09
2022,Suicide rate,St James,,per 100 000 population,2.61
2014,Suicide rate,Hanover,,per 100 000 population,1.43
2015,Suicide rate,Hanover,,per 100 000 population,0.0
2016,Suicide rate,Hanover,,per 100 000 population,4.27
2017,Suicide rate,Hanover,,per 100 000 population,1.4
2018,Suicide rate,Hanover,,per 100 000 population,2.78
2019,Suicide rate,Hanover,,per 100 000 population,0.0
2020,Suicide rate,Hanover,,per 100 000 population,1.38
2021,Suicide rate,Hanover,,per 100 000 population,0.0
2022,Suicide rate,Hanover,,per 100 000 population,1.38
2014,Suicide rate,Westmoreland,,per 100 000 population,2.06
2015,Suicide rate,Westmoreland,,per 100 000 population,0.69
2016,Suicide rate,Westmoreland,,per 100 000 population,1.37
2017,Suicide rate,Westmoreland,,per 100 000 population,2.02
2018,Suicide rate,Westmoreland,,per 100 000 population,3.35
2019,Suicide rate,Westmoreland,,per 100 000 population,1.34
2020,Suicide rate,Westmoreland,,per 100 000 population,4.01
2021,Suicide rate,Westmoreland,,per 100 000 population,2.67
2022,Suicide rate,Westmoreland,,per 100 000 population,3.34
2014,Suicide rate,St Elizabeth,,per 100 000 population,1.98
2015,Suicide rate,St Elizabeth,,per 100 000 population,3.29
2016,Suicide rate,St Elizabeth,,per 100 000 population,3.95
2017,Suicide rate,St Elizabeth,,per 100 000 population,1.98
2018,Suicide rate,St Elizabeth,,per 100 000 population,3.29
2019,Suicide rate,St Elizabeth,,per 100 000 population,1.97
