Year,Geographical Regions,Value
2008,Jamaica,3.1
2008,Rural Areas,4.9
2008,GKMA,0.9
2008,Other Urban Centre,2.8
2009,Jamaica,4.9
2009,Rural Areas,8.1
2009,GKMA,2.8
2009,Other Urban Centre,1.5
2010,Jamaica,6.3
2010,Rural Areas,10.2
2010,GKMA,3.7
2010,Other Urban Centre,2.5
2012,Jamaica,7.5
2012,Rural Areas,8.9
2012,GKMA,7.1
2012,Other Urban Centre,4.6
2013,Jamaica,10.4
2013,Rural Areas,14.1
2013,GKMA,5.8
2013,Other Urban Centre,8.7
2014,Jamaica,8.0
2014,Rural Areas,11.1
2014,GKMA,6.4
2014,Other Urban Centre,3.8
2015,Jamaica,6.9
2015,Rural Areas,10.7
2015,GKMA,2.8
2015,Other Urban Centre,4.3
2016,Jamaica,5.3
2016,Rural Areas,6.3
2016,GKMA,2.6
2016,Other Urban Centre,6.4
2017,Jamaica,5.4
2017,Rural Areas,5.6
2017,GKMA,5.5
2017,Other Urban Centre,4.8
2018,Jamaica,3.5
2018,Rural Areas,3.7
2018,GKMA,2.9
2018,Other Urban Centre,3.9
2019,Jamaica,4.0
2019,Rural Areas,6.7
2019,GKMA,0.4
2019,Other Urban Centre,3.5
2021,Jamaica,5.8
2021,Rural Areas,8.1
2021,GKMA,2.4
2021,Other Urban Centre,6.4
2022,Jamaica,
2022,Rural Areas,
2022,GKMA,
2022,Other Urban Centre,
2023,Jamaica,2.7
2023,Rural Areas,3.6
2023,GKMA,0.9
2023,Other Urban Centre,3.9
