Year,ICT Skill,Age Group,Value
2015,Copying or moving files or folders,15-24 years old,18.3
2021,Copying or moving files or folders,15-24 years old,
2023,Copying or moving files or folders,15-24 years old,14.7
2024,Copying or moving files or folders,15-24 years old,14.6
2015,Using copy and paste tools to move or duplicate information in documents,15-24 years old,17.5
2021,Using copy and paste tools to move or duplicate information in documents,15-24 years old,27.2
2015,Sending e-mails with files attached,15-24 years old,16.8
2021,Sending e-mails with files attached,15-24 years old,40.4
2015,Connecting or installing new devices,15-24 years old,7.0
2021,Connecting or installing new devices,15-24 years old,13.9
2023,Connecting or installing new devices,15-24 years old,6.9
2024,Connecting or installing new devices,15-24 years old,6.5
2015,Finding/downloading or installing new software,15-24 years old,8.4
2021,Finding/downloading or installing new software,15-24 years old,13.8
2023,Finding/downloading or installing new software,15-24 years old,6.5
2024,Finding/downloading or installing new software,15-24 years old,7.6
2015,Transferring files between a computer and other,15-24 years old,10.6
2021,Transferring files between a computer and other,15-24 years old,21.9
2015,Copying or moving files or folders,25+ years old,24.1
2023,Copying or moving files or folders,25+ years old,26.2
2024,Copying or moving files or folders,25+ years old,29.1
2015,Using copy and paste tools to move or duplicate information in documents,25+ years old,23.4
2021,Using copy and paste tools to move or duplicate information in documents,25+ years old,14.3
2015,Sending e-mails with files attached,25+ years old,30.7
2021,Sending e-mails with files attached,25+ years old,23.4
2015,Connecting or installing new devices,25+ years old,9.7
2021,Connecting or installing new devices,25+ years old,8.2
2023,Connecting or installing new devices,25+ years old,13.8
2024,Connecting or installing new devices,25+ years old,16.5
2015,Finding/downloading or installing new software,25+ years old,11.8
2021,Finding/downloading or installing new software,25+ years old,8.5
2023,Finding/downloading or installing new software,25+ years old,13.5
2024,Finding/downloading or installing new software,25+ years old,17.9
2015,Transferring files between a computer and other,25+ years old,13.5
2021,Transferring files between a computer and other,25+ years old,13.1
2021,Using basic mathematical formulae in spreadsheets,15-24 years old,12.9
2023,Using basic mathematical formulae in spreadsheets,15-24 years old,6.0
2024,Using basic mathematical formulae in spreadsheets,15-24 years old,5.7
2021,Creating electronic presentations with presentation software,15-24 years old,12.1
2023,Creating electronic presentations with presentation software,15-24 years old,6.1
2024,Creating electronic presentations with presentation software,15-24 years old,6.5
2021,"Programming or coding in digital environments (e.g. computer software, app development)",15-24 years old,2.9
2021,Using basic mathematical formulae in spreadsheets,25+ years old,7.2
2023,Using basic mathematical formulae in spreadsheets,25+ years old,11.0
2024,Using basic mathematical formulae in spreadsheets,25+ years old,11.0
2021,Creating electronic presentations with presentation software,25+ years old,7.3
2023,Creating electronic presentations with presentation software,25+ years old,10.7
2024,Creating electronic presentations with presentation software,25+ years old,13.9
2021,"Programming or coding in digital environments (e.g. computer software, app development)",25+ years old,1.4
