Year,Geographical Region,Age Group,Value
2011,Jamaica,Before 18 years old,7.9
2022,Jamaica,Before 18 years old,26.9
2024,Jamaica,Before 18 years old,27.9
2011,KMA,Before 18 years old,9.7
2022,KMA,Before 18 years old,31.9
2024,KMA,Before 18 years old,32.9
2011,Other Towns,Before 18 years old,6.9
2022,Other Towns,Before 18 years old,23.5
2024,Other Towns,Before 18 years old,24.5
2011,Rural Area,Before 18 years old,6.8
2022,Rural Area,Before 18 years old,25.0
2024,Rural Area,Before 18 years old,26.0
2011,Jamaica,Before 15 years old,1.4
2022,Jamaica,Before 15 years old,5.6
2024,Jamaica,Before 15 years old,6.6
2011,KMA,Before 15 years old,1.5
2022,KMA,Before 15 years old,6.1
2024,KMA,Before 15 years old,7.1
2011,Other Towns,Before 15 years old,1.8
2022,Other Towns,Before 15 years old,4.9
2024,Other Towns,Before 15 years old,5.9
2011,Rural Area,Before 15 years old,1.0
2022,Rural Area,Before 15 years old,5.5
2024,Rural Area,Before 15 years old,6.5
