Year,category,Geographical Region,Value
2010,Proportion of Household that used Gas and Electricity for Cooking,Jamaica,83.7
2010,Proportion of Household that used Gas and Electricity for Cooking,Rural,72.5
2010,Proportion of Household that used Gas and Electricity for Cooking,Greater Kingston Metropolitan Area,94.3
2010,Proportion of Household that used Gas and Electricity for Cooking,Other Urban Centres,87.9
2012,Proportion of Household that used Gas and Electricity for Cooking,Jamaica,79.8
2012,Proportion of Household that used Gas and Electricity for Cooking,Rural,71.3
2012,Proportion of Household that used Gas and Electricity for Cooking,Greater Kingston Metropolitan Area,90.5
2012,Proportion of Household that used Gas and Electricity for Cooking,Other Urban Centres,83.3
2013,Proportion of Household that used Gas and Electricity for Cooking,Jamaica,83.8
2013,Proportion of Household that used Gas and Electricity for Cooking,Rural,75.4
2013,Proportion of Household that used Gas and Electricity for Cooking,Greater Kingston Metropolitan Area,94.2
2013,Proportion of Household that used Gas and Electricity for Cooking,Other Urban Centres,87.3
2014,Proportion of Household that used Gas and Electricity for Cooking,Jamaica,81.1
2014,Proportion of Household that used Gas and Electricity for Cooking,Rural,73.0
2014,Proportion of Household that used Gas and Electricity for Cooking,Greater Kingston Metropolitan Area,89.9
2014,Proportion of Household that used Gas and Electricity for Cooking,Other Urban Centres,85.1
2015,Proportion of Household that used Gas and Electricity for Cooking,Jamaica,83.0
2015,Proportion of Household that used Gas and Electricity for Cooking,Rural,75.6
2015,Proportion of Household that used Gas and Electricity for Cooking,Greater Kingston Metropolitan Area,92.0
2015,Proportion of Household that used Gas and Electricity for Cooking,Other Urban Centres,86.3
2016,Proportion of Household that used Gas and Electricity for Cooking,Jamaica,84.5
2016,Proportion of Household that used Gas and Electricity for Cooking,Rural,80.7
2016,Proportion of Household that used Gas and Electricity for Cooking,Greater Kingston Metropolitan Area,91.0
2016,Proportion of Household that used Gas and Electricity for Cooking,Other Urban Centres,84.4
2017,Proportion of Household that used Gas and Electricity for Cooking,Jamaica,85.0
2017,Proportion of Household that used Gas and Electricity for Cooking,Rural,81.6
2017,Proportion of Household that used Gas and Electricity for Cooking,Greater Kingston Metropolitan Area,91.1
2017,Proportion of Household that used Gas and Electricity for Cooking,Other Urban Centres,82.5
2018,Proportion of Household that used Gas and Electricity for Cooking,Jamaica,85.6
2018,Proportion of Household that used Gas and Electricity for Cooking,Rural,79.8
2018,Proportion of Household that used Gas and Electricity for Cooking,Greater Kingston Metropolitan Area,93.9
2018,Proportion of Household that used Gas and Electricity for Cooking,Other Urban Centres,87.4
2019,Proportion of Household that used Gas and Electricity for Cooking,Jamaica,87.3
2019,Proportion of Household that used Gas and Electricity for Cooking,Rural,81.6
2019,Proportion of Household that used Gas and Electricity for Cooking,Greater Kingston Metropolitan Area,94.9
2019,Proportion of Household that used Gas and Electricity for Cooking,Other Urban Centres,87.5
2022,Proportion of Household that used Gas and Electricity for Cooking,Jamaica,91.9
2022,Proportion of Household that used Gas and Electricity for Cooking,Rural,88.7
2022,Proportion of Household that used Gas and Electricity for Cooking,Greater Kingston Metropolitan Area,96.0
2022,Proportion of Household that used Gas and Electricity for Cooking,Other Urban Centres,92.9
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for Cooking,Jamaica,92.2
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for Cooking,Urban,95.1
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for Cooking,Greater Kingston Metropolitan Area,96.5
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for Cooking,Other Urban Centres,93.2
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for Cooking,Rural,89.0
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for Lighting,Jamaica,97.7
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for Lighting,Urban,98.7
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for Lighting,Greater Kingston Metropolitan Area,99.3
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for Lighting,Other Urban Centres,97.9
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for Lighting,Rural,96.6
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for both Cooking and Lighting,Jamaica,91.6
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for both Cooking and Lighting,Urban,95.0
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for both Cooking and Lighting,Greater Kingston Metropolitan Area,96.6
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for both Cooking and Lighting,Other Urban Centres,92.6
2022,Proportion of Population with Primary Reliance on Clean Fuels and Technology for both Cooking and Lighting,Rural,87.8
