Year,Source of Primary Energy Supply,Unit,Value
2011,Petroleum,'000 boe,19807.0
2012,Petroleum,'000 boe,19280.0
2013,Petroleum,'000 boe,19183.0
2014,Petroleum,'000 boe,18645.0
2015,Petroleum,'000 boe,19079.0
2016,Petroleum,'000 boe,19316.0
2017,Petroleum,'000 boe,18546.0
2018,Petroleum,'000 boe,19986.0
2019,Petroleum,'000 boe,20740.0
2020,Petroleum,'000 boe,15806.0
2021,Petroleum,'000 boe,14677.0
2022,Petroleum,'000 boe,14576.0
2023,Petroleum,'000 boe,15015.0
2024,Petroleum,'000 boe,14854.0
2011,Hydropower,'000 boe,94.0
2012,Hydropower,'000 boe,93.0
2013,Hydropower,'000 boe,77.0
2014,Hydropower,'000 boe,84.0
2015,Hydropower,'000 boe,80.0
2016,Hydropower,'000 boe,74.0
2017,Hydropower,'000 boe,96.0
2018,Hydropower,'000 boe,111.0
2019,Hydropower,'000 boe,96.0
2020,Hydropower,'000 boe,84.0
2021,Hydropower,'000 boe,86.0
2022,Hydropower,'000 boe,71.0
2023,Hydropower,'000 boe,68.0
2024,Hydropower,'000 boe,73.0
2011,Wind,'000 boe,57.0
2012,Wind,'000 boe,67.0
2013,Wind,'000 boe,71.0
2014,Wind,'000 boe,74.0
2015,Wind,'000 boe,78.0
2016,Wind,'000 boe,118.0
2017,Wind,'000 boe,179.0
2018,Wind,'000 boe,187.0
2019,Wind,'000 boe,169.0
2020,Wind,'000 boe,174.0
2021,Wind,'000 boe,163.0
2022,Wind,'000 boe,163.0
2023,Wind,'000 boe,144.0
2024,Wind,'000 boe,129.0
2011,Coal,'000 boe,327.0
2012,Coal,'000 boe,284.0
2013,Coal,'000 boe,450.0
2014,Coal,'000 boe,574.0
2015,Coal,'000 boe,511.0
2016,Coal,'000 boe,491.0
2017,Coal,'000 boe,425.0
2018,Coal,'000 boe,398.0
2019,Coal,'000 boe,427.0
2020,Coal,'000 boe,457.0
2021,Coal,'000 boe,483.0
2022,Coal,'000 boe,416.0
2023,Coal,'000 boe,14.0
2024,Coal,'000 boe,98.0
2011,Bagasse,'000 boe,579.0
2012,Bagasse,'000 boe,570.0
2013,Bagasse,'000 boe,626.0
2014,Bagasse,'000 boe,677.0
2015,Bagasse,'000 boe,621.0
2016,Bagasse,'000 boe,487.0
2017,Bagasse,'000 boe,334.0
2018,Bagasse,'000 boe,265.0
2019,Bagasse,'000 boe,325.0
2020,Bagasse,'000 boe,266.0
2021,Bagasse,'000 boe,251.0
2022,Bagasse,'000 boe,230.0
2023,Bagasse,'000 boe,178.0
2024,Bagasse,'000 boe,183.0
2015,Natural Gas,'000 boe,0.0
2016,Natural Gas,'000 boe,508.0
2017,Natural Gas,'000 boe,587.0
2018,Natural Gas,'000 boe,713.0
2019,Natural Gas,'000 boe,1537.0
2020,Natural Gas,'000 boe,1576.0
2021,Natural Gas,'000 boe,1432.0
2022,Natural Gas,'000 boe,1741.0
2023,Natural Gas,'000 boe,1650.0
2016,Solar,'000 boe,9.0
2017,Solar,'000 boe,27.0
2018,Solar,'000 boe,28.0
2019,Solar,'000 boe,56.0
2020,Solar,'000 boe,77.0
2021,Solar,'000 boe,82.0
2022,Solar,'000 boe,79.0
2023,Solar,'000 boe,83.0
2024,Solar,'000 boe,85.0
2011,Total Alternative Energy,'000 boe,1057.0
2012,Total Alternative Energy,'000 boe,1014.0
2013,Total Alternative Energy,'000 boe,1224.0
2014,Total Alternative Energy,'000 boe,1409.0
2015,Total Alternative Energy,'000 boe,1290.0
2016,Total Alternative Energy,'000 boe,1179.0
2017,Total Alternative Energy,'000 boe,1569.0
2018,Total Alternative Energy,'000 boe,1576.0
2019,Total Alternative Energy,'000 boe,1786.0
2020,Total Alternative Energy,'000 boe,2595.0
2021,Total Alternative Energy,'000 boe,2641.0
2022,Total Alternative Energy,'000 boe,2391.0
2023,Total Alternative Energy,'000 boe,2228.0
2024,Total Alternative Energy,'000 boe,2218.0
2011,Total,'000 boe,20864.0
2012,Total,'000 boe,20294.0
2013,Total,'000 boe,20407.0
2014,Total,'000 boe,20054.0
2015,Total,'000 boe,20369.0
2016,Total,'000 boe,20486.0
2017,Total,'000 boe,20115.0
2018,Total,'000 boe,21563.0
2019,Total,'000 boe,22525.0
2020,Total,'000 boe,18400.0
2021,Total,'000 boe,17318.0
2022,Total,'000 boe,16967.0
2023,Total,'000 boe,17242.0
2024,Total,'000 boe,17072.0
2011,Per cent Renewable Share,%,5.1
2012,Per cent Renewable Share,%,5.0
2013,Per cent Renewable Share,%,6.0
2014,Per cent Renewable Share,%,7.0
2015,Per cent Renewable Share,%,6.3
2016,Per cent Renewable Share,%,5.7
2017,Per cent Renewable Share,%,7.8
2018,Per cent Renewable Share,%,7.3
2019,Per cent Renewable Share,%,7.9
2020,Per cent Renewable Share,%,14.1
2021,Per cent Renewable Share,%,15.3
2022,Per cent Renewable Share,%,14.1
2023,Per cent Renewable Share,%,12.9
2024,Per cent Renewable Share,%,13.0
