Year,Mode of transport,Unit,Value
2010,Number of Air Passenger Movement,Number (000),4742.0
2011,Number of Air Passenger Movement,Number (000),4764.0
2012,Number of Air Passenger Movement,Number (000),4854.0
2013,Number of Air Passenger Movement,Number (000),4837.0
2014,Number of Air Passenger Movement,Number (000),5061.0
2015,Number of Air Passenger Movement,Number (000),5298.0
2016,Number of Air Passenger Movement,Number (000),5517.0
2017,Number of Air Passenger Movement,Number (000),5907.0
2018,Number of Air Passenger Movement,Number (000),6237.0
2019,Number of Air Passenger Movement,Number (000),6621.0
2020,Number of Air Passenger Movement,Number (000),2255.0
2021,Number of Air Passenger Movement,Number (000),3420.0
2022,Number of Air Passenger Movement,Number (000),5996.0
2023,Number of Air Passenger Movement,Number (000),7008.0
2024,Number of Air Passenger Movement,Number (000),6873.0
2010,Freight Movement by Air,('000 tonnes),22888.0
2011,Freight Movement by Air,('000 tonnes),
2012,Freight Movement by Air,('000 tonnes),24308.0
2013,Freight Movement by Air,('000 tonnes),19172.0
2014,Freight Movement by Air,('000 tonnes),16080.0
2015,Freight Movement by Air,('000 tonnes),18298.0
2016,Freight Movement by Air,('000 tonnes),26987.0
2017,Freight Movement by Air,('000 tonnes),29104.0
2018,Freight Movement by Air,('000 tonnes),29602.0
2019,Freight Movement by Air,('000 tonnes),28381.0
2020,Freight Movement by Air,('000 tonnes),20592.0
2021,Freight Movement by Air,('000 tonnes),22802.0
2022,Freight Movement by Air,('000 tonnes),23901.0
2023,Freight Movement by Air,('000 tonnes),24079.0
2024,Freight Movement by Air,('000 tonnes),31994.0
2010,Freight Movement by Water,('000 tonnes),15343.0
2011,Freight Movement by Water,('000 tonnes),17022.0
2012,Freight Movement by Water,('000 tonnes),15458.0
2013,Freight Movement by Water,('000 tonnes),15082.0
2014,Freight Movement by Water,('000 tonnes),15424.0
2015,Freight Movement by Water,('000 tonnes),15094.0
2016,Freight Movement by Water,('000 tonnes),14298.0
2017,Freight Movement by Water,('000 tonnes),14501.0
2018,Freight Movement by Water,('000 tonnes),17171.0
2019,Freight Movement by Water,('000 tonnes),15837.0
2020,Freight Movement by Water,('000 tonnes),13164.0
2021,Freight Movement by Water,('000 tonnes),12758.0
2022,Freight Movement by Water,('000 tonnes),12000.0
2023,Freight Movement by Water,('000 tonnes),13202.0
2024,Freight Movement by Water,('000 tonnes),11878.0
