Year,Type of Violence,Value
2011,Aggravated Assault,269
2012,Aggravated Assault,678
2013,Aggravated Assault,599
2014,Aggravated Assault,691
2015,Aggravated Assault,602
2016,Aggravated Assault,434
2017,Aggravated Assault,434
2018,Aggravated Assault,384
2019,Aggravated Assault,392
2020,Aggravated Assault,402
2021,Aggravated Assault,355
2011,Total Sexual Violence,2009
2012,Total Sexual Violence,2936
2013,Total Sexual Violence,2656
2014,Total Sexual Violence,2274
2015,Total Sexual Violence,1838
2016,Total Sexual Violence,1485
2017,Total Sexual Violence,1507
2018,Total Sexual Violence,1786
2019,Total Sexual Violence,2073
2020,Total Sexual Violence,1895
2021,Total Sexual Violence,1794
2022,Total Sexual Violence,1664
2011,Rape,845
2012,Rape,948
2013,Rape,814
2014,Rape,701
2015,Rape,617
2016,Rape,529
2017,Rape,515
2018,Rape,546
2019,Rape,570
2020,Rape,553
2021,Rape,493
2022,Rape,498
2023,Rape,350
2024,Rape,361
