Year,Geographical Regions,Sex,Age Group,Value
2005,Rural Areas,,,7.5
2006,Rural Areas,,,4.9
2007,Rural Areas,,,7.3
2009,Rural Areas,,,5.9
2011,Rural Areas,,,4.3
2013,Rural Areas,,,3.2
2015,Rural Areas,,,7.4
2017,Rural Areas,,,4.5
2019,Rural Areas,,,
2021,Rural Areas,,,
2005,GKMA,,,9.0
2006,GKMA,,,7.8
2007,GKMA,,,4.3
2009,GKMA,,,10.3
2011,GKMA,,,10.7
2013,GKMA,,,6.5
2015,GKMA,,,5.8
2017,GKMA,,,3.7
2019,GKMA,,,
2021,GKMA,,,
2005,Other Urban centre,,,2.1
2006,Other Urban centre,,,4.9
2007,Other Urban centre,,,5.6
2009,Other Urban centre,,,3.7
2011,Other Urban centre,,,2.9
2013,Other Urban centre,,,11.3
2015,Other Urban centre,,,9.3
2017,Other Urban centre,,,3.7
2019,Other Urban centre,,,
2021,Other Urban centre,,,
2005,,Male,,5.7
2006,,Male,,4.8
2007,,Male,,7.3
2009,,Male,,7.5
2011,,Male,,5.5
2013,,Male,,8.7
2015,,Male,,8.5
2017,,Male,,6.0
2019,,Male,,
2021,,Male,,
2005,,Female,,8.3
2006,,Female,,6.7
2007,,Female,,5.0
2009,,Female,,5.9
2011,,Female,,5.9
2013,,Female,,3.3
2015,,Female,,7.3
2017,,Female,,1.9
2019,,Female,,
2021,,Female,,
2005,,,0-11 Months,10.0
2006,,,0-11 Months,9.0
2007,,,0-11 Months,5.3
2009,,,0-11 Months,13.9
2011,,,0-11 Months,4.2
2013,,,0-11 Months,2.3
2015,,,0-11 Months,7.4
2017,,,0-11 Months,2.7
2019,,,0-11 Months,
2021,,,0-11 Months,
2005,,,12-23 Months,13.3
2006,,,12-23 Months,5.5
2007,,,12-23 Months,13.9
2009,,,12-23 Months,2.4
2011,,,12-23 Months,9.5
2013,,,12-23 Months,10.0
2015,,,12-23 Months,9.4
2017,,,12-23 Months,7.7
2019,,,12-23 Months,
2021,,,12-23 Months,
2005,,,24-35 Months,1.7
2006,,,24-35 Months,7.9
2007,,,24-35 Months,4.2
2009,,,24-35 Months,7.9
2011,,,24-35 Months,4.2
2013,,,24-35 Months,10.4
2015,,,24-35 Months,12.8
2017,,,24-35 Months,3.2
2019,,,24-35 Months,
2021,,,24-35 Months,
2005,,,36-47 Months,3.6
2006,,,36-47 Months,0.0
2007,,,36-47 Months,2.2
2009,,,36-47 Months,3.9
2011,,,36-47 Months,4.5
2013,,,36-47 Months,3.2
2015,,,36-47 Months,5.8
2017,,,36-47 Months,5.2
2019,,,36-47 Months,
2021,,,36-47 Months,
2005,,,48-59 Months,6.7
2006,,,48-59 Months,5.7
2007,,,48-59 Months,4.3
2009,,,48-59 Months,5.0
2011,,,48-59 Months,5.3
2013,,,48-59 Months,4.6
2015,,,48-59 Months,5.1
2017,,,48-59 Months,1.5
2019,,,48-59 Months,
2021,,,48-59 Months,
