Year,Tubercolosis Indicator,Geogaphical Region,Value
2015,"Tuberculosis incidence per 100,000 population",Jamaica,99.0
2016,"Tuberculosis incidence per 100,000 population",Jamaica,
2017,"Tuberculosis incidence per 100,000 population",Jamaica,124.0
2018,"Tuberculosis incidence per 100,000 population",Jamaica,84.0
2019,"Tuberculosis incidence per 100,000 population",Jamaica,75.0
2020,"Tuberculosis incidence per 100,000 population",Jamaica,61.0
2021,"Tuberculosis incidence per 100,000 population",Jamaica,57.0
2022,"Tuberculosis incidence per 100,000 population",Jamaica,83.0
2023,"Tuberculosis incidence per 100,000 population",Jamaica,66.0
2024,"Tuberculosis incidence per 100,000 population",Jamaica,60.0
