Year,Financial Institution,Unit,Value
2013,Number of commercial bank branches,per 100.000 adults,5.47
2013,Number of automated teller machines (ATMs),per 100.000 adults,28.37
2014,Number of commercial bank branches,per 100.000 adults,5.02
2014,Number of automated teller machines (ATMs),per 100.000 adults,31.27
2015,Number of commercial bank branches,per 100.000 adults,6.0
2015,Number of automated teller machines (ATMs),per 100.000 adults,27.0
2016,Number of commercial bank branches,per 100.000 adults,5.0
2016,Number of automated teller machines (ATMs),per 100.000 adults,28.0
2017,Number of commercial bank branches,per 100.000 adults,8.0
2017,Number of automated teller machines (ATMs),per 100.000 adults,35.0
2018,Number of commercial bank branches,per 100.000 adults,8.0
2018,Number of automated teller machines (ATMs),per 100.000 adults,36.0
2019,Number of commercial bank branches,per 100.000 adults,8.0
2019,Number of automated teller machines (ATMs),per 100.000 adults,37.0
2020,Number of commercial bank branches,per 100.000 adults,7.0
2020,Number of automated teller machines (ATMs),per 100.000 adults,39.0
2021,Number of commercial bank branches,per 100.000 adults,7.0
2021,Number of automated teller machines (ATMs),per 100.000 adults,39.0
2022,Number of commercial bank branches,per 100.000 adults,7.0
2022,Number of automated teller machines (ATMs),per 100.000 adults,41.0
2023,Number of commercial bank branches,per 100.000 adults,7.0
2023,Number of automated teller machines (ATMs),per 100.000 adults,43.0
2024,Number of commercial bank branches,per 100.000 adults,7.0
2024,Number of automated teller machines (ATMs),per 100.000 adults,43.0
