Year,Type of waste composition,Agency,Unit,Value
2015,Compostable,Southern Parks and Market,Per cent,54.5
2015,Paper,Southern Parks and Market,Per cent,15.5
2015,Plastic,Southern Parks and Market,Per cent,15.1
2015,Glass,Southern Parks and Market,Per cent,4.8
2015,Cardboard,Southern Parks and Market,Per cent,2.6
2015,Wood or board,Southern Parks and Market,Per cent,0.0
2015,Metal or tin,Southern Parks and Market,Per cent,3.4
2015,Textile,Southern Parks and Market,Per cent,3.9
2015,E-waste,Southern Parks and Market,Per cent,0.1
2015,Total,Southern Parks and Market,Per cent,100.0
2015,Compostable,North Eastern Parks and Markets,Per cent,54.9
2015,Paper,North Eastern Parks and Markets,Per cent,11.7
2015,Plastic,North Eastern Parks and Markets,Per cent,14.6
2015,Glass,North Eastern Parks and Markets,Per cent,3.0
2015,Cardboard,North Eastern Parks and Markets,Per cent,4.8
2015,Wood or board,North Eastern Parks and Markets,Per cent,0.9
2015,Metal or tin,North Eastern Parks and Markets,Per cent,5.9
2015,Textile,North Eastern Parks and Markets,Per cent,4.2
2015,Total,North Eastern Parks and Markets,Per cent,100.0
2022,Paper,Southern Parks and Market,Per cent,6.5
2022,Plastic,Southern Parks and Market,Per cent,16.8
2022,Glass,Southern Parks and Market,Per cent,3.5
2022,Cardboard,Southern Parks and Market,Per cent,9.0
2022,Wood or board,Southern Parks and Market,Per cent,0.4
2022,Metal or tin,Southern Parks and Market,Per cent,2.6
2022,Textile,Southern Parks and Market,Per cent,6.7
2022,E-waste,Southern Parks and Market,Per cent,0.5
2022,Paper,Jamaica,Per cent,6.5
2022,Plastic,Jamaica,Per cent,16.8
2022,Glass,Jamaica,Per cent,3.5
2022,Cardboard,Jamaica,Per cent,9.0
2022,Wood or board,Jamaica,Per cent,0.4
2022,Metal or tin,Jamaica,Per cent,2.6
2022,Textile,Jamaica,Per cent,6.7
2022,E-waste,Jamaica,Per cent,0.5
2022,Inert waste,Jamaica,Per cent,0.9
2022,Hazardous waste,Jamaica,Per cent,0.1
2022,Special Waste,Jamaica,Per cent,0.1
2022,Other waste,Jamaica,Per cent,15.8
2022,Organic waste,Jamaica,Per cent,37.2
2022,Total,Jamaica,Per cent,100.0
