Year,Category,Parish,Unit,Value
2016,Number of schools used as Shelters,Kingston and St Andrew,Number,101
2018,Number of schools used as Shelters,Kingston and St Andrew,Number,101
2022,Number of schools used as Shelters,Kingston and St Andrew,Number,84
2016,Number of churches used as Shelters,Kingston and St Andrew,Number,6
2018,Number of churches used as Shelters,Kingston and St Andrew,Number,6
2022,Number of churches used as Shelters,Kingston and St Andrew,Number,5
2016,Number of community centres used as Shelters,Kingston and St Andrew,Number,5
2018,Number of community centres used as Shelters,Kingston and St Andrew,Number,5
2022,Number of community centres used as Shelters,Kingston and St Andrew,Number,6
2018,Number of other buildings used as Shelters,Kingston and St Andrew,Number,0
2022,Number of other buildings used as Shelters,Kingston and St Andrew,Number,1
2016,Total Number of Shelters,Kingston and St Andrew,Number,112
2018,Total Number of Shelters,Kingston and St Andrew,Number,112
2022,Total Number of Shelters,Kingston and St Andrew,Number,96
2016,Number of schools used as Shelters,St Thomas,Number,45
2018,Number of schools used as Shelters,St Thomas,Number,45
2022,Number of schools used as Shelters,St Thomas,Number,42
2016,Number of churches used as Shelters,St Thomas,Number,4
2018,Number of churches used as Shelters,St Thomas,Number,4
2022,Number of churches used as Shelters,St Thomas,Number,1
2016,Number of community centres used as Shelters,St Thomas,Number,3
2018,Number of community centres used as Shelters,St Thomas,Number,3
2022,Number of community centres used as Shelters,St Thomas,Number,1
2018,Number of other buildings used as Shelters,St Thomas,Number,0
2022,Number of other buildings used as Shelters,St Thomas,Number,0
2016,Total Number of Shelters,St Thomas,Number,52
2018,Total Number of Shelters,St Thomas,Number,52
2022,Total Number of Shelters,St Thomas,Number,44
2016,Number of schools used as Shelters,Portland,Number,52
2018,Number of schools used as Shelters,Portland,Number,52
2022,Number of schools used as Shelters,Portland,Number,48
2016,Number of churches used as Shelters,Portland,Number,28
2018,Number of churches used as Shelters,Portland,Number,28
2022,Number of churches used as Shelters,Portland,Number,0
2016,Number of community centres used as Shelters,Portland,Number,1
2018,Number of community centres used as Shelters,Portland,Number,1
2022,Number of community centres used as Shelters,Portland,Number,0
2016,Number of other buildings used as Shelters,Portland,Number,2
2018,Number of other buildings used as Shelters,Portland,Number,2
2022,Number of other buildings used as Shelters,Portland,Number,0
2016,Total Number of Shelters,Portland,Number,83
2018,Total Number of Shelters,Portland,Number,8
2022,Total Number of Shelters,Portland,Number,48
2016,Number of schools used as Shelters,St Mary,Number,61
2018,Number of schools used as Shelters,St Mary,Number,61
2022,Number of schools used as Shelters,St Mary,Number,47
2016,Number of churches used as Shelters,St Mary,Number,9
2018,Number of churches used as Shelters,St Mary,Number,9
2022,Number of churches used as Shelters,St Mary,Number,4
2016,Number of community centres used as Shelters,St Mary,Number,1
2018,Number of community centres used as Shelters,St Mary,Number,1
2022,Number of community centres used as Shelters,St Mary,Number,3
2018,Number of other buildings used as Shelters,St Mary,Number,0
2022,Number of other buildings used as Shelters,St Mary,Number,0
2016,Total Number of Shelters,St Mary,Number,71
2018,Total Number of Shelters,St Mary,Number,71
2022,Total Number of Shelters,St Mary,Number,54
2016,Number of schools used as Shelters,St Ann,Number,75
2018,Number of schools used as Shelters,St Ann,Number,75
2022,Number of schools used as Shelters,St Ann,Number,80
2018,Number of churches used as Shelters,St Ann,Number,0
2022,Number of churches used as Shelters,St Ann,Number,0
2016,Number of community centres used as Shelters,St Ann,Number,3
2018,Number of community centres used as Shelters,St Ann,Number,3
2022,Number of community centres used as Shelters,St Ann,Number,8
2018,Number of other buildings used as Shelters,St Ann,Number,0
2022,Number of other buildings used as Shelters,St Ann,Number,0
2016,Total Number of Shelters,St Ann,Number,78
2018,Total Number of Shelters,St Ann,Number,78
2022,Total Number of Shelters,St Ann,Number,88
2016,Number of schools used as Shelters,Trelawny,Number,43
2018,Number of schools used as Shelters,Trelawny,Number,43
2022,Number of schools used as Shelters,Trelawny,Number,38
2016,Number of churches used as Shelters,Trelawny,Number,47
2018,Number of churches used as Shelters,Trelawny,Number,47
2022,Number of churches used as Shelters,Trelawny,Number,0
2016,Number of community centres used as Shelters,Trelawny,Number,6
2022,Number of community centres used as Shelters,Trelawny,Number,3
2016,Number of other buildings used as Shelters,Trelawny,Number,1
2018,Number of other buildings used as Shelters,Trelawny,Number,1
2022,Number of other buildings used as Shelters,Trelawny,Number,2
2016,Total Number of Shelters,Trelawny,Number,97
2018,Total Number of Shelters,Trelawny,Number,97
2022,Total Number of Shelters,Trelawny,Number,43
