Year,Disaggregation Level,Unit,Value
2018,Male,"Per 100,000 population",0.0
2019,Male,"Per 100,000 population",0.3
2020,Male,"Per 100,000 population",0.07
2021,Male,"Per 100,000 population",0.22
2022,Male,"Per 100,000 population",0.07
2018,Female,"Per 100,000 population",0.36
2019,Female,"Per 100,000 population",0.22
2020,Female,"Per 100,000 population",0.51
2021,Female,"Per 100,000 population",0.65
2022,Female,"Per 100,000 population",0.58
2018,Total,"Per 100,000 population",0.18
2019,Total,"Per 100,000 population",0.26
2020,Total,"Per 100,000 population",0.29
2021,Total,"Per 100,000 population",0.44
2022,Total,"Per 100,000 population",0.33
2018,17 Years and Under,"Per 100,000 population",0.55
2019,17 Years and Under,"Per 100,000 population",0.28
2020,17 Years and Under,"Per 100,000 population",0.99
2021,17 Years and Under,"Per 100,000 population",1.13
2022,17 Years and Under,"Per 100,000 population",1.27
2018,18 Years and Older,"Per 100,000 population",0.05
2019,18 Years and Older,"Per 100,000 population",0.25
2020,18 Years and Older,"Per 100,000 population",0.05
2021,18 Years and Older,"Per 100,000 population",0.2
2022,18 Years and Older,"Per 100,000 population",0.0
2018,Type of Exploitation - Sexual,"Per 100,000 population",0.18
2019,Type of Exploitation - Sexual,"Per 100,000 population",0.11
2020,Type of Exploitation - Sexual,"Per 100,000 population",0.29
2021,Type of Exploitation - Sexual,"Per 100,000 population",0.33
2022,Type of Exploitation - Sexual,"Per 100,000 population",0.33
2018,Type of Exploitation - Labour,"Per 100,000 population",0.0
2019,Type of Exploitation - Labour,"Per 100,000 population",0.15
2020,Type of Exploitation - Labour,"Per 100,000 population",0.0
2021,Type of Exploitation - Labour,"Per 100,000 population",0.11
2022,Type of Exploitation - Labour,"Per 100,000 population",0.0
