Year,Category,Unit,Value
FY2013/2014,Central Government Expenditure,(J$ Million),395241.7
FY2014/2015,Central Government Expenditure,(J$ Million),418986.9
FY2015/2016,Central Government Expenditure,(J$ Million),460719.7
FY2016/2017,Central Government Expenditure,(J$ Million),503356.0
FY2017/2018,Central Government Expenditure,(J$ Million),552050.1
FY2018/2019,Central Government Expenditure,(J$ Million),604597.5
FY2019/2020,Central Government Expenditure,(J$ Million),630354.4
FY2020/2021,Central Government Expenditure,(J$ Million),635911.3
FY2021/2022,Central Government Expenditure,(J$ Million),698895.5
FY2022/2023,Central Government Expenditure,(J$ Million),819989.0
FY2023/2024,Central Government Expenditure,(J$ Million),924110.8
FY2024/2025,Central Government Expenditure,(J$ Million),1050899.6
FY2013/2014,Tax Revenue,(J$ Million),343836.1
FY2014/2015,Tax Revenue,(J$ Million),370877.73
FY2015/2016,Tax Revenue,(J$ Million),411854.0
FY2016/2017,Tax Revenue,(J$ Million),458323.4
FY2017/2018,Tax Revenue,(J$ Million),496894.6
FY2018/2019,Tax Revenue,(J$ Million),542919.4
FY2019/2020,Tax Revenue,(J$ Million),579397.0
FY2020/2021,Tax Revenue,(J$ Million),505686.7
FY2021/2022,Tax Revenue,(J$ Million),613048.2
FY2022/2023,Tax Revenue,(J$ Million),752841.1
FY2023/2024,Tax Revenue,(J$ Million),831573.9
FY2024/2025,Tax Revenue,(J$ Million),882755.8
FY2013/2014,Percentage of Tax Revenue to Central Government Expenditure,(Per cent),87.0
FY2014/2015,Percentage of Tax Revenue to Central Government Expenditure,(Per cent),88.5
FY2015/2016,Percentage of Tax Revenue to Central Government Expenditure,(Per cent),89.4
FY2016/2017,Percentage of Tax Revenue to Central Government Expenditure,(Per cent),91.1
FY2017/2018,Percentage of Tax Revenue to Central Government Expenditure,(Per cent),90.0
FY2018/2019,Percentage of Tax Revenue to Central Government Expenditure,(Per cent),89.8
FY2019/2020,Percentage of Tax Revenue to Central Government Expenditure,(Per cent),91.9
FY2020/2021,Percentage of Tax Revenue to Central Government Expenditure,(Per cent),79.5
FY2021/2022,Percentage of Tax Revenue to Central Government Expenditure,(Per cent),87.7
FY2022/2023,Percentage of Tax Revenue to Central Government Expenditure,(Per cent),91.8
FY2023/2024,Percentage of Tax Revenue to Central Government Expenditure,(Per cent),90.0
FY2024/2025,Percentage of Tax Revenue to Central Government Expenditure,(Per cent),84.0
