Year,Geographic region,Unit,Category,Value
2014,Developing Regions,(%),,45.38
2015,Developing Regions,(%),,42.16
2016,Developing Regions,(%),,41.29
2017,Developing Regions,(%),,41.69
2018,Developing Regions,(%),,42.2
2019,Developing Regions,(%),,42.37
2020,Developing Regions,(%),,43.1
2021,Developing Regions,(%),,44.3
2022,Developing Regions,(%),,44.9
2014,Jamaica,(%),,0.008
2015,Jamaica,(%),,0.008
2016,Jamaica,(%),,0.007
2017,Jamaica,(%),,0.007
2018,Jamaica,(%),,0.01
2019,Jamaica,(%),,0.009
2020,Jamaica,(%),,0.007
2021,Jamaica,(%),,0.007
2022,Jamaica,(%),,0.008
2023,Jamaica,(%),,0.008
2024,Jamaica,(%),,0.008
