Year,Geographical Region,Sex,Value
2011,Jamaica,,37.2
2012,Jamaica,,38.3
2013,Jamaica,,39.1
2014,Jamaica,,40.4
2015,Jamaica,,42.2
2016,Jamaica,,46.0
2017,Jamaica,,58.1
2018,Jamaica,,68.8
2019,Jamaica,,70.8
2021,Jamaica,,82.2
2023,Jamaica,,89.5
2024,Jamaica,,90.7
2011,,Male,17.0
2012,,Male,17.6
2013,,Male,21.4
2014,,Male,18.0
2015,,Male,19.5
2016,,Male,21.0
2017,,Male,26.7
2018,,Male,32.4
2019,,Male,67.6
2021,,Male,79.5
2023,,Male,86.6
2024,,Male,89.2
2011,,Female,20.2
2012,,Female,20.7
2013,,Female,17.7
2014,,Female,22.4
2015,,Female,22.7
2016,,Female,25.0
2017,,Female,31.3
2018,,Female,36.4
2019,,Female,74.0
2021,,Female,85.1
2023,,Female,92.3
2024,,Female,92.3
2014,Urban,,26.8
2015,Urban,,33.3
2021,Urban,,86.8
2014,Rural,,13.6
2015,Rural,,8.9
2021,Rural,,76.8
