Year,Indicator,Geographical Region,Age Group,Value
2008,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Jamaica,,68.2
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Jamaica,,53.0
2008,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Rural Area,,68.7
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Rural Area,,54.0
2008,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,GKMA,,67.8
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,GKMA,,52.2
2008,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Other Towns,,67.9
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Other Towns,,52.1
2008,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,15-19 years,67.2
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,15-19 years,53.2
2008,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,20-24 years,71.3
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,20-24 years,55.7
2008,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,25-29 years,68.1
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,25-29 years,53.1
2008,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,30-34 years,70.0
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,30-34 years,51.7
2008,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,35-39 years,70.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,35-39 years,54.0
2008,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,40-44 years,67.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,40-44 years,50.9
2008,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,45-49 years,56.3
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,45-49 years,52.1
