Year,Geographical Region,Unit,Value
2010,Jamaica,(Maternal Mortality Ratio),113.1
2011,Jamaica,(Maternal Mortality Ratio),93.3
2012,Jamaica,(Maternal Mortality Ratio),83.4
2013,Jamaica,(Maternal Mortality Ratio),109.1
2014,Jamaica,(Maternal Mortality Ratio),108.1
2015,Jamaica,(Maternal Mortality Ratio),87.9
2016,Jamaica,(Maternal Mortality Ratio),110.6
2017,Jamaica,(Maternal Mortality Ratio),95.9
2018,Jamaica,(Maternal Mortality Ratio),93.5
2019,Jamaica,(Maternal Mortality Ratio),166.4
2020,Jamaica,(Maternal Mortality Ratio),114.9
2021,Jamaica,(Maternal Mortality Ratio),211.3
2022,Jamaica,(Maternal Mortality Ratio),156.7
2023,Jamaica,(Maternal Mortality Ratio),136.9
2024,Jamaica,(Maternal Mortality Ratio),150.3
2015,Jamaica,(Proportion of Births),99.7
2016,Jamaica,(Proportion of Births),99.7
2017,Jamaica,(Proportion of Births),99.7
2018,Jamaica,(Proportion of Births),99.8
2019,Jamaica,(Proportion of Births),99.7
2020,Jamaica,(Proportion of Births),99.8
2021,Jamaica,(Proportion of Births),99.7
2022,Jamaica,(Proportion of Births),99.3
2023,Jamaica,(Proportion of Births),99.1
