Year,Name of test,Descriptor,Geographical region,Sex,Value
2010,Grade 4 Literacy Test,Proportion of students achieving mastery,Jamaica,,66.9
2011,Grade 4 Literacy Test,Proportion of students achieving mastery,Jamaica,,71.4
2012,Grade 4 Literacy Test,Proportion of students achieving mastery,Jamaica,,73.8
2013,Grade 4 Literacy Test,Proportion of students achieving mastery,Jamaica,,76.4
2014,Grade 4 Literacy Test,Proportion of students achieving mastery,Jamaica,,77.2
2015,Grade 4 Literacy Test,Proportion of students achieving mastery,Jamaica,,86.3
2016,Grade 4 Literacy Test,Proportion of students achieving mastery,Jamaica,,80.3
2017,Grade 4 Literacy Test,Proportion of students achieving mastery,Jamaica,,84.5
2018,Grade 4 Literacy Test,Proportion of students achieving mastery,Jamaica,,82.8
2019,Grade 4 Literacy Test,Proportion of students achieving mastery,Jamaica,,83.1
2022,Grade 4 Literacy Test,Proportion of students achieving mastery,Jamaica,,59.8
2023,Grade 4 Literacy Test,Proportion of students achieving mastery,Jamaica,,63.4
2024,Grade 4 Literacy Test,Proportion of students achieving mastery,Jamaica,,65.1
2010,Grade 4 Literacy Test,Proportion of students achieving mastery,,Male,56.4
2011,Grade 4 Literacy Test,Proportion of students achieving mastery,,Male,61.5
2012,Grade 4 Literacy Test,Proportion of students achieving mastery,,Male,64.7
2013,Grade 4 Literacy Test,Proportion of students achieving mastery,,Male,67.9
2014,Grade 4 Literacy Test,Proportion of students achieving mastery,,Male,68.3
2015,Grade 4 Literacy Test,Proportion of students achieving mastery,,Male,79.9
2016,Grade 4 Literacy Test,Proportion of students achieving mastery,,Male,72.3
2017,Grade 4 Literacy Test,Proportion of students achieving mastery,,Male,78.0
2018,Grade 4 Literacy Test,Proportion of students achieving mastery,,Male,75.5
2019,Grade 4 Literacy Test,Proportion of students achieving mastery,,Male,76.7
2022,Grade 4 Literacy Test,Proportion of students achieving mastery,,Male,50.1
2023,Grade 4 Literacy Test,Proportion of students achieving mastery,,Male,54.3
2024,Grade 4 Literacy Test,Proportion of students achieving mastery,,Male,56.8
2010,Grade 4 Literacy Test,Proportion of students achieving mastery,,Female,77.5
2011,Grade 4 Literacy Test,Proportion of students achieving mastery,,Female,81.6
2012,Grade 4 Literacy Test,Proportion of students achieving mastery,,Female,83.2
2013,Grade 4 Literacy Test,Proportion of students achieving mastery,,Female,85.2
2014,Grade 4 Literacy Test,Proportion of students achieving mastery,,Female,86.3
2015,Grade 4 Literacy Test,Proportion of students achieving mastery,,Female,92.5
2016,Grade 4 Literacy Test,Proportion of students achieving mastery,,Female,88.2
2017,Grade 4 Literacy Test,Proportion of students achieving mastery,,Female,90.6
2018,Grade 4 Literacy Test,Proportion of students achieving mastery,,Female,90.3
2019,Grade 4 Literacy Test,Proportion of students achieving mastery,,Female,89.7
2022,Grade 4 Literacy Test,Proportion of students achieving mastery,,Female,69.7
2023,Grade 4 Literacy Test,Proportion of students achieving mastery,,Female,72.7
2024,Grade 4 Literacy Test,Proportion of students achieving mastery,,Female,73.4
2012,Grade 4 Numeracy Test,Proportion of students achieving mastery,Jamaica,,54.0
2013,Grade 4 Numeracy Test,Proportion of students achieving mastery,Jamaica,,58.0
2014,Grade 4 Numeracy Test,Proportion of students achieving mastery,Jamaica,,57.5
2015,Grade 4 Numeracy Test,Proportion of students achieving mastery,Jamaica,,63.6
2016,Grade 4 Numeracy Test,Proportion of students achieving mastery,Jamaica,,59.8
2017,Grade 4 Numeracy Test,Proportion of students achieving mastery,Jamaica,,66.4
2018,Grade 4 Numeracy Test,Proportion of students achieving mastery,Jamaica,,65.6
2019,Grade 4 Numeracy Test,Proportion of students achieving mastery,Jamaica,,74.3
2022,Grade 4 Numeracy Test,Proportion of students achieving mastery,Jamaica,,72.4
2023,Grade 4 Numeracy Test,Proportion of students achieving mastery,Jamaica,,64.7
2024,Grade 4 Numeracy Test,Proportion of students achieving mastery,Jamaica,,69.9
2012,Grade 4 Numeracy Test,,,Male,47.0
2013,Grade 4 Numeracy Test,,,Male,50.0
2014,Grade 4 Numeracy Test,,,Male,50.2
2015,Grade 4 Numeracy Test,,,Male,56.2
2016,Grade 4 Numeracy Test,,,Male,53.1
2017,Grade 4 Numeracy Test,,,Male,60.2
2018,Grade 4 Numeracy Test,,,Male,58.9
2019,Grade 4 Numeracy Test,,,Male,67.7
2022,Grade 4 Numeracy Test,,,Male,66.1
2023,Grade 4 Numeracy Test,,,Male,59.8
2024,Grade 4 Numeracy Test,,,Male,64.9
2012,Grade 4 Numeracy Test,Proportion of students achieving mastery,,Female,62.0
2013,Grade 4 Numeracy Test,Proportion of students achieving mastery,,Female,67.0
2014,Grade 4 Numeracy Test,Proportion of students achieving mastery,,Female,65.0
2015,Grade 4 Numeracy Test,Proportion of students achieving mastery,,Female,70.8
2016,Grade 4 Numeracy Test,Proportion of students achieving mastery,,Female,66.5
2017,Grade 4 Numeracy Test,Proportion of students achieving mastery,,Female,72.7
2018,Grade 4 Numeracy Test,Proportion of students achieving mastery,,Female,72.5
2019,Grade 4 Numeracy Test,Proportion of students achieving mastery,,Female,81.1
2022,Grade 4 Numeracy Test,Proportion of students achieving mastery,,Female,78.9
2023,Grade 4 Numeracy Test,Proportion of students achieving mastery,,Female,69.7
2024,Grade 4 Numeracy Test,Proportion of students achieving mastery,,Female,74.9
2016,Grade 6 Achievement Test,Mean Score  (Language Arts),Jamaica,,64.0
2017,Grade 6 Achievement Test,Mean Score  (Language Arts),Jamaica,,66.0
2018,Grade 6 Achievement Test,Mean Score  (Language Arts),Jamaica,,67.0
2016,Grade 6 Achievement Test,(Language Arts),,Male,60.0
2017,Grade 6 Achievement Test,(Language Arts),,Male,62.0
2018,Grade 6 Achievement Test,(Language Arts),,Male,62.0
2016,Grade 6 Achievement Test,Mean Score  (Language Arts),,Female,68.0
2017,Grade 6 Achievement Test,Mean Score  (Language Arts),,Female,70.0
2018,Grade 6 Achievement Test,Mean Score  (Language Arts),,Female,71.0
2016,Grade 6 Achievement Test,(Mathematics),Jamaica,,57.0
2017,Grade 6 Achievement Test,(Mathematics),Jamaica,,59.0
2018,Grade 6 Achievement Test,(Mathematics),Jamaica,,61.0
2016,Grade 6 Achievement Test,Mean Score  (Mathematics),,Male,55.0
2017,Grade 6 Achievement Test,Mean Score  (Mathematics),,Male,57.0
2018,Grade 6 Achievement Test,Mean Score  (Mathematics),,Male,59.0
2016,Grade 6 Achievement Test,Mean Score  (Mathematics),,Female,60.0
2017,Grade 6 Achievement Test,Mean Score  (Mathematics),,Female,61.0
2018,Grade 6 Achievement Test,Mean Score  (Mathematics),,Female,63.0
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Developing Level,Jamaica,,51.5
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Developing Level,,Male,55.4
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Developing Level,,Female,47.4
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,41.0
2022,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,45.9
2023,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,49.3
2024,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,60.4
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Male,33.9
2022,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Male,41.0
2023,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Male,44.4
2024,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Male,54.5
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Female,48.6
2022,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Female,51.0
2023,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Female,54.4
2024,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Female,66.5
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Highly Proficient Level,Jamaica,,6.5
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Highly Proficient Level,,Male,5.4
2019,Grade 6 Primary Exit Profile (Mathematics),Proportion of Students Highly Proficient Level,,Female,7.7
2019,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Developing Level,Jamaica,,35.9
2019,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Developing Level,,Male,41.5
2019,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Developing Level,,Female,30.0
2019,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,54.7
2022,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,62.7
2023,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,54.4
2024,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,66.8
2019,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Male,45.1
2022,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Male,56.7
2023,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Male,47.4
2024,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Male,58.2
2019,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Female,65.1
2022,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Female,69.0
2023,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Female,61.6
2024,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Female,75.6
