Year,Type of Waste Collected,Type of Pollution,Unit,Value
2015,Beverage bottles (plastic),,Per cent,31.0
2016,Beverage bottles (plastic),,Per cent,32.0
2017,Beverage bottles (plastic),,Per cent,41.0
2018,Beverage bottles (plastic),,Per cent,33.0
2019,Beverage bottles (plastic),,Per cent,32.7
2020,Beverage bottles (plastic),,Per cent,31.4
2021,Beverage bottles (plastic),,Per cent,54.5
2022,Beverage bottles (plastic),,Per cent,35.9
2023,Beverage bottles (plastic),,Per cent,23.97
2024,Beverage bottles (plastic),,Per cent,37.83
2015,Other,,Per cent,37.0
2016,Other,,Per cent,25.0
2017,Other,,Per cent,21.0
2018,Other,,Per cent,24.5
2019,Other,,Per cent,21.0
2020,Other,,Per cent,30.9
2021,Other,,Per cent,14.9
2022,Other,,Per cent,25.6
2023,Other,,Per cent,15.17
2024,Other,,Per cent,16.91
2015,Bottle caps (plastic),,Per cent,12.0
2016,Bottle caps (plastic),,Per cent,11.0
2017,Bottle caps (plastic),,Per cent,10.0
2018,Bottle caps (plastic),,Per cent,11.5
2019,Bottle caps (plastic),,Per cent,11.1
2020,Bottle caps (plastic),,Per cent,16.3
2021,Bottle caps (plastic),,Per cent,11.6
2022,Bottle caps (plastic),,Per cent,12.9
2023,Bottle caps (plastic),,Per cent,15.29
2024,Bottle caps (plastic),,Per cent,15.7
2016,Plastic pieces (tiny trash),,Per cent,6.0
2017,Plastic pieces (tiny trash),,Per cent,5.0
2018,Plastic pieces (tiny trash),,Per cent,4.4
2019,Plastic pieces (tiny trash),,Per cent,7.0
2020,Plastic pieces (tiny trash),,Per cent,7.3
2021,Plastic pieces (tiny trash),,Per cent,2.4
2022,Plastic pieces (tiny trash),,Per cent,7.0
2023,Plastic pieces (tiny trash),,Per cent,8.75
2024,Plastic pieces (tiny trash),,Per cent,5.42
2015,Other plastic bags,,Per cent,5.0
2016,Other plastic bags,,Per cent,5.0
2017,Other plastic bags,,Per cent,3.0
2018,Other plastic bags,,Per cent,3.9
2019,Other plastic bags,,Per cent,5.0
2021,Other plastic bags,,Per cent,2.2
2022,Other plastic bags,,Per cent,3.2
2023,Other plastic bags,,Per cent,2.93
2024,Other plastic bags,,Per cent,2.99
2016,Foam pieces (tiny trash),,Per cent,4.0
2017,Foam pieces (tiny trash),,Per cent,6.0
2018,Foam pieces (tiny trash),,Per cent,5.2
2019,Foam pieces (tiny trash),,Per cent,8.0
2024,Foam pieces (tiny trash),,Per cent,3.53
2015,Beverage bottles (glass),,Per cent,3.0
2016,Beverage bottles (glass),,Per cent,4.0
2017,Beverage bottles (glass),,Per cent,3.0
2018,Beverage bottles (glass),,Per cent,3.2
2019,Beverage bottles (glass),,Per cent,3.5
2020,Beverage bottles (glass),,Per cent,4.6
2021,Beverage bottles (glass),,Per cent,2.3
2022,Beverage bottles (glass),,Per cent,4.4
2023,Beverage bottles (glass),,Per cent,3.39
2024,Beverage bottles (glass),,Per cent,2.7
2015,Cup plate (plastic),,Per cent,3.0
2016,Cup plate (plastic),,Per cent,4.0
2017,Cup plate (plastic),,Per cent,3.0
2018,Cup plate (plastic),,Per cent,3.6
2019,Cup plate (plastic),,Per cent,3.2
2020,Cup plate (plastic),,Per cent,4.2
2021,Cup plate (plastic),,Per cent,4.6
2022,Cup plate (plastic),,Per cent,4.4
2023,Cup plate (plastic),,Per cent,8.98
2024,Cup plate (plastic),,Per cent,5.03
2015,Food wrappers (candy chips etc.),,Per cent,3.0
2016,Food wrappers (candy chips etc.),,Per cent,3.0
2017,Food wrappers (candy chips etc.),,Per cent,3.0
2018,Food wrappers (candy chips etc.),,Per cent,3.7
2019,Food wrappers (candy chips etc.),,Per cent,3.0
2020,Food wrappers (candy chips etc.),,Per cent,5.3
2021,Food wrappers (candy chips etc.),,Per cent,2.8
2022,Food wrappers (candy chips etc.),,Per cent,4.2
2023,Food wrappers (candy chips etc.),,Per cent,4.98
2024,Food wrappers (candy chips etc.),,Per cent,2.94
2015,Cups plates (foam),,Per cent,3.0
2016,Cups plates (foam),,Per cent,3.0
2017,Cups plates (foam),,Per cent,3.0
2018,Cups plates (foam),,Per cent,3.9
2019,Cups plates (foam),,Per cent,2.8
2021,Cups plates (foam),,Per cent,1.4
2023,Cups plates (foam),,Per cent,3.0
2024,Cups plates (foam),,Per cent,3.53
2016,Take out/away containers (foam),,Per cent,3.0
2017,Take out/away containers (foam),,Per cent,0.0
2018,Take out/away containers (foam),,Per cent,3.1
2021,Take out/away containers (foam),,Per cent,1.5
2015,Forks knives and spoons,,Per cent,3.0
2017,Forks knives and spoons,,Per cent,2.0
2019,Forks knives and spoons,,Per cent,3.0
2021,Forks knives and spoons,,Per cent,1.8
2022,Forks knives and spoons,,Per cent,2.4
