Year,Category,Unit,Value
2010,Fisheries as a proportion of Gross Value Added,Per cent,0.34
2011,Fisheries as a proportion of Gross Value Added,Per cent,0.37
2012,Fisheries as a proportion of Gross Value Added,Per cent,0.37
2013,Fisheries as a proportion of Gross Value Added,Per cent,0.42
2014,Fisheries as a proportion of Gross Value Added,Per cent,0.52
2015,Fisheries as a proportion of Gross Value Added,Per cent,0.53
2016,Fisheries as a proportion of Gross Value Added,Per cent,0.54
2017,Fisheries as a proportion of Gross Value Added,Per cent,0.54
2018,Fisheries as a proportion of Gross Value Added,Per cent,0.52
2019,Fisheries as a proportion of Gross Value Added,Per cent,0.52
