Year,Geographical Region,Unit,Value
2010,Jamaica,(Neonatal Mortality Ratio),14.9
2011,Jamaica,(Neonatal Mortality Ratio),13.2
2012,Jamaica,(Neonatal Mortality Ratio),13.6
2013,Jamaica,(Neonatal Mortality Ratio),13.5
2014,Jamaica,(Neonatal Mortality Ratio),16.7
2015,Jamaica,(Neonatal Mortality Ratio),16.0
2016,Jamaica,(Neonatal Mortality Ratio),12.7
2017,Jamaica,(Neonatal Mortality Ratio),14.1
2018,Jamaica,(Neonatal Mortality Ratio),13.8
2019,Jamaica,(Neonatal Mortality Ratio),15.2
2020,Jamaica,(Neonatal Mortality Ratio),13.8
2021,Jamaica,(Neonatal Mortality Ratio),14.6
2022,Jamaica,(Neonatal Mortality Ratio),15.2
2023,Jamaica,(Neonatal Mortality Ratio),13.3
